	Date	ticker	buy_sell_point	Close	Volume	POS_score	POS_num	NEG_score	NEG_num	POS_score_list	NEG_score_list	POS_models_name	NEG_moldel_name
21	2025-07-09 01:45:00	1088.HK	0	30.9	456500	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
22	2025-07-09 01:30:00	1088.HK	0	30.8	456500	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
21	2025-07-09 01:45:00	1299.HK	0	68.6	1069020	0	2]	0	2]	0%0	0%0	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-09 01:30:00	1299.HK	0	68.5	1069020	0	2]	0	2]	0%0	0%0	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-09 01:45:00	2318.HK	0	49.9	2397025	0	2]	0	2]	0%0	0%0	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
22	2025-07-09 01:30:00	2318.HK	0	50.0	2397025	0	2]	0	2]	0%0	0%0	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
21	2025-07-09 01:45:00	1088.HK	0	30.9	456500	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
22	2025-07-09 01:30:00	1088.HK	0	30.8	456500	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
21	2025-07-09 01:45:00	1299.HK	0	68.6	1069020	0	2]	0	2]	0%0	0%0	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-09 01:30:00	1299.HK	0	68.5	1069020	50	2]	179	2]	0%50	91%88	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-09 01:45:00	2318.HK	0	49.9	2397025	0	2]	0	2]	0%0	0%0	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
