	TFm_0001.HK_pos_vgood16_mult_28	TFm_0001.HK_pos_vgood16_mult_28_per	TFm_0001.HK_pos_vgood16_mult_64	TFm_0001.HK_pos_vgood16_mult_64_per	TFm_0001.HK_pos_vgood16_mult_128	TFm_0001.HK_pos_vgood16_mult_128_per	TFm_0001.HK_pos_vgood16_mult_conv2	TFm_0001.HK_pos_vgood16_mult_conv2_per	TFm_0001.HK_pos_vgood16_mult_conv	TFm_0001.HK_pos_vgood16_mult_conv_per	TFm_0001.HK_pos_vgood16__simp_cordo	TFm_0001.HK_pos_vgood16__simp_cordo_per	TFm_0001.HK_pos_vgood16_mult_linear	TFm_0001.HK_pos_vgood16_mult_linear_per	TFm_0001.HK_pos_vgood16_mult_dense2	TFm_0001.HK_pos_vgood16_mult_dense2_per	TFm_0001.HK_pos_vgood16_mult_lstm	TFm_0001.HK_pos_vgood16_mult_lstm_per	TFm_0001.HK_pos_vgood16__mult_gru	TFm_0001.HK_pos_vgood16__mult_gru_per
88%	0.692	6.9	0.5999	6.9	0.6879	3.45	0.677	3.45	0.7142	6.9	0.7638	3.45	0.7261	6.9	0.7253	17.24	0.5738	3.45	0.7584	6.9
89%	0.6991	7.41	0.6071	7.41	0.6998	3.7	0.6932	3.7	0.7378	7.41	0.7716	3.7	0.7305	7.41	0.7317	14.81	0.5779	3.7	0.7733	7.41
90%	0.7045	8.33	0.6163	8.33	0.7034	4.17	0.7093	4.17	0.7479	4.17	0.7752	4.17	0.7323	8.33	0.7323	16.67	0.5844	4.17	0.7841	8.33
91%	0.7146	4.55	0.6292	9.09	0.7205	4.55	0.7392	4.55	0.7604	4.55	0.7772	4.55	0.7372	4.55	0.7409	18.18	0.5937	4.55	0.7882	9.09
92%	0.7232	5.0	0.6365	10.0	0.7351	5.0	0.7895	5.0	0.7733	5.0	0.7797	5.0	0.7471	5.0	0.7433	20.0	0.6034	5.0	0.8002	10.0
93%	0.7366	5.88	0.6551	11.76	0.7559	5.88	0.8089	5.88	0.7898	5.88	0.7805	5.88	0.7516	5.88	0.7506	23.53	0.6109	5.88	0.8225	5.88
94%	0.7565	6.67	0.6824	6.67	0.794	6.67	0.8178	6.67	0.8077	6.67	0.7831	6.67	0.7582	6.67	0.7525	13.33	0.6368	6.67	0.849	6.67
95%	0.7648	8.33	0.714	8.33	0.852	8.33	0.8339	8.33	0.847	8.33	0.8002	8.33	0.7657	8.33	0.7582	8.33	0.6607	8.33	0.8828	8.33
96%	0.8091	10.0	0.7224	10.0	0.881	10.0	0.8708	10.0	0.8798	10.0	0.8047	0.0	0.7798	10.0	0.7921	0.0	0.7266	10.0	0.8985	10.0
97%	0.8374	12.5	0.7327	0.0	0.9341	12.5	0.8996	12.5	0.9102	12.5	0.8102	0.0	0.788	12.5	0.8436	0.0	0.7928	12.5	0.9391	12.5
98%	0.8621	20.0	0.7742	0.0	0.9557	20.0	0.9239	20.0	0.9306	20.0	0.8288	0.0	0.8129	0.0	0.8492	0.0	0.8268	20.0	0.9561	0.0
max	0.9294	-1.0	0.8957	-1.0	0.9977	-1.0	0.9866	-1.0	0.9753	-1.0	0.8718	-1.0	0.9481	-1.0	0.8926	-1.0	0.9991	-1.0	0.9884	-1.0
