	TFm_0001.HK_pos_vgood16_mult_28	TFm_0001.HK_pos_vgood16_mult_28_per	TFm_0001.HK_pos_vgood16_mult_64	TFm_0001.HK_pos_vgood16_mult_64_per	TFm_0001.HK_pos_vgood16_mult_128	TFm_0001.HK_pos_vgood16_mult_128_per	TFm_0001.HK_pos_vgood16_mult_conv2	TFm_0001.HK_pos_vgood16_mult_conv2_per	TFm_0001.HK_pos_vgood16_mult_conv	TFm_0001.HK_pos_vgood16_mult_conv_per	TFm_0001.HK_pos_vgood16__simp_cordo	TFm_0001.HK_pos_vgood16__simp_cordo_per	TFm_0001.HK_pos_vgood16_mult_linear	TFm_0001.HK_pos_vgood16_mult_linear_per	TFm_0001.HK_pos_vgood16_mult_dense2	TFm_0001.HK_pos_vgood16_mult_dense2_per	TFm_0001.HK_pos_vgood16_mult_lstm	TFm_0001.HK_pos_vgood16_mult_lstm_per	TFm_0001.HK_pos_vgood16__mult_gru	TFm_0001.HK_pos_vgood16__mult_gru_per
acc_per	72.94	-1.0	76.47	-1.0	80.24	-1.0	86.14	-1.0	81.64	-1.0	69.32	-1.0	69.40	-1.0	77.36	-1.0	78.98	-1.0	77.51	-1.0
loss	0.52	-1.0	0.45	-1.0	0.41	-1.0	0.29	-1.0	0.39	-1.0	0.60	-1.0	0.62	-1.0	0.46	-1.0	0.39	-1.0	0.45	-1.0
epochs	12	-1.0	9	-1.0	11	-1.0	11	-1.0	16	-1.0	16	-1.0	30	-1.0	14	-1.0	18	-1.0	9	-1.0
df_test_%	6.3	-1.0	8.9	-1.0	4.5	-1.0	4.5	-1.0	5.7	-1.0	4.5	-1.0	6.3	-1.0	18.4	-1.0	4.5	-1.0	7.9	-1.0
positives	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0
count	239.0	-1.0	239.0	-1.0	239.0	-1.0	239.0	-1.0	239.0	-1.0	239.0	-1.0	239.0	-1.0	239.0	-1.0	239.0	-1.0	239.0	-1.0
mean	0.4693	-1.0	0.434	-1.0	0.4288	-1.0	0.4039	-1.0	0.4312	-1.0	0.5053	-1.0	0.5121	-1.0	0.4203	-1.0	0.3854	-1.0	0.4706	-1.0
std	0.1688	-1.0	0.1339	-1.0	0.2058	-1.0	0.2222	-1.0	0.2223	-1.0	0.1695	-1.0	0.1446	-1.0	0.2443	-1.0	0.2252	-1.0	0.2076	-1.0
min	0.1584	-1.0	0.2066	-1.0	0.091	-1.0	0.0325	-1.0	0.0441	-1.0	0.2798	-1.0	0.2227	-1.0	0.0135	-1.0	0.0001	-1.0	0.1357	-1.0
25%	0.3348	4.47	0.3391	5.03	0.2679	5.59	0.2585	5.59	0.2732	5.59	0.3626	5.03	0.3994	4.47	0.194	3.91	0.1792	4.47	0.3055	4.47
50%	0.4386	5.04	0.3987	5.83	0.3992	5.88	0.3863	5.83	0.4151	5.83	0.4729	5.04	0.4795	5.04	0.4374	5.0	0.4735	5.0	0.3993	5.04
60%	0.4928	3.12	0.4394	6.25	0.4409	4.17	0.4312	5.21	0.4566	5.21	0.5274	5.21	0.5332	5.21	0.5227	5.21	0.4937	5.21	0.4691	4.17
70%	0.5528	2.78	0.4734	8.33	0.5049	2.78	0.4777	5.56	0.5432	5.56	0.607	5.56	0.5863	5.56	0.5895	6.94	0.5122	1.39	0.5589	2.78
75%	0.5854	3.33	0.5177	6.67	0.5402	1.67	0.5472	6.67	0.5804	6.67	0.6488	3.33	0.6161	5.0	0.6318	8.33	0.5242	1.67	0.6318	3.33
80%	0.6294	4.17	0.5429	6.25	0.6011	2.08	0.5826	6.25	0.6211	4.17	0.6865	4.17	0.6394	4.17	0.6588	10.42	0.5397	2.08	0.686	4.17
85%	0.6595	5.56	0.5854	5.56	0.6576	2.78	0.6302	2.78	0.6731	5.56	0.7317	2.78	0.6871	5.56	0.6896	13.89	0.562	2.78	0.7355	5.56
86%	0.6674	5.88	0.5918	5.88	0.6776	2.94	0.6549	2.94	0.6805	5.88	0.7419	2.94	0.7016	5.88	0.7037	14.71	0.5675	2.86	0.7391	5.88
87%	0.6754	6.45	0.593	6.45	0.6862	3.23	0.6704	3.23	0.6905	6.45	0.7492	3.23	0.7219	6.45	0.7172	16.13	0.5701	3.23	0.7468	6.45
