	TFm_1008.HK_neg_reg4_mult_28	TFm_1008.HK_neg_reg4_mult_28_per	TFm_1008.HK_neg_reg4_mult_64	TFm_1008.HK_neg_reg4_mult_64_per	TFm_1008.HK_neg_reg4_mult_128	TFm_1008.HK_neg_reg4_mult_128_per	TFm_1008.HK_neg_reg4_mult_conv2	TFm_1008.HK_neg_reg4_mult_conv2_per	TFm_1008.HK_neg_reg4_mult_conv	TFm_1008.HK_neg_reg4_mult_conv_per	TFm_1008.HK_neg_reg4__simp_cordo	TFm_1008.HK_neg_reg4__simp_cordo_per	TFm_1008.HK_neg_reg4_mult_linear	TFm_1008.HK_neg_reg4_mult_linear_per	TFm_1008.HK_neg_reg4_mult_dense2	TFm_1008.HK_neg_reg4_mult_dense2_per	TFm_1008.HK_neg_reg4_mult_lstm	TFm_1008.HK_neg_reg4_mult_lstm_per	TFm_1008.HK_neg_reg4__mult_gru	TFm_1008.HK_neg_reg4__mult_gru_per
acc_per	82.61	-1.0	84.06	-1.0	86.96	-1.0	81.88	-1.0	86.96	-1.0	82.61	-1.0	86.96	-1.0	81.88	-1.0	89.86	-1.0	88.41	-1.0
loss	0.38	-1.0	0.37	-1.0	0.32	-1.0	0.41	-1.0	0.30	-1.0	0.49	-1.0	0.41	-1.0	0.40	-1.0	0.23	-1.0	0.30	-1.0
epochs	10	-1.0	8	-1.0	9	-1.0	27	-1.0	10	-1.0	12	-1.0	8	-1.0	26	-1.0	31	-1.0	15	-1.0
df_test_%	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	8.3	-1.0	58.3	-1.0	33.3	-1.0
positives	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0
count	29.0	-1.0	29.0	-1.0	29.0	-1.0	29.0	-1.0	29.0	-1.0	29.0	-1.0	29.0	-1.0	29.0	-1.0	29.0	-1.0	29.0	-1.0
mean	0.4385	-1.0	0.5668	-1.0	0.521	-1.0	0.6359	-1.0	0.6239	-1.0	0.5847	-1.0	0.76	-1.0	0.5875	-1.0	0.3747	-1.0	0.4435	-1.0
std	0.2867	-1.0	0.1744	-1.0	0.3387	-1.0	0.4287	-1.0	0.2967	-1.0	0.1389	-1.0	0.2505	-1.0	0.3958	-1.0	0.4243	-1.0	0.4391	-1.0
min	0.1079	-1.0	0.2935	-1.0	0.0889	-1.0	0.0078	-1.0	0.1703	-1.0	0.4549	-1.0	0.302	-1.0	0.0008	-1.0	0.0	-1.0	0.0067	-1.0
25%	0.2017	13.64	0.4182	9.52	0.1879	9.52	0.1613	9.52	0.3615	13.64	0.4565	10.0	0.541	9.52	0.1096	9.52	0.0	10.34	0.0078	14.29
50%	0.3576	7.14	0.5603	13.33	0.5331	13.33	0.9776	13.33	0.7361	13.33	0.5009	13.33	0.8029	13.33	0.7801	13.33	0.0	10.34	0.2345	13.33
60%	0.446	8.33	0.6448	8.33	0.6537	8.33	0.9895	8.33	0.7702	8.33	0.6802	8.33	0.9771	8.33	0.8479	16.67	0.6381	16.67	0.8796	16.67
70%	0.6658	11.11	0.7173	11.11	0.8496	11.11	0.9986	11.11	0.895	11.11	0.7342	11.11	0.9956	11.11	0.9112	22.22	0.7775	22.22	0.8895	11.11
