	TFm_1088.HK_neg_vgood16_mult_28	TFm_1088.HK_neg_vgood16_mult_28_per	TFm_1088.HK_neg_vgood16_mult_64	TFm_1088.HK_neg_vgood16_mult_64_per	TFm_1088.HK_neg_vgood16_mult_128	TFm_1088.HK_neg_vgood16_mult_128_per	TFm_1088.HK_neg_vgood16_mult_conv2	TFm_1088.HK_neg_vgood16_mult_conv2_per	TFm_1088.HK_neg_vgood16_mult_conv	TFm_1088.HK_neg_vgood16_mult_conv_per	TFm_1088.HK_neg_vgood16__simp_cordo	TFm_1088.HK_neg_vgood16__simp_cordo_per	TFm_1088.HK_neg_vgood16_mult_linear	TFm_1088.HK_neg_vgood16_mult_linear_per	TFm_1088.HK_neg_vgood16_mult_dense2	TFm_1088.HK_neg_vgood16_mult_dense2_per	TFm_1088.HK_neg_vgood16_mult_lstm	TFm_1088.HK_neg_vgood16_mult_lstm_per	TFm_1088.HK_neg_vgood16__mult_gru	TFm_1088.HK_neg_vgood16__mult_gru_per
acc_per	74.38	-1.0	73.31	-1.0	78.15	-1.0	69.54	-1.0	73.85	-1.0	73.54	-1.0	70.92	-1.0	75.38	-1.0	75.08	-1.0	74.85	-1.0
loss	0.52	-1.0	0.50	-1.0	0.44	-1.0	0.54	-1.0	0.49	-1.0	0.51	-1.0	0.55	-1.0	0.47	-1.0	0.47	-1.0	0.50	-1.0
epochs	9	-1.0	9	-1.0	16	-1.0	8	-1.0	16	-1.0	21	-1.0	8	-1.0	17	-1.0	29	-1.0	9	-1.0
df_test_%	9.3	-1.0	4.7	-1.0	12.8	-1.0	7.3	-1.0	9.7	-1.0	11.9	-1.0	4.6	-1.0	6.5	-1.0	15.5	-1.0	9.2	-1.0
positives	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0
count	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0
mean	0.6132	-1.0	0.5698	-1.0	0.5032	-1.0	0.615	-1.0	0.4923	-1.0	0.4337	-1.0	0.7009	-1.0	0.4955	-1.0	0.5112	-1.0	0.4813	-1.0
std	0.097	-1.0	0.209	-1.0	0.4063	-1.0	0.189	-1.0	0.3525	-1.0	0.2971	-1.0	0.0659	-1.0	0.3869	-1.0	0.416	-1.0	0.2995	-1.0
min	0.3291	-1.0	0.1638	-1.0	0.0	-1.0	0.2796	-1.0	0.0106	-1.0	0.0627	-1.0	0.5703	-1.0	0.0	-1.0	0.0	-1.0	0.0259	-1.0
25%	0.6028	4.02	0.364	8.05	0.0019	8.19	0.4353	8.05	0.0485	8.05	0.0647	8.05	0.6315	7.47	0.0017	8.09	0.0	6.03	0.1277	8.05
50%	0.6563	5.17	0.6805	9.48	0.7452	11.21	0.6466	9.48	0.7105	10.34	0.6608	12.07	0.7223	9.48	0.737	10.34	0.8047	12.07	0.6261	12.07
60%	0.6647	5.38	0.7164	6.45	0.8076	11.83	0.7363	11.83	0.7494	11.83	0.6872	10.75	0.744	11.83	0.7688	9.68	0.8307	10.75	0.6856	10.75
