	TFm_0020.HK_neg_vgood16_mult_28	TFm_0020.HK_neg_vgood16_mult_28_per	TFm_0020.HK_neg_vgood16_mult_64	TFm_0020.HK_neg_vgood16_mult_64_per	TFm_0020.HK_neg_vgood16_mult_128	TFm_0020.HK_neg_vgood16_mult_128_per	TFm_0020.HK_neg_vgood16_mult_conv2	TFm_0020.HK_neg_vgood16_mult_conv2_per	TFm_0020.HK_neg_vgood16_mult_conv	TFm_0020.HK_neg_vgood16_mult_conv_per	TFm_0020.HK_neg_vgood16__simp_cordo	TFm_0020.HK_neg_vgood16__simp_cordo_per	TFm_0020.HK_neg_vgood16_mult_linear	TFm_0020.HK_neg_vgood16_mult_linear_per	TFm_0020.HK_neg_vgood16_mult_dense2	TFm_0020.HK_neg_vgood16_mult_dense2_per	TFm_0020.HK_neg_vgood16_mult_lstm	TFm_0020.HK_neg_vgood16_mult_lstm_per	TFm_0020.HK_neg_vgood16__mult_gru	TFm_0020.HK_neg_vgood16__mult_gru_per
acc_per	68.01	-1.0	78.86	-1.0	86.31	-1.0	91.64	-1.0	82.90	-1.0	65.62	-1.0	66.54	-1.0	70.96	-1.0	74.36	-1.0	73.71	-1.0
loss	0.59	-1.0	0.46	-1.0	0.32	-1.0	0.23	-1.0	0.38	-1.0	0.63	-1.0	0.62	-1.0	0.53	-1.0	0.54	-1.0	0.52	-1.0
epochs	8	-1.0	8	-1.0	11	-1.0	10	-1.0	10	-1.0	13	-1.0	20	-1.0	13	-1.0	8	-1.0	9	-1.0
df_test_%	0.0	-1.0	3.2	-1.0	6.1	-1.0	5.4	-1.0	5.4	-1.0	11.6	-1.0	11.6	-1.0	11.6	-1.0	6.5	-1.0	12.3	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0
mean	0.579	-1.0	0.5189	-1.0	0.4052	-1.0	0.4707	-1.0	0.492	-1.0	0.5367	-1.0	0.5285	-1.0	0.4439	-1.0	0.5536	-1.0	0.4709	-1.0
std	0.1209	-1.0	0.0942	-1.0	0.2528	-1.0	0.2605	-1.0	0.1627	-1.0	0.169	-1.0	0.1884	-1.0	0.2616	-1.0	0.077	-1.0	0.2348	-1.0
min	0.1993	-1.0	0.2881	-1.0	0.0126	-1.0	0.0229	-1.0	0.1608	-1.0	0.2781	-1.0	0.1436	-1.0	0.0058	-1.0	0.3925	-1.0	0.0555	-1.0
25%	0.4729	8.11	0.4522	6.76	0.2045	6.76	0.2438	6.76	0.3768	6.76	0.3607	8.11	0.3389	8.11	0.1655	7.43	0.4943	7.43	0.2484	7.43
