	TFm_0020.HK_neg_vgood16_mult_28	TFm_0020.HK_neg_vgood16_mult_28_per	TFm_0020.HK_neg_vgood16_mult_64	TFm_0020.HK_neg_vgood16_mult_64_per	TFm_0020.HK_neg_vgood16_mult_128	TFm_0020.HK_neg_vgood16_mult_128_per	TFm_0020.HK_neg_vgood16_mult_conv2	TFm_0020.HK_neg_vgood16_mult_conv2_per	TFm_0020.HK_neg_vgood16_mult_conv	TFm_0020.HK_neg_vgood16_mult_conv_per	TFm_0020.HK_neg_vgood16__simp_cordo	TFm_0020.HK_neg_vgood16__simp_cordo_per	TFm_0020.HK_neg_vgood16_mult_linear	TFm_0020.HK_neg_vgood16_mult_linear_per	TFm_0020.HK_neg_vgood16_mult_dense2	TFm_0020.HK_neg_vgood16_mult_dense2_per	TFm_0020.HK_neg_vgood16_mult_lstm	TFm_0020.HK_neg_vgood16_mult_lstm_per	TFm_0020.HK_neg_vgood16__mult_gru	TFm_0020.HK_neg_vgood16__mult_gru_per
50%	0.5996	8.08	0.5286	9.09	0.3732	9.09	0.4898	9.09	0.4916	8.08	0.5672	6.06	0.5473	6.06	0.549	10.1	0.564	8.08	0.4553	9.09
60%	0.6442	8.86	0.5508	8.86	0.4417	10.13	0.5716	10.13	0.5482	10.13	0.6194	7.59	0.6189	7.59	0.5869	11.39	0.5894	7.59	0.5581	8.86
70%	0.6747	8.33	0.583	10.0	0.5674	8.33	0.6496	10.0	0.5997	11.67	0.6526	10.0	0.6521	8.33	0.6076	10.0	0.6058	6.67	0.6366	11.67
75%	0.6855	10.0	0.5961	10.0	0.6004	10.0	0.6913	8.0	0.6188	14.0	0.6677	10.0	0.6613	10.0	0.6228	10.0	0.6131	8.0	0.6887	10.0
80%	0.6928	10.26	0.6068	10.0	0.6533	5.0	0.7284	10.0	0.6354	12.5	0.6801	10.0	0.6711	10.26	0.6346	7.5	0.6261	10.0	0.7351	12.5
85%	0.704	6.67	0.6147	3.33	0.7042	6.67	0.769	13.33	0.6813	6.67	0.696	10.0	0.6846	13.33	0.674	10.0	0.6327	13.33	0.7682	13.33
86%	0.7065	3.57	0.6167	3.57	0.7312	7.14	0.7822	10.71	0.6855	3.57	0.699	10.71	0.6908	10.71	0.6875	10.71	0.6338	14.29	0.7718	14.29
87%	0.7112	3.85	0.6197	3.85	0.7453	7.69	0.7835	11.54	0.6929	3.85	0.7052	11.54	0.6986	11.54	0.7167	11.54	0.6365	7.69	0.7785	11.54
88%	0.7144	0.0	0.6226	4.17	0.7543	8.33	0.7921	4.17	0.7045	4.17	0.7561	12.5	0.7765	12.5	0.7261	12.5	0.6382	8.33	0.7834	12.5
89%	0.7157	0.0	0.6244	4.55	0.7736	4.55	0.807	4.55	0.7112	4.55	0.7622	9.09	0.8024	9.09	0.73	9.09	0.6398	9.09	0.7858	13.64
90%	0.7184	0.0	0.6261	5.0	0.7769	5.0	0.8207	5.0	0.7151	5.0	0.7745	10.0	0.8124	10.0	0.7352	10.0	0.641	10.0	0.7898	10.0
91%	0.7207	0.0	0.6278	5.56	0.7846	5.56	0.8331	5.56	0.7183	5.56	0.7955	11.11	0.828	11.11	0.7434	11.11	0.6433	5.56	0.7915	11.11
92%	0.7231	0.0	0.6337	0.0	0.7936	6.25	0.8393	6.25	0.722	6.25	0.8021	12.5	0.8307	12.5	0.7672	12.5	0.647	5.88	0.7965	12.5
93%	0.728	0.0	0.6419	0.0	0.7961	7.14	0.8513	7.14	0.7283	7.14	0.8038	14.29	0.8333	14.29	0.7714	14.29	0.6503	0.0	0.7983	14.29
94%	0.7352	0.0	0.6551	0.0	0.8301	8.33	0.8533	8.33	0.7452	8.33	0.8064	16.67	0.8353	16.67	0.7849	15.38	0.673	0.0	0.8056	16.67
95%	0.746	0.0	0.6621	0.0	0.8516	10.0	0.8623	10.0	0.7497	10.0	0.8105	10.0	0.8422	10.0	0.7883	20.0	0.6741	0.0	0.8123	10.0
96%	0.7515	0.0	0.6658	0.0	0.8601	12.5	0.8713	12.5	0.7623	12.5	0.8339	12.5	0.8792	12.5	0.7952	12.5	0.677	0.0	0.8176	12.5
97%	0.7517	0.0	0.6731	0.0	0.8755	16.67	0.876	16.67	0.7677	16.67	0.8355	16.67	0.8811	16.67	0.8038	16.67	0.6784	0.0	0.8215	0.0
98%	0.7552	0.0	0.6783	0.0	0.8833	25.0	0.915	25.0	0.7778	20.0	0.839	25.0	0.8822	25.0	0.8406	0.0	0.6799	0.0	0.8253	0.0
max	0.7649	-1.0	0.7036	-1.0	0.9318	-1.0	0.9306	-1.0	0.8128	-1.0	0.8413	-1.0	0.8914	-1.0	0.8479	-1.0	0.6953	-1.0	0.8694	-1.0
