	TFm_2318.HK_neg_vgood16_mult_28	TFm_2318.HK_neg_vgood16_mult_28_per	TFm_2318.HK_neg_vgood16_mult_64	TFm_2318.HK_neg_vgood16_mult_64_per	TFm_2318.HK_neg_vgood16_mult_128	TFm_2318.HK_neg_vgood16_mult_128_per	TFm_2318.HK_neg_vgood16_mult_conv2	TFm_2318.HK_neg_vgood16_mult_conv2_per	TFm_2318.HK_neg_vgood16_mult_conv	TFm_2318.HK_neg_vgood16_mult_conv_per	TFm_2318.HK_neg_vgood16__simp_cordo	TFm_2318.HK_neg_vgood16__simp_cordo_per	TFm_2318.HK_neg_vgood16_mult_linear	TFm_2318.HK_neg_vgood16_mult_linear_per	TFm_2318.HK_neg_vgood16_mult_dense2	TFm_2318.HK_neg_vgood16_mult_dense2_per	TFm_2318.HK_neg_vgood16_mult_lstm	TFm_2318.HK_neg_vgood16_mult_lstm_per	TFm_2318.HK_neg_vgood16__mult_gru	TFm_2318.HK_neg_vgood16__mult_gru_per
acc_per	71.57	-1.0	73.75	-1.0	79.52	-1.0	85.45	-1.0	74.00	-1.0	68.81	-1.0	67.98	-1.0	74.00	-1.0	75.08	-1.0	76.42	-1.0
loss	0.54	-1.0	0.51	-1.0	0.39	-1.0	0.32	-1.0	0.48	-1.0	0.62	-1.0	0.62	-1.0	0.53	-1.0	0.39	-1.0	0.42	-1.0
epochs	8	-1.0	8	-1.0	8	-1.0	10	-1.0	8	-1.0	9	-1.0	8	-1.0	18	-1.0	12	-1.0	10	-1.0
df_test_%	26.4	-1.0	10.8	-1.0	25.1	-1.0	27.4	-1.0	6.2	-1.0	4.9	-1.0	7.8	-1.0	15.0	-1.0	25.8	-1.0	25.1	-1.0
positives	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0
count	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0
mean	0.5359	-1.0	0.5134	-1.0	0.5787	-1.0	0.6628	-1.0	0.5705	-1.0	0.5648	-1.0	0.549	-1.0	0.6383	-1.0	0.499	-1.0	0.6621	-1.0
std	0.0532	-1.0	0.1089	-1.0	0.1804	-1.0	0.228	-1.0	0.0542	-1.0	0.0084	-1.0	0.0237	-1.0	0.1693	-1.0	0.2691	-1.0	0.2295	-1.0
min	0.4486	-1.0	0.341	-1.0	0.2443	-1.0	0.1706	-1.0	0.4334	-1.0	0.543	-1.0	0.4848	-1.0	0.2259	-1.0	0.001	-1.0	0.1765	-1.0
25%	0.4966	5.56	0.4113	6.17	0.4367	5.56	0.4711	6.79	0.528	5.56	0.559	5.62	0.5315	6.17	0.4976	5.56	0.3475	6.79	0.5382	6.17
