	TFm_2318.HK_neg_vgood16_mult_28	TFm_2318.HK_neg_vgood16_mult_28_per	TFm_2318.HK_neg_vgood16_mult_64	TFm_2318.HK_neg_vgood16_mult_64_per	TFm_2318.HK_neg_vgood16_mult_128	TFm_2318.HK_neg_vgood16_mult_128_per	TFm_2318.HK_neg_vgood16_mult_conv2	TFm_2318.HK_neg_vgood16_mult_conv2_per	TFm_2318.HK_neg_vgood16_mult_conv	TFm_2318.HK_neg_vgood16_mult_conv_per	TFm_2318.HK_neg_vgood16__simp_cordo	TFm_2318.HK_neg_vgood16__simp_cordo_per	TFm_2318.HK_neg_vgood16_mult_linear	TFm_2318.HK_neg_vgood16_mult_linear_per	TFm_2318.HK_neg_vgood16_mult_dense2	TFm_2318.HK_neg_vgood16_mult_dense2_per	TFm_2318.HK_neg_vgood16_mult_lstm	TFm_2318.HK_neg_vgood16_mult_lstm_per	TFm_2318.HK_neg_vgood16__mult_gru	TFm_2318.HK_neg_vgood16__mult_gru_per
50%	0.5253	8.33	0.5035	8.33	0.5714	8.33	0.7111	8.33	0.5731	7.41	0.5647	7.41	0.5492	7.41	0.681	7.41	0.557	10.19	0.701	8.33
60%	0.5441	9.2	0.5348	9.3	0.6296	10.34	0.7888	10.47	0.5859	8.14	0.5675	6.9	0.5556	9.41	0.7234	5.75	0.5678	11.63	0.796	10.34
70%	0.5579	12.31	0.5809	12.31	0.6801	13.85	0.8237	13.85	0.6049	7.69	0.5707	9.23	0.5593	10.77	0.7568	6.15	0.589	12.31	0.839	13.85
75%	0.5683	14.81	0.6015	9.26	0.7164	16.67	0.8546	16.67	0.6159	5.56	0.5716	9.43	0.562	12.96	0.7702	7.41	0.5961	12.96	0.8545	16.67
80%	0.5791	15.91	0.6167	6.82	0.7398	20.45	0.8831	18.18	0.6188	6.98	0.5732	9.52	0.5657	9.3	0.7882	9.09	0.6394	16.28	0.8742	20.93
85%	0.5918	18.18	0.6332	9.09	0.7829	27.27	0.9097	24.24	0.6258	6.06	0.5737	2.94	0.569	9.38	0.8054	12.12	0.7633	21.21	0.9092	21.21
86%	0.5948	19.35	0.64	9.68	0.7913	25.81	0.9167	19.35	0.6281	6.45	0.574	3.23	0.5724	9.68	0.8081	12.9	0.7817	22.58	0.9124	22.58
87%	0.6043	21.43	0.6443	10.71	0.7939	25.0	0.9266	21.43	0.6288	7.14	0.5742	3.57	0.5731	7.14	0.809	14.29	0.8016	21.43	0.9197	24.14
88%	0.6067	23.08	0.652	11.54	0.807	23.08	0.9296	23.08	0.6296	7.69	0.5744	4.0	0.5757	7.69	0.813	15.38	0.8145	23.08	0.9212	23.08
89%	0.6117	25.0	0.6537	12.5	0.8301	20.83	0.942	25.0	0.632	8.33	0.5744	4.0	0.5812	8.33	0.8141	16.67	0.8247	25.0	0.9266	20.83
90%	0.6179	27.27	0.6639	13.64	0.8446	22.73	0.9491	27.27	0.633	4.55	0.5746	4.76	0.5852	9.09	0.8165	13.64	0.8513	22.73	0.9369	22.73
91%	0.6211	30.0	0.6683	10.0	0.8498	25.0	0.9504	30.0	0.6342	5.0	0.5749	4.76	0.5871	10.0	0.8192	15.0	0.8681	25.0	0.9394	25.0
92%	0.6239	27.78	0.6755	11.11	0.8614	27.78	0.9518	27.78	0.6348	5.56	0.5751	5.56	0.5875	5.56	0.8201	16.67	0.9164	27.78	0.9417	27.78
93%	0.6294	25.0	0.6816	6.25	0.8687	31.25	0.9529	31.25	0.6432	6.25	0.5757	6.25	0.5892	6.25	0.8224	12.5	0.9267	31.25	0.9468	31.25
94%	0.6329	30.77	0.6984	7.69	0.8727	30.77	0.9547	30.77	0.6478	7.69	0.5758	7.69	0.5911	7.69	0.8311	7.69	0.9553	38.46	0.9535	30.77
95%	0.6365	27.27	0.7043	0.0	0.8804	36.36	0.9552	27.27	0.6647	9.09	0.5762	9.09	0.5923	9.09	0.8432	9.09	0.9657	45.45	0.9572	36.36
96%	0.6381	33.33	0.7118	0.0	0.8889	44.44	0.9573	22.22	0.6685	11.11	0.5765	11.11	0.593	11.11	0.8803	11.11	0.9677	55.56	0.9596	44.44
97%	0.6441	28.57	0.7287	0.0	0.9136	42.86	0.9612	0.0	0.6735	14.29	0.5772	14.29	0.5945	0.0	0.9254	14.29	0.973	57.14	0.962	28.57
98%	0.6559	0.0	0.7458	0.0	0.9262	40.0	0.975	0.0	0.6785	0.0	0.5789	0.0	0.6014	0.0	0.9553	20.0	0.9778	80.0	0.963	40.0
max	0.6999	-1.0	0.7986	-1.0	0.9565	-1.0	0.9924	-1.0	0.7057	-1.0	0.5878	-1.0	0.6171	-1.0	0.9882	-1.0	0.9822	-1.0	0.9793	-1.0
