	TFm_1519.HK_neg_good9_mult_28	TFm_1519.HK_neg_good9_mult_28_per	TFm_1519.HK_neg_good9_mult_64	TFm_1519.HK_neg_good9_mult_64_per	TFm_1519.HK_neg_good9_mult_128	TFm_1519.HK_neg_good9_mult_128_per	TFm_1519.HK_neg_good9_mult_conv2	TFm_1519.HK_neg_good9_mult_conv2_per	TFm_1519.HK_neg_good9_mult_conv	TFm_1519.HK_neg_good9_mult_conv_per	TFm_1519.HK_neg_good9__simp_cordo	TFm_1519.HK_neg_good9__simp_cordo_per	TFm_1519.HK_neg_good9_mult_linear	TFm_1519.HK_neg_good9_mult_linear_per	TFm_1519.HK_neg_good9_mult_dense2	TFm_1519.HK_neg_good9_mult_dense2_per	TFm_1519.HK_neg_good9_mult_lstm	TFm_1519.HK_neg_good9_mult_lstm_per	TFm_1519.HK_neg_good9__mult_gru	TFm_1519.HK_neg_good9__mult_gru_per
acc_per	72.43	-1.0	81.46	-1.0	89.88	-1.0	88.16	-1.0	85.59	-1.0	67.68	-1.0	67.29	-1.0	78.43	-1.0	89.88	-1.0	83.10	-1.0
loss	0.53	-1.0	0.40	-1.0	0.25	-1.0	0.30	-1.0	0.34	-1.0	0.61	-1.0	0.62	-1.0	0.45	-1.0	0.24	-1.0	0.41	-1.0
epochs	9	-1.0	11	-1.0	11	-1.0	14	-1.0	10	-1.0	11	-1.0	13	-1.0	8	-1.0	9	-1.0	9	-1.0
df_test_%	17.3	-1.0	19.0	-1.0	18.4	-1.0	15.8	-1.0	9.2	-1.0	7.7	-1.0	17.0	-1.0	16.2	-1.0	18.3	-1.0	17.5	-1.0
positives	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0
count	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0
mean	0.4934	-1.0	0.5108	-1.0	0.5842	-1.0	0.6258	-1.0	0.581	-1.0	0.5451	-1.0	0.603	-1.0	0.6316	-1.0	0.5888	-1.0	0.5648	-1.0
std	0.0707	-1.0	0.1712	-1.0	0.2295	-1.0	0.274	-1.0	0.1432	-1.0	0.0675	-1.0	0.1441	-1.0	0.1052	-1.0	0.2042	-1.0	0.1621	-1.0
min	0.3323	-1.0	0.1915	-1.0	0.1158	-1.0	0.0159	-1.0	0.2268	-1.0	0.4392	-1.0	0.1665	-1.0	0.3354	-1.0	0.1226	-1.0	0.2413	-1.0
25%	0.4388	5.2	0.3642	5.2	0.4036	5.2	0.4003	4.62	0.4696	4.62	0.4933	4.62	0.5172	5.2	0.5622	4.05	0.4292	5.2	0.4437	4.62
50%	0.4866	6.09	0.4986	6.03	0.5739	7.76	0.6909	6.9	0.5692	6.03	0.5388	4.35	0.6088	6.03	0.692	6.03	0.5989	6.96	0.553	5.22
60%	0.5129	5.38	0.5426	7.53	0.6365	7.53	0.7732	7.61	0.6164	5.43	0.5539	5.49	0.6525	7.61	0.6999	7.53	0.6703	5.43	0.5964	5.38
70%	0.5332	5.8	0.6054	8.57	0.7277	8.57	0.8351	10.0	0.6783	7.25	0.5668	7.25	0.674	8.57	0.7047	10.0	0.7161	5.71	0.6523	5.71
75%	0.5445	6.78	0.6283	10.34	0.7643	10.34	0.873	10.34	0.7045	6.9	0.5731	8.62	0.6922	10.17	0.7074	12.07	0.7394	6.9	0.6811	6.9
80%	0.5569	8.7	0.6639	10.87	0.8147	12.77	0.8982	12.77	0.7216	6.52	0.5837	10.64	0.7069	10.64	0.7099	15.22	0.7694	8.7	0.7253	8.51
85%	0.5723	11.43	0.7035	14.29	0.8658	14.29	0.9344	14.29	0.7548	8.57	0.5995	11.43	0.7369	14.29	0.7163	14.29	0.7979	11.43	0.763	11.43
86%	0.5757	12.12	0.7114	15.15	0.8744	15.15	0.9402	15.15	0.7636	9.09	0.601	9.09	0.7431	15.15	0.7175	15.15	0.8245	12.12	0.7665	12.12
87%	0.5787	13.33	0.7181	16.67	0.8818	13.33	0.9435	13.33	0.765	6.67	0.6143	10.0	0.7506	16.67	0.718	16.67	0.8316	13.33	0.7783	13.33
88%	0.5811	14.29	0.7289	17.86	0.9034	14.29	0.9462	14.29	0.7705	7.14	0.6418	10.71	0.7632	17.86	0.7188	18.52	0.8424	14.29	0.7848	14.29
89%	0.5829	15.38	0.7371	15.38	0.9133	15.38	0.9534	15.38	0.7723	7.69	0.6552	11.54	0.773	19.23	0.7197	19.23	0.8517	15.38	0.7884	15.38
90%	0.5841	16.67	0.7381	17.39	0.9163	17.39	0.9642	17.39	0.7802	8.7	0.6663	8.33	0.7849	17.39	0.7212	17.39	0.866	16.67	0.7981	17.39
91%	0.5872	19.05	0.7491	19.05	0.9244	19.05	0.9684	14.29	0.7813	9.52	0.6767	4.76	0.7927	14.29	0.7225	14.29	0.8739	19.05	0.8098	19.05
92%	0.5968	21.05	0.7656	21.05	0.9261	21.05	0.9725	15.79	0.7829	10.53	0.6843	5.26	0.8019	15.79	0.7247	15.79	0.883	21.05	0.8198	21.05
93%	0.6038	17.65	0.7781	23.53	0.9311	23.53	0.9754	17.65	0.7839	11.76	0.6855	5.88	0.8071	17.65	0.7266	11.76	0.8966	23.53	0.8279	17.65
94%	0.6116	21.43	0.7966	28.57	0.9422	28.57	0.9773	21.43	0.7967	14.29	0.6862	7.14	0.8172	7.14	0.7281	14.29	0.9093	28.57	0.8466	21.43
95%	0.6182	25.0	0.8419	25.0	0.962	25.0	0.9808	25.0	0.7975	16.67	0.6878	8.33	0.8304	8.33	0.7288	8.33	0.9159	33.33	0.8502	25.0
96%	0.6257	30.0	0.8555	30.0	0.9749	20.0	0.984	30.0	0.8062	20.0	0.696	10.0	0.8467	10.0	0.7301	10.0	0.9265	30.0	0.8579	30.0
97%	0.6356	25.0	0.8584	28.57	0.9778	28.57	0.9865	42.86	0.8172	14.29	0.7005	14.29	0.9017	0.0	0.732	0.0	0.9309	42.86	0.8662	28.57
98%	0.6395	20.0	0.869	40.0	0.9806	40.0	0.9882	40.0	0.8329	20.0	0.7067	20.0	0.9116	0.0	0.7378	0.0	0.9464	20.0	0.8766	40.0
max	0.6737	-1.0	0.9112	-1.0	0.9911	-1.0	0.994	-1.0	0.8861	-1.0	0.7125	-1.0	0.9387	-1.0	0.7615	-1.0	0.9655	-1.0	0.9006	-1.0
