	TFm_0002.HK_pos_reg4_mult_28	TFm_0002.HK_pos_reg4_mult_28_per	TFm_0002.HK_pos_reg4_mult_64	TFm_0002.HK_pos_reg4_mult_64_per	TFm_0002.HK_pos_reg4_mult_128	TFm_0002.HK_pos_reg4_mult_128_per	TFm_0002.HK_pos_reg4_mult_conv2	TFm_0002.HK_pos_reg4_mult_conv2_per	TFm_0002.HK_pos_reg4_mult_conv	TFm_0002.HK_pos_reg4_mult_conv_per	TFm_0002.HK_pos_reg4__simp_cordo	TFm_0002.HK_pos_reg4__simp_cordo_per	TFm_0002.HK_pos_reg4_mult_linear	TFm_0002.HK_pos_reg4_mult_linear_per	TFm_0002.HK_pos_reg4_mult_dense2	TFm_0002.HK_pos_reg4_mult_dense2_per	TFm_0002.HK_pos_reg4_mult_lstm	TFm_0002.HK_pos_reg4_mult_lstm_per	TFm_0002.HK_pos_reg4__mult_gru	TFm_0002.HK_pos_reg4__mult_gru_per
90%	0.7103	13.04	0.6886	17.39	0.6231	4.35	0.9972	0.0	0.7617	8.7	0.6799	4.35	0.8111	8.7	0.648	8.7	0.9442	13.04	0.6273	9.09
91%	0.7252	9.52	0.7052	14.29	0.6248	4.76	0.9973	0.0	0.7632	4.55	0.6983	4.76	0.8151	9.52	0.6494	9.52	0.9531	9.52	0.6341	9.52
92%	0.7277	11.11	0.7324	5.26	0.6294	5.26	0.9973	0.0	0.7674	5.26	0.7312	5.26	0.8274	10.53	0.6541	10.53	0.9557	11.11	0.6392	10.53
93%	0.7362	12.5	0.7526	6.25	0.639	6.67	0.9974	0.0	0.7765	6.25	0.7543	6.25	0.8393	6.25	0.6567	12.5	0.9623	12.5	0.6418	12.5
94%	0.7714	7.14	0.7692	7.14	0.6446	7.14	0.9975	0.0	0.7807	0.0	0.7747	7.14	0.8582	7.14	0.6596	14.29	0.9644	14.29	0.6537	14.29
95%	0.8023	8.33	0.7739	0.0	0.6574	8.33	0.9976	0.0	0.7921	0.0	0.809	8.33	0.861	8.33	0.6636	16.67	0.9692	16.67	0.6736	16.67
96%	0.8141	10.0	0.7868	0.0	0.6632	10.0	0.9976	0.0	0.8038	0.0	0.8283	10.0	0.8661	10.0	0.6689	20.0	0.9749	22.22	0.7212	20.0
97%	0.8338	14.29	0.8075	0.0	0.7145	14.29	0.9978	0.0	0.8177	0.0	0.8385	14.29	0.8691	14.29	0.6712	28.57	0.9834	28.57	0.7365	14.29
98%	0.8529	20.0	0.8202	0.0	0.7499	0.0	0.9978	0.0	0.8531	0.0	0.8445	20.0	0.8819	20.0	0.6734	40.0	0.9922	40.0	0.8343	20.0
max	0.9395	-1.0	0.8944	-1.0	0.9251	-1.0	0.9983	-1.0	0.8843	-1.0	0.8586	-1.0	0.9561	-1.0	0.9769	-1.0	0.9997	-1.0	0.914	-1.0
