	TFm_0001.HK_neg_low1_mult_28	TFm_0001.HK_neg_low1_mult_28_per	TFm_0001.HK_neg_low1_mult_64	TFm_0001.HK_neg_low1_mult_64_per	TFm_0001.HK_neg_low1_mult_128	TFm_0001.HK_neg_low1_mult_128_per	r_TFm_0001.HK_neg_low1_mult_conv2	TFm_0001.HK_neg_low1_mult_conv	TFm_0001.HK_neg_low1_mult_conv_per	TFm_0001.HK_neg_low1__simp_cordo	TFm_0001.HK_neg_low1__simp_cordo_per	TFm_0001.HK_neg_low1_mult_linear	TFm_0001.HK_neg_low1_mult_linear_per	TFm_0001.HK_neg_low1_mult_dense2	TFm_0001.HK_neg_low1_mult_dense2_per	TFm_0001.HK_neg_low1_mult_lstm	TFm_0001.HK_neg_low1_mult_lstm_per	TFm_0001.HK_neg_low1__mult_gru	TFm_0001.HK_neg_low1__mult_gru_per
acc_per	81.22	-1.0	86.58	-1.0	90.20	-1.0	-1	92.99	-1.0	80.77	-1.0	75.34	-1.0	86.43	-1.0	94.49	-1.0	87.93	-1.0
loss	0.43	-1.0	0.34	-1.0	0.25	-1.0	-1	0.24	-1.0	0.43	-1.0	0.52	-1.0	0.31	-1.0	0.15	-1.0	0.30	-1.0
epochs	12	-1.0	8	-1.0	8	-1.0	-1	8	-1.0	17	-1.0	13	-1.0	18	-1.0	14	-1.0	8	-1.0
df_test_%	11.9	-1.0	12.8	-1.0	4.6	-1.0	-1	3.6	-1.0	17.4	-1.0	18.3	-1.0	5.3	-1.0	9.8	-1.0	13.7	-1.0
positives	9	-1.0	9	-1.0	9	-1.0	-1	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0
count	233.0	-1.0	233.0	-1.0	233.0	-1.0	-1	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0
mean	0.5705	-1.0	0.4991	-1.0	0.5089	-1.0	-1	0.5792	-1.0	0.5197	-1.0	0.5858	-1.0	0.6591	-1.0	0.4797	-1.0	0.5987	-1.0
std	0.1599	-1.0	0.1314	-1.0	0.087	-1.0	-1	0.1312	-1.0	0.286	-1.0	0.2103	-1.0	0.3601	-1.0	0.3522	-1.0	0.1099	-1.0
min	0.2086	-1.0	0.2057	-1.0	0.3018	-1.0	-1	0.2227	-1.0	0.1165	-1.0	0.0156	-1.0	0.0	-1.0	0.0	-1.0	0.2935	-1.0
25%	0.4477	5.14	0.3996	4.6	0.444	4.57	-1	0.4784	4.57	0.1557	5.17	0.4348	5.17	0.3391	4.6	0.0976	5.17	0.5227	5.14
50%	0.5715	6.03	0.4762	5.13	0.5101	6.84	-1	0.5922	5.13	0.6849	7.69	0.6124	7.69	0.8506	6.03	0.5242	6.03	0.6296	5.17
60%	0.6166	6.45	0.5263	6.45	0.5372	4.3	-1	0.6287	5.38	0.7413	9.68	0.6778	7.53	0.8879	7.53	0.6847	7.53	0.6562	5.38
70%	0.6527	5.71	0.5634	8.57	0.5574	2.86	-1	0.6582	7.14	0.7662	10.0	0.734	8.57	0.9415	5.71	0.781	8.57	0.6756	7.14
75%	0.6774	6.78	0.585	10.17	0.5714	3.39	-1	0.678	8.47	0.775	10.17	0.7609	6.78	0.9536	5.08	0.8196	10.34	0.6857	8.47
80%	0.7091	8.51	0.6243	8.51	0.5922	2.13	-1	0.7006	6.38	0.7842	10.64	0.7905	8.51	0.9622	6.38	0.8644	10.64	0.696	10.64
85%	0.7578	11.43	0.6551	11.76	0.6079	2.86	-1	0.7151	2.86	0.791	11.43	0.8089	11.43	0.9716	5.71	0.8892	8.57	0.71	11.43
86%	0.7739	9.09	0.6583	9.09	0.6103	3.03	-1	0.7197	3.03	0.7921	12.12	0.8125	12.12	0.9731	6.06	0.8918	9.09	0.7116	12.12
