	TFm_1519.HK_pos_vgood16_mult_28	TFm_1519.HK_pos_vgood16_mult_28_per	TFm_1519.HK_pos_vgood16_mult_64	TFm_1519.HK_pos_vgood16_mult_64_per	TFm_1519.HK_pos_vgood16_mult_128	TFm_1519.HK_pos_vgood16_mult_128_per	TFm_1519.HK_pos_vgood16_mult_conv2	TFm_1519.HK_pos_vgood16_mult_conv2_per	TFm_1519.HK_pos_vgood16_mult_conv	TFm_1519.HK_pos_vgood16_mult_conv_per	TFm_1519.HK_pos_vgood16__simp_cordo	TFm_1519.HK_pos_vgood16__simp_cordo_per	TFm_1519.HK_pos_vgood16_mult_linear	TFm_1519.HK_pos_vgood16_mult_linear_per	TFm_1519.HK_pos_vgood16_mult_dense2	TFm_1519.HK_pos_vgood16_mult_dense2_per	TFm_1519.HK_pos_vgood16_mult_lstm	TFm_1519.HK_pos_vgood16_mult_lstm_per	TFm_1519.HK_pos_vgood16__mult_gru	TFm_1519.HK_pos_vgood16__mult_gru_per
acc_per	74.65	-1.0	86.12	-1.0	84.88	-1.0	85.50	-1.0	87.05	-1.0	74.88	-1.0	72.40	-1.0	83.33	-1.0	87.98	-1.0	88.29	-1.0
loss	0.55	-1.0	0.35	-1.0	0.38	-1.0	0.34	-1.0	0.37	-1.0	0.54	-1.0	0.52	-1.0	0.40	-1.0	0.32	-1.0	0.30	-1.0
epochs	8	-1.0	31	-1.0	12	-1.0	12	-1.0	26	-1.0	8	-1.0	24	-1.0	15	-1.0	18	-1.0	21	-1.0
df_test_%	41.5	-1.0	41.2	-1.0	25.4	-1.0	25.4	-1.0	31.4	-1.0	12.2	-1.0	25.7	-1.0	32.3	-1.0	0.0	-1.0	9.5	-1.0
positives	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0
count	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0
mean	0.5853	-1.0	0.4298	-1.0	0.446	-1.0	0.4376	-1.0	0.4439	-1.0	0.4938	-1.0	0.4345	-1.0	0.4285	-1.0	0.491	-1.0	0.3818	-1.0
std	0.069	-1.0	0.3296	-1.0	0.2694	-1.0	0.2922	-1.0	0.304	-1.0	0.108	-1.0	0.2512	-1.0	0.3421	-1.0	0.3088	-1.0	0.363	-1.0
min	0.4719	-1.0	0.0005	-1.0	0.0314	-1.0	0.009	-1.0	0.0076	-1.0	0.2778	-1.0	0.0831	-1.0	0.0027	-1.0	0.0	-1.0	0.002	-1.0
25%	0.5241	8.67	0.1301	10.98	0.2343	10.4	0.1852	10.4	0.185	10.4	0.4128	10.98	0.2404	10.98	0.0854	10.98	0.3029	10.98	0.0414	10.98
