	TFm_1519.HK_pos_vgood16_mult_28	TFm_1519.HK_pos_vgood16_mult_28_per	TFm_1519.HK_pos_vgood16_mult_64	TFm_1519.HK_pos_vgood16_mult_64_per	TFm_1519.HK_pos_vgood16_mult_128	TFm_1519.HK_pos_vgood16_mult_128_per	TFm_1519.HK_pos_vgood16_mult_conv2	TFm_1519.HK_pos_vgood16_mult_conv2_per	TFm_1519.HK_pos_vgood16_mult_conv	TFm_1519.HK_pos_vgood16_mult_conv_per	TFm_1519.HK_pos_vgood16__simp_cordo	TFm_1519.HK_pos_vgood16__simp_cordo_per	TFm_1519.HK_pos_vgood16_mult_linear	TFm_1519.HK_pos_vgood16_mult_linear_per	TFm_1519.HK_pos_vgood16_mult_dense2	TFm_1519.HK_pos_vgood16_mult_dense2_per	TFm_1519.HK_pos_vgood16_mult_lstm	TFm_1519.HK_pos_vgood16_mult_lstm_per	TFm_1519.HK_pos_vgood16__mult_gru	TFm_1519.HK_pos_vgood16__mult_gru_per
50%	0.5774	10.43	0.3685	16.52	0.4188	13.79	0.4137	13.91	0.3968	15.65	0.4989	13.79	0.3841	13.79	0.3456	13.91	0.5313	13.79	0.2039	13.91
60%	0.6082	11.96	0.5007	17.39	0.4894	16.13	0.5004	16.3	0.4789	18.28	0.5105	14.13	0.4453	17.2	0.503	17.2	0.6651	15.22	0.4674	16.3
70%	0.6351	15.71	0.6611	21.43	0.5914	21.74	0.6516	21.74	0.6111	22.86	0.5309	17.14	0.5224	22.86	0.689	23.19	0.7169	20.0	0.6199	15.94
75%	0.64	17.24	0.7687	24.14	0.6488	18.97	0.6978	20.69	0.6982	25.86	0.5427	20.69	0.57	20.69	0.7282	25.86	0.736	18.97	0.7887	18.97
80%	0.65	21.28	0.7993	23.91	0.6975	23.91	0.751	21.28	0.7321	25.53	0.5547	23.91	0.6703	23.91	0.8059	23.91	0.7704	10.87	0.8746	19.15
85%	0.6713	25.71	0.8842	28.57	0.7972	28.57	0.8069	25.71	0.8962	28.57	0.6493	22.86	0.7502	28.57	0.936	28.57	0.783	5.71	0.9138	19.44
86%	0.6733	27.27	0.8878	30.3	0.8059	30.3	0.8103	27.27	0.9059	30.3	0.6555	21.21	0.804	30.3	0.9431	27.27	0.7956	3.03	0.9145	12.12
87%	0.6747	30.0	0.8938	30.0	0.8096	30.0	0.8208	30.0	0.9182	30.0	0.657	20.0	0.8265	30.0	0.9444	30.0	0.8211	0.0	0.9154	10.0
88%	0.6767	32.14	0.9096	32.14	0.8781	32.14	0.8386	32.14	0.9316	28.57	0.6579	21.43	0.8381	28.57	0.9477	32.14	0.8375	0.0	0.9167	10.71
89%	0.6775	34.62	0.9207	34.62	0.8858	30.77	0.8897	30.77	0.9391	30.77	0.6647	19.23	0.8702	26.92	0.9499	30.77	0.8606	0.0	0.9175	11.54
90%	0.6793	39.13	0.9233	37.5	0.8897	26.09	0.8961	32.0	0.9409	34.78	0.6663	16.67	0.8767	25.0	0.9522	30.43	0.8715	0.0	0.9184	8.7
91%	0.6807	42.86	0.9347	42.86	0.8913	19.05	0.8972	23.81	0.9434	33.33	0.6682	4.76	0.8853	23.81	0.9538	33.33	0.8937	0.0	0.9189	9.52
92%	0.6848	47.37	0.9379	47.37	0.8951	21.05	0.8997	15.79	0.9448	31.58	0.6883	5.26	0.8955	26.32	0.956	31.58	0.911	0.0	0.9203	10.53
93%	0.6879	52.94	0.9393	52.94	0.899	23.53	0.9046	17.65	0.9461	29.41	0.6888	5.88	0.9096	23.53	0.9574	35.29	0.9187	0.0	0.9208	6.25
94%	0.6956	64.29	0.9475	64.29	0.9078	28.57	0.9087	21.43	0.9464	28.57	0.6906	0.0	0.9165	21.43	0.9586	35.71	0.9304	0.0	0.9217	7.14
95%	0.6983	58.33	0.9607	58.33	0.9136	25.0	0.9094	25.0	0.9472	33.33	0.6924	0.0	0.9227	25.0	0.9598	25.0	0.9444	0.0	0.9237	8.33
96%	0.7045	50.0	0.9638	50.0	0.9176	20.0	0.9131	30.0	0.9488	30.0	0.6939	0.0	0.9316	20.0	0.9604	20.0	0.9574	0.0	0.9241	10.0
97%	0.7093	42.86	0.9648	42.86	0.9201	0.0	0.9142	42.86	0.9497	37.5	0.6961	0.0	0.954	14.29	0.9625	0.0	0.9672	0.0	0.9255	0.0
98%	0.7167	60.0	0.9681	40.0	0.9269	0.0	0.9166	40.0	0.9503	20.0	0.6979	0.0	0.9681	0.0	0.9635	0.0	0.9721	0.0	0.9304	0.0
max	0.723	-1.0	0.9728	-1.0	0.9463	-1.0	0.9319	-1.0	0.9604	-1.0	0.7029	-1.0	0.9815	-1.0	0.9678	-1.0	0.9929	-1.0	0.9573	-1.0
