	TFm_2318.HK_neg_good9_mult_28	TFm_2318.HK_neg_good9_mult_28_per	TFm_2318.HK_neg_good9_mult_64	TFm_2318.HK_neg_good9_mult_64_per	TFm_2318.HK_neg_good9_mult_128	TFm_2318.HK_neg_good9_mult_128_per	TFm_2318.HK_neg_good9_mult_conv2	TFm_2318.HK_neg_good9_mult_conv2_per	TFm_2318.HK_neg_good9_mult_conv	TFm_2318.HK_neg_good9_mult_conv_per	TFm_2318.HK_neg_good9__simp_cordo	TFm_2318.HK_neg_good9__simp_cordo_per	TFm_2318.HK_neg_good9_mult_linear	TFm_2318.HK_neg_good9_mult_linear_per	TFm_2318.HK_neg_good9_mult_dense2	TFm_2318.HK_neg_good9_mult_dense2_per	TFm_2318.HK_neg_good9_mult_lstm	TFm_2318.HK_neg_good9_mult_lstm_per	TFm_2318.HK_neg_good9__mult_gru	TFm_2318.HK_neg_good9__mult_gru_per
acc_per	75.17	-1.0	83.89	-1.0	83.98	-1.0	83.56	-1.0	80.37	-1.0	69.97	-1.0	70.97	-1.0	87.67	-1.0	83.05	-1.0	89.43	-1.0
loss	0.52	-1.0	0.39	-1.0	0.34	-1.0	0.44	-1.0	0.40	-1.0	0.61	-1.0	0.58	-1.0	0.31	-1.0	0.37	-1.0	0.26	-1.0
epochs	9	-1.0	8	-1.0	8	-1.0	15	-1.0	10	-1.0	10	-1.0	11	-1.0	19	-1.0	9	-1.0	18	-1.0
df_test_%	7.0	-1.0	8.7	-1.0	12.7	-1.0	12.7	-1.0	11.7	-1.0	1.3	-1.0	6.2	-1.0	9.8	-1.0	11.9	-1.0	34.6	-1.0
positives	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0
count	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0
mean	0.5438	-1.0	0.6596	-1.0	0.7156	-1.0	0.5199	-1.0	0.676	-1.0	0.5591	-1.0	0.6432	-1.0	0.4308	-1.0	0.498	-1.0	0.4658	-1.0
std	0.1821	-1.0	0.1516	-1.0	0.1716	-1.0	0.3343	-1.0	0.1716	-1.0	0.0058	-1.0	0.232	-1.0	0.4036	-1.0	0.1856	-1.0	0.4111	-1.0
min	0.2494	-1.0	0.4473	-1.0	0.3849	-1.0	0.0247	-1.0	0.2007	-1.0	0.5512	-1.0	0.1474	-1.0	0.001	-1.0	0.0513	-1.0	0.001	-1.0
25%	0.3889	5.56	0.5287	5.56	0.5545	5.56	0.2113	5.56	0.5289	4.94	0.5545	4.97	0.4503	5.56	0.0358	5.56	0.3398	5.56	0.009	5.56
50%	0.4858	4.63	0.6133	6.48	0.7103	5.56	0.4552	8.33	0.6751	6.48	0.5568	6.48	0.639	6.48	0.2448	8.33	0.5626	8.33	0.4589	8.33
60%	0.5376	4.6	0.6901	4.6	0.7379	4.6	0.6039	9.3	0.7323	6.9	0.5589	6.98	0.7293	6.9	0.5878	10.47	0.6047	8.05	0.7156	10.47
70%	0.62	6.15	0.7609	6.15	0.8443	6.15	0.8335	10.77	0.809	6.15	0.5612	6.15	0.8403	9.23	0.8115	10.77	0.6349	9.23	0.8584	13.85
75%	0.7126	7.41	0.8131	7.41	0.9	7.41	0.8639	11.11	0.8407	7.41	0.5634	5.66	0.8726	9.26	0.8988	9.26	0.6484	9.26	0.9157	16.67
80%	0.7635	6.82	0.8334	9.09	0.9134	6.82	0.9163	11.36	0.8589	6.98	0.5656	6.82	0.9092	9.3	0.9336	11.36	0.6585	9.09	0.9484	20.93
85%	0.7813	6.06	0.8505	9.09	0.9313	9.09	0.9506	12.12	0.8769	9.09	0.5663	6.06	0.9232	9.09	0.9647	12.12	0.6668	9.38	0.961	25.0
86%	0.7883	6.45	0.8555	9.68	0.9392	9.68	0.9584	9.68	0.8821	9.68	0.5664	6.25	0.9291	9.68	0.9685	9.68	0.669	9.68	0.9621	25.81
87%	0.7943	7.14	0.8603	7.14	0.9418	10.71	0.9624	10.71	0.8873	10.71	0.5665	6.9	0.9334	10.34	0.9739	7.14	0.6727	10.71	0.9641	28.57
88%	0.796	7.69	0.8646	7.69	0.944	11.54	0.965	11.54	0.8902	11.54	0.5666	3.85	0.9386	7.69	0.9743	7.69	0.6764	11.54	0.9669	26.92
89%	0.7994	8.33	0.873	8.33	0.9442	12.5	0.966	12.5	0.8942	12.5	0.567	4.0	0.9438	8.33	0.9771	8.33	0.6885	12.5	0.9683	28.0
90%	0.809	9.09	0.8748	9.09	0.9455	13.64	0.9729	13.64	0.8993	13.64	0.5674	0.0	0.9518	4.55	0.9829	9.09	0.6906	13.64	0.9694	31.82
91%	0.8229	5.0	0.8804	10.0	0.951	15.0	0.9771	15.0	0.9035	15.0	0.5679	0.0	0.9586	5.0	0.985	10.0	0.7005	10.0	0.9705	35.0
92%	0.8348	5.56	0.8958	11.11	0.9539	11.11	0.9822	11.11	0.9092	11.11	0.5683	0.0	0.9621	5.56	0.9859	11.11	0.7053	11.11	0.973	38.89
93%	0.8436	6.25	0.9006	6.25	0.9558	12.5	0.9874	12.5	0.9156	6.25	0.5687	0.0	0.9688	6.25	0.9867	12.5	0.707	12.5	0.9735	46.67
