	TFm_1088.HK_pos_vgood16_mult_28	TFm_1088.HK_pos_vgood16_mult_28_per	TFm_1088.HK_pos_vgood16_mult_64	TFm_1088.HK_pos_vgood16_mult_64_per	TFm_1088.HK_pos_vgood16_mult_128	TFm_1088.HK_pos_vgood16_mult_128_per	TFm_1088.HK_pos_vgood16_mult_conv2	TFm_1088.HK_pos_vgood16_mult_conv2_per	TFm_1088.HK_pos_vgood16_mult_conv	TFm_1088.HK_pos_vgood16_mult_conv_per	TFm_1088.HK_pos_vgood16__simp_cordo	TFm_1088.HK_pos_vgood16__simp_cordo_per	TFm_1088.HK_pos_vgood16_mult_linear	TFm_1088.HK_pos_vgood16_mult_linear_per	TFm_1088.HK_pos_vgood16_mult_dense2	TFm_1088.HK_pos_vgood16_mult_dense2_per	TFm_1088.HK_pos_vgood16_mult_lstm	TFm_1088.HK_pos_vgood16_mult_lstm_per	TFm_1088.HK_pos_vgood16__mult_gru	TFm_1088.HK_pos_vgood16__mult_gru_per
acc_per	75.45	-1.0	81.70	-1.0	79.07	-1.0	82.30	-1.0	76.13	-1.0	62.65	-1.0	62.73	-1.0	71.23	-1.0	77.94	-1.0	80.35	-1.0
loss	0.51	-1.0	0.42	-1.0	0.44	-1.0	0.40	-1.0	0.49	-1.0	0.64	-1.0	0.65	-1.0	0.55	-1.0	0.45	-1.0	0.42	-1.0
epochs	14	-1.0	15	-1.0	8	-1.0	11	-1.0	11	-1.0	14	-1.0	14	-1.0	20	-1.0	9	-1.0	15	-1.0
df_test_%	8.3	-1.0	13.6	-1.0	7.1	-1.0	12.4	-1.0	13.4	-1.0	1.2	-1.0	2.6	-1.0	5.4	-1.0	10.1	-1.0	11.4	-1.0
positives	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0
count	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0
mean	0.5075	-1.0	0.5284	-1.0	0.7339	-1.0	0.6062	-1.0	0.5897	-1.0	0.5519	-1.0	0.5926	-1.0	0.6511	-1.0	0.7302	-1.0	0.5769	-1.0
std	0.2092	-1.0	0.2684	-1.0	0.1129	-1.0	0.2682	-1.0	0.2316	-1.0	0.068	-1.0	0.1136	-1.0	0.2125	-1.0	0.1921	-1.0	0.2783	-1.0
min	0.0002	-1.0	0.0	-1.0	0.1397	-1.0	0.0	-1.0	0.0001	-1.0	0.2991	-1.0	0.0694	-1.0	0.0008	-1.0	0.0001	-1.0	0.0059	-1.0
25%	0.3519	6.67	0.3251	7.78	0.6928	6.67	0.4142	7.78	0.4506	7.78	0.5152	5.56	0.5287	5.56	0.5284	6.11	0.7213	7.78	0.444	7.78
50%	0.5454	8.33	0.5888	8.33	0.7564	8.33	0.6761	8.33	0.6529	8.33	0.5638	5.83	0.6136	6.67	0.7283	6.67	0.793	6.67	0.7286	8.33
60%	0.6084	10.31	0.6648	10.42	0.776	7.29	0.742	10.42	0.7034	10.42	0.5724	6.25	0.6289	7.29	0.779	6.25	0.8103	8.33	0.7505	8.33
70%	0.6549	9.72	0.7229	9.72	0.7947	9.72	0.8078	11.11	0.7579	11.11	0.5858	5.56	0.651	5.56	0.8006	8.33	0.8277	6.94	0.7626	6.94
75%	0.6782	11.67	0.7611	11.48	0.807	10.0	0.8292	11.67	0.7743	11.67	0.591	3.33	0.6646	5.0	0.8119	10.0	0.8323	6.67	0.7695	6.67
80%	0.7045	14.58	0.7943	14.58	0.8146	10.42	0.8622	12.5	0.8036	10.42	0.6067	2.08	0.6829	4.17	0.8245	10.42	0.8473	6.25	0.7726	8.33
85%	0.7227	11.11	0.8185	11.11	0.8337	8.33	0.8879	13.89	0.8197	8.33	0.6203	2.78	0.7004	2.78	0.8336	11.11	0.8588	8.33	0.783	11.11
86%	0.7315	11.76	0.8208	11.76	0.8352	5.88	0.8889	11.43	0.8236	8.82	0.6208	2.94	0.7024	3.03	0.8362	8.82	0.8595	8.82	0.787	11.76
87%	0.736	12.5	0.8221	12.5	0.841	6.25	0.8917	12.12	0.8291	9.38	0.6226	3.12	0.7068	3.12	0.8381	9.38	0.861	9.38	0.7886	9.68
88%	0.7395	10.34	0.8243	13.79	0.845	6.67	0.8992	10.34	0.8327	10.34	0.6244	3.45	0.7111	3.45	0.8403	6.9	0.8614	10.34	0.7905	10.34
89%	0.7448	11.11	0.8325	14.81	0.8461	7.41	0.9017	11.11	0.8366	11.11	0.6257	3.7	0.7148	3.7	0.8423	7.41	0.863	11.11	0.7921	11.11
90%	0.7483	8.33	0.8372	12.5	0.8493	8.33	0.9067	12.5	0.838	12.5	0.6312	0.0	0.7171	4.17	0.8446	8.33	0.8664	8.33	0.7923	12.0
91%	0.7523	9.09	0.8415	13.64	0.8525	9.09	0.9108	13.64	0.8406	13.64	0.6331	0.0	0.7194	4.55	0.8454	4.55	0.8688	9.09	0.7942	13.64
92%	0.7597	5.0	0.8458	15.0	0.856	5.0	0.9174	15.0	0.8465	15.0	0.6366	0.0	0.7219	0.0	0.8468	5.0	0.8711	10.0	0.7954	10.0
93%	0.7661	5.88	0.8492	11.76	0.8575	5.88	0.9206	11.76	0.8516	17.65	0.6391	0.0	0.7318	0.0	0.849	0.0	0.8721	11.76	0.7984	11.11
94%	0.7754	6.67	0.8651	13.33	0.8598	0.0	0.9245	13.33	0.8547	6.67	0.6438	0.0	0.739	0.0	0.8501	0.0	0.8745	13.33	0.7993	13.33
95%	0.7798	8.33	0.8765	16.67	0.8611	0.0	0.9281	16.67	0.8637	8.33	0.6461	0.0	0.7485	0.0	0.8509	0.0	0.876	16.67	0.8014	16.67
96%	0.791	10.0	0.8916	20.0	0.863	0.0	0.9318	20.0	0.8735	0.0	0.649	0.0	0.7517	0.0	0.8527	0.0	0.8814	10.0	0.805	20.0
97%	0.7962	0.0	0.8929	12.5	0.8754	0.0	0.9427	25.0	0.8781	0.0	0.6596	0.0	0.7557	0.0	0.8556	0.0	0.8844	12.5	0.807	25.0
98%	0.8044	0.0	0.9005	20.0	0.8811	0.0	0.945	20.0	0.8852	0.0	0.6708	0.0	0.7701	0.0	0.859	0.0	0.8867	20.0	0.8086	40.0
max	0.824	-1.0	0.9075	-1.0	0.9053	-1.0	0.9652	-1.0	0.8979	-1.0	0.6888	-1.0	0.7981	-1.0	0.8708	-1.0	0.8907	-1.0	0.8182	-1.0
