	TFm_2318.HK_pos_good9_mult_28	TFm_2318.HK_pos_good9_mult_28_per	TFm_2318.HK_pos_good9_mult_64	TFm_2318.HK_pos_good9_mult_64_per	TFm_2318.HK_pos_good9_mult_128	TFm_2318.HK_pos_good9_mult_128_per	TFm_2318.HK_pos_good9_mult_conv2	TFm_2318.HK_pos_good9_mult_conv2_per	TFm_2318.HK_pos_good9_mult_conv	TFm_2318.HK_pos_good9_mult_conv_per	TFm_2318.HK_pos_good9__simp_cordo	TFm_2318.HK_pos_good9__simp_cordo_per	TFm_2318.HK_pos_good9_mult_linear	TFm_2318.HK_pos_good9_mult_linear_per	TFm_2318.HK_pos_good9_mult_dense2	TFm_2318.HK_pos_good9_mult_dense2_per	TFm_2318.HK_pos_good9_mult_lstm	TFm_2318.HK_pos_good9_mult_lstm_per	TFm_2318.HK_pos_good9__mult_gru	TFm_2318.HK_pos_good9__mult_gru_per
acc_per	83.17	-1.0	93.14	-1.0	95.10	-1.0	96.98	-1.0	93.63	-1.0	77.12	-1.0	70.51	-1.0	89.87	-1.0	97.14	-1.0	96.32	-1.0
loss	0.39	-1.0	0.22	-1.0	0.14	-1.0	0.10	-1.0	0.20	-1.0	0.49	-1.0	0.56	-1.0	0.23	-1.0	0.10	-1.0	0.10	-1.0
epochs	8	-1.0	9	-1.0	8	-1.0	11	-1.0	9	-1.0	12	-1.0	12	-1.0	9	-1.0	11	-1.0	16	-1.0
df_test_%	14.9	-1.0	17.6	-1.0	7.0	-1.0	13.2	-1.0	15.6	-1.0	20.1	-1.0	16.0	-1.0	30.0	-1.0	31.5	-1.0	36.7	-1.0
positives	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0
count	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0
mean	0.5066	-1.0	0.5508	-1.0	0.3847	-1.0	0.5454	-1.0	0.5638	-1.0	0.4793	-1.0	0.5872	-1.0	0.4247	-1.0	0.3938	-1.0	0.3337	-1.0
std	0.0628	-1.0	0.1097	-1.0	0.172	-1.0	0.2008	-1.0	0.1614	-1.0	0.0858	-1.0	0.1988	-1.0	0.2234	-1.0	0.3342	-1.0	0.3963	-1.0
min	0.3462	-1.0	0.2588	-1.0	0.1071	-1.0	0.0954	-1.0	0.1362	-1.0	0.2599	-1.0	0.0098	-1.0	0.0074	-1.0	0.0013	-1.0	0.0001	-1.0
25%	0.4579	6.79	0.4729	7.41	0.2526	6.79	0.4018	6.79	0.4566	6.79	0.4125	6.17	0.4515	7.41	0.2879	7.41	0.0824	7.41	0.0088	7.41
50%	0.5121	9.26	0.5608	8.33	0.3554	7.41	0.5256	8.33	0.5735	9.26	0.4896	8.33	0.5958	9.26	0.4038	9.26	0.2889	11.11	0.097	11.11
60%	0.5307	9.3	0.5848	9.3	0.4074	8.05	0.6031	10.47	0.6034	9.2	0.5199	10.34	0.6648	9.3	0.4368	11.49	0.4256	13.79	0.218	12.64
70%	0.5506	10.77	0.6188	10.77	0.4714	6.15	0.6613	10.77	0.6639	7.69	0.5397	12.31	0.7158	10.77	0.482	13.85	0.6842	15.38	0.5803	16.92
75%	0.556	11.11	0.6321	11.11	0.5188	7.41	0.7007	11.11	0.6946	7.41	0.5525	12.96	0.7413	12.96	0.5246	16.67	0.7209	18.52	0.7805	20.37
80%	0.5634	13.64	0.6473	11.36	0.5691	4.65	0.7467	11.36	0.7153	8.89	0.5609	11.63	0.7521	13.64	0.6136	20.93	0.7556	23.26	0.8863	25.58
85%	0.5685	15.15	0.6596	12.12	0.5969	6.06	0.7843	12.12	0.7473	12.12	0.5708	15.15	0.7981	12.12	0.709	21.21	0.7901	24.24	0.9558	30.3
86%	0.5721	16.13	0.661	12.9	0.6098	6.45	0.7955	12.9	0.7529	12.9	0.5743	16.13	0.8066	12.9	0.7248	22.58	0.8156	25.81	0.9718	32.26
87%	0.5755	14.29	0.6687	14.29	0.6176	7.14	0.7997	14.29	0.7611	14.29	0.5778	17.86	0.8114	14.29	0.7456	25.0	0.8405	28.57	0.9773	35.71
88%	0.5771	15.38	0.6708	15.38	0.6202	7.69	0.8066	15.38	0.7625	15.38	0.5807	18.52	0.8195	15.38	0.7572	26.92	0.8569	26.92	0.9838	38.46
