	TFm_0002.HK_neg_low1_mult_28	TFm_0002.HK_neg_low1_mult_28_per	TFm_0002.HK_neg_low1_mult_64	TFm_0002.HK_neg_low1_mult_64_per	TFm_0002.HK_neg_low1_mult_128	TFm_0002.HK_neg_low1_mult_128_per	TFm_0002.HK_neg_low1_mult_conv2	TFm_0002.HK_neg_low1_mult_conv2_per	TFm_0002.HK_neg_low1_mult_conv	TFm_0002.HK_neg_low1_mult_conv_per	TFm_0002.HK_neg_low1__simp_cordo	TFm_0002.HK_neg_low1__simp_cordo_per	TFm_0002.HK_neg_low1_mult_linear	TFm_0002.HK_neg_low1_mult_linear_per	TFm_0002.HK_neg_low1_mult_dense2	TFm_0002.HK_neg_low1_mult_dense2_per	TFm_0002.HK_neg_low1_mult_lstm	TFm_0002.HK_neg_low1_mult_lstm_per	TFm_0002.HK_neg_low1__mult_gru	TFm_0002.HK_neg_low1__mult_gru_per
acc_per	89.92	-1.0	85.56	-1.0	89.68	-1.0	61.75	-1.0	93.10	-1.0	73.65	-1.0	69.92	-1.0	70.56	-1.0	92.38	-1.0	85.87	-1.0
loss	0.28	-1.0	0.34	-1.0	0.28	-1.0	1.18	-1.0	0.20	-1.0	0.53	-1.0	0.57	-1.0	0.54	-1.0	0.21	-1.0	0.33	-1.0
epochs	21	-1.0	13	-1.0	9	-1.0	9	-1.0	10	-1.0	11	-1.0	14	-1.0	9	-1.0	15	-1.0	13	-1.0
df_test_%	21.2	-1.0	13.5	-1.0	13.3	-1.0	11.7	-1.0	6.7	-1.0	12.2	-1.0	13.0	-1.0	12.9	-1.0	15.3	-1.0	11.8	-1.0
positives	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0
count	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0
mean	0.6069	-1.0	0.6779	-1.0	0.741	-1.0	0.9597	-1.0	0.7264	-1.0	0.7771	-1.0	0.9012	-1.0	0.8439	-1.0	0.5609	-1.0	0.6639	-1.0
std	0.2609	-1.0	0.2227	-1.0	0.1587	-1.0	0.0385	-1.0	0.1793	-1.0	0.167	-1.0	0.1688	-1.0	0.162	-1.0	0.4134	-1.0	0.2694	-1.0
min	0.026	-1.0	0.0481	-1.0	0.1215	-1.0	0.7121	-1.0	0.0732	-1.0	0.1643	-1.0	0.0447	-1.0	0.0049	-1.0	0.0	-1.0	0.0281	-1.0
25%	0.3877	8.19	0.5512	8.14	0.6838	7.6	0.9574	7.56	0.6456	8.14	0.804	6.43	0.92	7.02	0.8582	7.02	0.0379	8.14	0.5025	7.56
50%	0.6361	9.65	0.723	10.53	0.7626	10.43	0.9665	10.43	0.7703	7.83	0.8352	8.77	0.9609	8.7	0.881	8.7	0.7645	8.77	0.7712	10.53
60%	0.7187	11.96	0.7788	11.96	0.7953	11.96	0.9717	10.99	0.8031	9.78	0.8465	8.7	0.9682	9.78	0.8878	9.78	0.8855	8.7	0.8385	11.96
70%	0.8056	14.49	0.8277	13.04	0.8325	11.59	0.9762	10.14	0.8405	10.14	0.8582	10.14	0.9813	8.7	0.8989	10.14	0.9356	10.14	0.8654	13.04
75%	0.8359	17.54	0.8444	15.52	0.8477	10.53	0.9783	10.17	0.8491	10.53	0.8616	8.77	0.9849	8.62	0.9035	8.62	0.9445	12.28	0.8741	13.79
80%	0.8748	21.74	0.8722	13.04	0.8675	8.7	0.9813	10.87	0.863	8.7	0.8648	10.87	0.9875	10.87	0.9104	8.7	0.9639	8.7	0.8843	17.39
85%	0.8961	20.0	0.8955	11.43	0.8843	11.43	0.983	14.29	0.8739	11.43	0.8679	14.29	0.9906	11.43	0.9141	11.43	0.9775	11.43	0.897	11.43
86%	0.8994	18.75	0.8978	12.5	0.8879	12.12	0.9832	15.62	0.8791	9.38	0.8693	12.12	0.9913	12.12	0.9177	12.5	0.9777	12.5	0.8991	12.5
87%	0.9089	20.0	0.9021	13.33	0.8888	13.33	0.9838	16.67	0.8823	10.0	0.8695	9.68	0.9924	9.68	0.9188	13.33	0.9786	13.33	0.905	13.33
88%	0.9129	21.43	0.9102	14.29	0.8915	14.29	0.9847	14.29	0.8844	7.14	0.8703	10.71	0.9925	10.34	0.9204	10.71	0.979	14.29	0.9066	14.29
89%	0.919	19.23	0.9178	11.54	0.8919	15.38	0.9857	15.38	0.889	8.0	0.8717	11.54	0.9927	12.0	0.9222	11.54	0.9819	15.38	0.9101	11.54
90%	0.9205	21.74	0.9226	13.04	0.8946	13.04	0.9865	8.7	0.8961	8.7	0.8725	13.04	0.9933	13.04	0.9227	12.5	0.9841	13.04	0.9153	12.5
91%	0.9245	19.05	0.9243	14.29	0.8993	14.29	0.9872	9.52	0.9032	4.76	0.8731	14.29	0.9938	14.29	0.925	14.29	0.985	14.29	0.9157	9.52
92%	0.937	21.05	0.9393	15.79	0.9047	10.53	0.9883	10.53	0.9068	5.26	0.8741	11.11	0.9943	15.79	0.9277	15.79	0.986	15.79	0.9162	10.53
93%	0.9505	25.0	0.9495	11.76	0.9287	12.5	0.989	11.76	0.9199	6.25	0.8742	12.5	0.9951	12.5	0.9322	12.5	0.9865	18.75	0.9171	12.5
