	TFm_0020.HK_neg_reg4_mult_28	TFm_0020.HK_neg_reg4_mult_28_per	TFm_0020.HK_neg_reg4_mult_64	TFm_0020.HK_neg_reg4_mult_64_per	TFm_0020.HK_neg_reg4_mult_128	TFm_0020.HK_neg_reg4_mult_128_per	TFm_0020.HK_neg_reg4_mult_conv2	TFm_0020.HK_neg_reg4_mult_conv2_per	TFm_0020.HK_neg_reg4_mult_conv	TFm_0020.HK_neg_reg4_mult_conv_per	TFm_0020.HK_neg_reg4__simp_cordo	TFm_0020.HK_neg_reg4__simp_cordo_per	TFm_0020.HK_neg_reg4_mult_linear	TFm_0020.HK_neg_reg4_mult_linear_per	TFm_0020.HK_neg_reg4_mult_dense2	TFm_0020.HK_neg_reg4_mult_dense2_per	TFm_0020.HK_neg_reg4_mult_lstm	TFm_0020.HK_neg_reg4_mult_lstm_per	TFm_0020.HK_neg_reg4__mult_gru	TFm_0020.HK_neg_reg4__mult_gru_per
50%	0.5231	7.07	0.5232	9.09	0.5586	10.1	0.9353	8.08	0.617	10.1	0.7024	10.1	0.8375	9.09	0.6882	9.09	0.5736	10.1	0.7776	10.1
60%	0.5592	8.86	0.5574	11.39	0.6008	12.66	0.941	10.13	0.64	12.66	0.7687	11.39	0.8752	10.13	0.7041	8.86	0.6325	12.66	0.8439	11.39
70%	0.5991	10.0	0.5914	13.33	0.624	11.67	0.9509	10.17	0.6647	13.33	0.8183	10.0	0.9167	11.67	0.7244	11.67	0.7038	16.67	0.8802	13.33
75%	0.6065	9.8	0.6139	14.0	0.6494	12.0	0.9576	8.0	0.6942	13.73	0.8267	12.0	0.9368	14.0	0.7332	12.0	0.7497	12.0	0.8983	14.0
80%	0.6213	10.0	0.6257	15.0	0.6793	12.5	0.9617	10.0	0.7189	14.63	0.8427	15.0	0.9443	17.5	0.7412	10.0	0.7786	15.0	0.9082	15.0
85%	0.6492	6.67	0.652	20.0	0.7235	13.33	0.9669	6.67	0.7446	16.67	0.8467	16.67	0.9567	16.67	0.7547	10.0	0.8309	16.67	0.921	13.33
86%	0.6559	7.14	0.655	21.43	0.7406	14.29	0.9674	3.57	0.7484	17.86	0.8474	14.29	0.9583	17.86	0.7575	10.71	0.8326	17.86	0.9271	14.29
87%	0.6642	7.69	0.6586	23.08	0.7478	15.38	0.9684	3.85	0.7507	19.23	0.8499	15.38	0.9606	15.38	0.7601	11.54	0.8341	19.23	0.9316	11.54
88%	0.6701	8.33	0.6629	16.67	0.752	12.5	0.9698	4.17	0.7542	20.83	0.8511	12.5	0.9656	12.5	0.7633	12.5	0.835	20.83	0.9389	8.33
89%	0.672	9.09	0.6667	18.18	0.7623	13.64	0.9704	4.55	0.7611	18.18	0.8523	13.64	0.9666	13.64	0.7668	9.09	0.8358	22.73	0.9443	9.09
90%	0.6747	10.0	0.6755	20.0	0.7704	15.0	0.9708	5.0	0.7742	15.0	0.8539	15.0	0.968	15.0	0.77	10.0	0.8376	20.0	0.9461	10.0
91%	0.6797	11.11	0.6777	22.22	0.7837	11.11	0.9712	5.56	0.7801	16.67	0.8552	11.11	0.9702	11.11	0.7711	11.11	0.8414	22.22	0.9505	11.11
92%	0.694	12.5	0.6855	18.75	0.7869	12.5	0.9719	6.25	0.7887	12.5	0.8567	12.5	0.9738	12.5	0.7739	12.5	0.8438	25.0	0.9514	12.5
93%	0.7007	14.29	0.6984	14.29	0.7892	7.14	0.9732	7.14	0.7956	14.29	0.8589	7.14	0.9768	14.29	0.777	14.29	0.8463	28.57	0.954	7.14
94%	0.709	8.33	0.7078	16.67	0.7953	0.0	0.9742	7.69	0.7986	16.67	0.8612	8.33	0.9813	15.38	0.7793	16.67	0.8546	33.33	0.9562	8.33
95%	0.7195	10.0	0.7174	20.0	0.801	0.0	0.9753	9.09	0.8034	20.0	0.8632	10.0	0.9817	20.0	0.7871	20.0	0.8625	40.0	0.959	10.0
96%	0.7255	12.5	0.7215	25.0	0.8068	0.0	0.9771	12.5	0.8119	22.22	0.8653	11.11	0.9825	12.5	0.7901	22.22	0.8649	50.0	0.9624	12.5
97%	0.752	0.0	0.7259	16.67	0.8226	0.0	0.9798	16.67	0.821	16.67	0.8662	16.67	0.9855	14.29	0.7916	16.67	0.8665	33.33	0.9656	16.67
98%	0.7875	0.0	0.7306	0.0	0.8341	0.0	0.9818	0.0	0.8247	25.0	0.8669	25.0	0.9876	25.0	0.7977	25.0	0.8694	25.0	0.9686	25.0
max	0.8401	-1.0	0.7625	-1.0	0.8733	-1.0	0.9922	-1.0	0.881	-1.0	0.8707	-1.0	0.9963	-1.0	0.816	-1.0	0.9219	-1.0	0.977	-1.0
