	TFm_0020.HK_neg_reg4_mult_28	TFm_0020.HK_neg_reg4_mult_28_per	TFm_0020.HK_neg_reg4_mult_64	TFm_0020.HK_neg_reg4_mult_64_per	TFm_0020.HK_neg_reg4_mult_128	TFm_0020.HK_neg_reg4_mult_128_per	TFm_0020.HK_neg_reg4_mult_conv2	TFm_0020.HK_neg_reg4_mult_conv2_per	TFm_0020.HK_neg_reg4_mult_conv	TFm_0020.HK_neg_reg4_mult_conv_per	TFm_0020.HK_neg_reg4__simp_cordo	TFm_0020.HK_neg_reg4__simp_cordo_per	TFm_0020.HK_neg_reg4_mult_linear	TFm_0020.HK_neg_reg4_mult_linear_per	TFm_0020.HK_neg_reg4_mult_dense2	TFm_0020.HK_neg_reg4_mult_dense2_per	TFm_0020.HK_neg_reg4_mult_lstm	TFm_0020.HK_neg_reg4_mult_lstm_per	TFm_0020.HK_neg_reg4__mult_gru	TFm_0020.HK_neg_reg4__mult_gru_per
acc_per	83.68	-1.0	88.99	-1.0	92.35	-1.0	89.27	-1.0	92.54	-1.0	81.34	-1.0	76.21	-1.0	88.43	-1.0	93.10	-1.0	92.35	-1.0
loss	0.45	-1.0	0.28	-1.0	0.21	-1.0	0.30	-1.0	0.23	-1.0	0.43	-1.0	0.51	-1.0	0.27	-1.0	0.19	-1.0	0.19	-1.0
epochs	9	-1.0	9	-1.0	8	-1.0	9	-1.0	8	-1.0	16	-1.0	13	-1.0	8	-1.0	10	-1.0	11	-1.0
df_test_%	10.9	-1.0	18.4	-1.0	12.0	-1.0	5.4	-1.0	16.2	-1.0	12.0	-1.0	13.2	-1.0	11.6	-1.0	23.2	-1.0	9.7	-1.0
positives	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0
count	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0
mean	0.5381	-1.0	0.5158	-1.0	0.5806	-1.0	0.931	-1.0	0.626	-1.0	0.5768	-1.0	0.8041	-1.0	0.6627	-1.0	0.571	-1.0	0.6886	-1.0
std	0.1064	-1.0	0.1239	-1.0	0.1206	-1.0	0.0327	-1.0	0.1008	-1.0	0.2773	-1.0	0.1622	-1.0	0.1133	-1.0	0.2033	-1.0	0.2571	-1.0
min	0.2819	-1.0	0.2375	-1.0	0.3384	-1.0	0.8037	-1.0	0.3982	-1.0	0.1313	-1.0	0.1083	-1.0	0.0832	-1.0	0.0422	-1.0	0.0673	-1.0
25%	0.4563	6.76	0.4184	7.43	0.4975	7.48	0.9106	6.04	0.559	7.43	0.2655	6.76	0.717	6.76	0.6291	7.43	0.4314	8.11	0.5495	8.11
