	TFm_2318.HK_neg_reg4_mult_28	TFm_2318.HK_neg_reg4_mult_28_per	TFm_2318.HK_neg_reg4_mult_64	TFm_2318.HK_neg_reg4_mult_64_per	TFm_2318.HK_neg_reg4_mult_128	TFm_2318.HK_neg_reg4_mult_128_per	TFm_2318.HK_neg_reg4_mult_conv2	TFm_2318.HK_neg_reg4_mult_conv2_per	TFm_2318.HK_neg_reg4_mult_conv	TFm_2318.HK_neg_reg4_mult_conv_per	TFm_2318.HK_neg_reg4__simp_cordo	TFm_2318.HK_neg_reg4__simp_cordo_per	TFm_2318.HK_neg_reg4_mult_linear	TFm_2318.HK_neg_reg4_mult_linear_per	TFm_2318.HK_neg_reg4_mult_dense2	TFm_2318.HK_neg_reg4_mult_dense2_per	TFm_2318.HK_neg_reg4_mult_lstm	TFm_2318.HK_neg_reg4_mult_lstm_per	TFm_2318.HK_neg_reg4__mult_gru	TFm_2318.HK_neg_reg4__mult_gru_per
90%	0.7253	22.73	0.9011	27.27	0.8968	31.82	0.9803	18.18	0.5721	27.27	0.6635	19.05	0.8225	4.76	0.7911	31.82	0.9521	40.91	0.8041	18.18
91%	0.733	25.0	0.9115	30.0	0.9008	35.0	0.9828	20.0	0.5741	30.0	0.6636	21.05	0.829	5.0	0.799	30.0	0.9536	45.0	0.8078	20.0
92%	0.7393	22.22	0.926	33.33	0.9205	38.89	0.9838	22.22	0.5756	33.33	0.6636	21.05	0.8377	5.56	0.8034	27.78	0.9591	50.0	0.8097	22.22
93%	0.7442	25.0	0.9341	37.5	0.9301	43.75	0.9851	25.0	0.5783	31.25	0.6636	21.05	0.8383	6.25	0.8081	31.25	0.965	56.25	0.8106	25.0
94%	0.7559	30.77	0.9391	41.67	0.9425	46.15	0.9863	15.38	0.5827	23.08	0.6638	21.43	0.8562	7.69	0.815	30.77	0.9699	61.54	0.8139	30.77
95%	0.7736	36.36	0.9393	45.45	0.9467	54.55	0.9897	18.18	0.5846	27.27	0.6638	21.43	0.8601	9.09	0.8237	36.36	0.9789	63.64	0.8147	27.27
96%	0.8002	44.44	0.9488	55.56	0.9623	55.56	0.9932	20.0	0.5896	33.33	0.6639	20.0	0.8644	11.11	0.8294	44.44	0.9822	66.67	0.8185	33.33
97%	0.8126	57.14	0.9639	71.43	0.9731	71.43	0.9937	28.57	0.5934	42.86	0.664	25.0	0.8765	14.29	0.9101	57.14	0.9859	71.43	0.825	28.57
98%	0.8261	80.0	0.9708	80.0	0.9865	80.0	0.9954	40.0	0.5965	60.0	0.6641	40.0	0.9068	20.0	0.929	60.0	0.9885	80.0	0.8274	40.0
max	0.9057	-1.0	0.9912	-1.0	0.9985	-1.0	0.9994	-1.0	0.6108	-1.0	0.6642	-1.0	0.9504	-1.0	0.9752	-1.0	0.996	-1.0	0.85	-1.0
