	TFm_2318.HK_neg_reg4_mult_28	TFm_2318.HK_neg_reg4_mult_28_per	TFm_2318.HK_neg_reg4_mult_64	TFm_2318.HK_neg_reg4_mult_64_per	TFm_2318.HK_neg_reg4_mult_128	TFm_2318.HK_neg_reg4_mult_128_per	TFm_2318.HK_neg_reg4_mult_conv2	TFm_2318.HK_neg_reg4_mult_conv2_per	TFm_2318.HK_neg_reg4_mult_conv	TFm_2318.HK_neg_reg4_mult_conv_per	TFm_2318.HK_neg_reg4__simp_cordo	TFm_2318.HK_neg_reg4__simp_cordo_per	TFm_2318.HK_neg_reg4_mult_linear	TFm_2318.HK_neg_reg4_mult_linear_per	TFm_2318.HK_neg_reg4_mult_dense2	TFm_2318.HK_neg_reg4_mult_dense2_per	TFm_2318.HK_neg_reg4_mult_lstm	TFm_2318.HK_neg_reg4_mult_lstm_per	TFm_2318.HK_neg_reg4__mult_gru	TFm_2318.HK_neg_reg4__mult_gru_per
acc_per	80.61	-1.0	90.64	-1.0	93.42	-1.0	78.75	-1.0	88.79	-1.0	75.46	-1.0	72.85	-1.0	83.31	-1.0	85.33	-1.0	82.55	-1.0
loss	0.42	-1.0	0.25	-1.0	0.18	-1.0	0.63	-1.0	0.29	-1.0	0.52	-1.0	0.56	-1.0	0.39	-1.0	0.29	-1.0	0.36	-1.0
epochs	14	-1.0	15	-1.0	14	-1.0	18	-1.0	8	-1.0	11	-1.0	10	-1.0	12	-1.0	10	-1.0	8	-1.0
df_test_%	22.5	-1.0	30.7	-1.0	34.3	-1.0	19.6	-1.0	28.3	-1.0	20.3	-1.0	6.9	-1.0	30.1	-1.0	44.0	-1.0	19.6	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0
mean	0.3609	-1.0	0.3851	-1.0	0.2586	-1.0	0.6581	-1.0	0.4378	-1.0	0.3796	-1.0	0.5698	-1.0	0.3009	-1.0	0.5292	-1.0	0.4301	-1.0
std	0.2507	-1.0	0.3349	-1.0	0.3531	-1.0	0.2738	-1.0	0.0987	-1.0	0.2453	-1.0	0.1817	-1.0	0.353	-1.0	0.3542	-1.0	0.2937	-1.0
min	0.033	-1.0	0.001	-1.0	0.0	-1.0	0.0953	-1.0	0.2422	-1.0	0.1198	-1.0	0.2441	-1.0	0.0	-1.0	0.0004	-1.0	0.0814	-1.0
25%	0.1414	7.41	0.0711	7.41	0.0026	7.36	0.3901	7.41	0.3484	6.17	0.1385	7.41	0.4051	7.41	0.0059	7.41	0.145	7.41	0.1426	7.41
50%	0.2601	9.26	0.2888	11.11	0.0302	10.19	0.677	8.33	0.433	8.33	0.2569	8.33	0.5438	8.33	0.051	10.19	0.6842	11.11	0.2819	8.33
60%	0.3634	10.47	0.4486	13.95	0.1287	12.64	0.7764	10.47	0.4766	10.47	0.6192	10.34	0.5896	10.47	0.2299	11.63	0.7334	13.79	0.6155	10.47
70%	0.5656	13.85	0.6222	18.46	0.315	16.92	0.9219	9.23	0.5157	12.31	0.6631	11.29	0.7115	13.85	0.7071	13.85	0.7939	16.92	0.7403	9.23
75%	0.619	14.81	0.6994	20.37	0.5042	18.52	0.9491	9.26	0.5275	14.81	0.6632	12.0	0.753	11.11	0.7298	14.81	0.8154	18.52	0.7741	9.26
80%	0.6562	18.6	0.7843	18.18	0.7173	20.45	0.9653	11.36	0.5381	13.95	0.6633	15.0	0.7749	9.3	0.7422	18.18	0.8608	23.26	0.7877	11.36
85%	0.6848	21.21	0.8438	25.0	0.842	24.24	0.973	15.15	0.5539	18.18	0.6634	20.69	0.8028	9.09	0.7748	24.24	0.9258	27.27	0.7944	12.12
86%	0.6943	22.58	0.8635	22.58	0.8638	25.81	0.9739	16.13	0.5589	20.0	0.6634	20.69	0.8148	9.68	0.7771	25.81	0.9318	29.03	0.7956	12.9
87%	0.7038	21.43	0.8711	25.0	0.8703	25.0	0.9748	14.29	0.5602	21.43	0.6634	20.69	0.8159	10.71	0.7805	28.57	0.9404	32.14	0.7961	14.29
88%	0.7158	19.23	0.8781	26.92	0.8783	26.92	0.9762	15.38	0.5647	23.08	0.6634	20.69	0.8208	11.54	0.7826	30.77	0.9436	34.62	0.797	15.38
89%	0.7224	20.83	0.8835	29.17	0.8904	29.17	0.9777	16.67	0.5677	25.0	0.6635	19.05	0.8221	8.33	0.786	29.17	0.9468	37.5	0.7999	16.67
