	TFm_1519.HK_neg_reg4_mult_28	TFm_1519.HK_neg_reg4_mult_28_per	TFm_1519.HK_neg_reg4_mult_64	TFm_1519.HK_neg_reg4_mult_64_per	TFm_1519.HK_neg_reg4_mult_128	TFm_1519.HK_neg_reg4_mult_128_per	TFm_1519.HK_neg_reg4_mult_conv2	TFm_1519.HK_neg_reg4_mult_conv2_per	TFm_1519.HK_neg_reg4_mult_conv	TFm_1519.HK_neg_reg4_mult_conv_per	TFm_1519.HK_neg_reg4__simp_cordo	TFm_1519.HK_neg_reg4__simp_cordo_per	TFm_1519.HK_neg_reg4_mult_linear	TFm_1519.HK_neg_reg4_mult_linear_per	TFm_1519.HK_neg_reg4_mult_dense2	TFm_1519.HK_neg_reg4_mult_dense2_per	TFm_1519.HK_neg_reg4_mult_lstm	TFm_1519.HK_neg_reg4_mult_lstm_per	TFm_1519.HK_neg_reg4__mult_gru	TFm_1519.HK_neg_reg4__mult_gru_per
acc_per	83.20	-1.0	85.23	-1.0	91.17	-1.0	76.80	-1.0	89.92	-1.0	73.12	-1.0	70.39	-1.0	74.69	-1.0	91.87	-1.0	83.36	-1.0
loss	0.39	-1.0	0.37	-1.0	0.23	-1.0	0.48	-1.0	0.28	-1.0	0.55	-1.0	0.58	-1.0	0.51	-1.0	0.22	-1.0	0.38	-1.0
epochs	15	-1.0	10	-1.0	12	-1.0	11	-1.0	9	-1.0	10	-1.0	13	-1.0	8	-1.0	13	-1.0	8	-1.0
df_test_%	25.0	-1.0	10.5	-1.0	16.6	-1.0	6.1	-1.0	6.6	-1.0	12.1	-1.0	9.2	-1.0	14.0	-1.0	23.1	-1.0	19.0	-1.0
positives	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0
count	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0
mean	0.5153	-1.0	0.495	-1.0	0.5101	-1.0	0.9728	-1.0	0.6004	-1.0	0.5243	-1.0	0.7149	-1.0	0.522	-1.0	0.4101	-1.0	0.5667	-1.0
std	0.195	-1.0	0.1625	-1.0	0.301	-1.0	0.0311	-1.0	0.1261	-1.0	0.1189	-1.0	0.2021	-1.0	0.2072	-1.0	0.3228	-1.0	0.2048	-1.0
min	0.117	-1.0	0.1766	-1.0	0.0097	-1.0	0.8107	-1.0	0.3221	-1.0	0.2676	-1.0	0.0783	-1.0	0.0395	-1.0	0.0064	-1.0	0.0912	-1.0
25%	0.3691	4.65	0.3884	5.23	0.2356	5.23	0.9674	4.65	0.5266	4.07	0.4317	4.65	0.5727	4.07	0.4068	4.07	0.1229	5.81	0.4602	4.65
50%	0.5191	6.09	0.4916	6.03	0.5557	6.09	0.9849	6.09	0.5963	6.09	0.5877	6.09	0.7797	5.22	0.6285	5.22	0.3062	7.83	0.6565	5.22
60%	0.5784	6.52	0.5286	7.61	0.6417	7.61	0.9871	7.61	0.6276	7.61	0.6108	6.59	0.805	6.52	0.6534	6.52	0.474	9.78	0.6907	5.43
70%	0.6275	8.7	0.5775	8.7	0.7312	7.25	0.9899	8.57	0.665	7.25	0.6176	5.8	0.8532	7.25	0.6701	8.7	0.621	10.14	0.713	5.8
75%	0.6485	10.34	0.602	10.53	0.7675	8.62	0.9916	6.9	0.6868	6.9	0.6197	6.9	0.8698	8.62	0.6731	10.53	0.7239	12.07	0.7201	6.9
80%	0.6832	13.04	0.6294	10.87	0.8009	10.87	0.9926	4.35	0.7045	8.7	0.6216	8.7	0.8871	8.7	0.6785	13.04	0.7834	13.04	0.7283	8.7
85%	0.739	17.14	0.6619	8.57	0.8598	14.71	0.9986	5.88	0.7395	8.57	0.6234	11.43	0.9056	8.57	0.682	14.29	0.8342	14.29	0.7329	11.43
86%	0.7479	18.18	0.6703	9.09	0.8611	15.62	0.9987	6.06	0.747	6.06	0.6241	9.09	0.9114	9.38	0.6828	15.15	0.8531	15.15	0.7343	12.12
87%	0.7576	20.0	0.68	10.0	0.8683	16.67	0.999	6.67	0.7486	6.67	0.6246	10.71	0.9179	10.0	0.6842	13.33	0.86	16.67	0.7359	12.9
88%	0.7612	21.43	0.689	10.71	0.871	14.29	0.9993	7.14	0.7506	7.14	0.6247	10.71	0.9265	7.14	0.686	10.71	0.8766	17.86	0.7378	14.29
89%	0.7652	23.08	0.6953	11.54	0.8817	15.38	0.9995	7.69	0.7564	7.69	0.6252	11.54	0.9355	7.69	0.6894	11.54	0.892	19.23	0.7381	16.0
90%	0.7698	26.09	0.7073	8.7	0.8974	17.39	0.9996	4.76	0.7642	8.7	0.6257	13.64	0.939	8.7	0.6922	13.04	0.9083	21.74	0.7403	17.39
91%	0.7781	23.81	0.7153	9.52	0.9038	19.05	0.9996	4.76	0.7674	4.76	0.626	14.29	0.9441	9.52	0.6943	14.29	0.9151	23.81	0.7427	19.05
92%	0.7857	26.32	0.7218	10.53	0.9069	15.79	0.9998	6.25	0.7777	5.26	0.6268	10.53	0.9472	10.53	0.6947	15.79	0.9308	26.32	0.7444	22.22
93%	0.7974	29.41	0.7333	11.76	0.9207	17.65	0.9998	6.25	0.7865	5.88	0.627	11.76	0.9545	11.76	0.6956	18.75	0.9429	29.41	0.7464	25.0
94%	0.8041	21.43	0.7601	14.29	0.9317	21.43	0.9999	10.0	0.7927	7.14	0.6276	13.33	0.9633	7.14	0.6971	21.43	0.9492	28.57	0.7473	28.57
95%	0.8099	25.0	0.7683	16.67	0.9421	25.0	0.9999	10.0	0.799	8.33	0.628	16.67	0.9681	8.33	0.6983	25.0	0.9603	33.33	0.7477	27.27
96%	0.8305	30.0	0.7821	10.0	0.9475	20.0	0.9999	10.0	0.8065	10.0	0.6286	11.11	0.9754	0.0	0.7003	33.33	0.9681	40.0	0.7482	30.0
97%	0.8651	28.57	0.8099	14.29	0.9535	14.29	0.9999	10.0	0.8153	14.29	0.6291	0.0	0.9775	0.0	0.707	14.29	0.9721	57.14	0.7495	14.29
98%	0.896	20.0	0.857	20.0	0.9725	20.0	0.9999	10.0	0.8534	20.0	0.6296	0.0	0.9792	0.0	0.7157	20.0	0.979	80.0	0.7517	20.0
max	0.9799	-1.0	0.9288	-1.0	0.9978	-1.0	0.9999	-1.0	0.93	-1.0	0.6311	-1.0	0.9862	-1.0	0.7296	-1.0	0.9894	-1.0	0.7706	-1.0
