	TFm_1299.HK_pos_good9_mult_28	TFm_1299.HK_pos_good9_mult_28_per	TFm_1299.HK_pos_good9_mult_64	TFm_1299.HK_pos_good9_mult_64_per	TFm_1299.HK_pos_good9_mult_128	TFm_1299.HK_pos_good9_mult_128_per	TFm_1299.HK_pos_good9_mult_conv2	TFm_1299.HK_pos_good9_mult_conv2_per	TFm_1299.HK_pos_good9_mult_conv	TFm_1299.HK_pos_good9_mult_conv_per	TFm_1299.HK_pos_good9__simp_cordo	TFm_1299.HK_pos_good9__simp_cordo_per	TFm_1299.HK_pos_good9_mult_linear	TFm_1299.HK_pos_good9_mult_linear_per	TFm_1299.HK_pos_good9_mult_dense2	TFm_1299.HK_pos_good9_mult_dense2_per	TFm_1299.HK_pos_good9_mult_lstm	TFm_1299.HK_pos_good9_mult_lstm_per	TFm_1299.HK_pos_good9__mult_gru	TFm_1299.HK_pos_good9__mult_gru_per
acc_per	84.88	-1.0	89.53	-1.0	91.10	-1.0	89.76	-1.0	88.35	-1.0	82.91	-1.0	80.71	-1.0	89.21	-1.0	92.05	-1.0	90.24	-1.0
loss	0.34	-1.0	0.26	-1.0	0.21	-1.0	0.22	-1.0	0.27	-1.0	0.38	-1.0	0.43	-1.0	0.26	-1.0	0.17	-1.0	0.22	-1.0
epochs	12	-1.0	14	-1.0	9	-1.0	9	-1.0	11	-1.0	11	-1.0	9	-1.0	8	-1.0	11	-1.0	11	-1.0
df_test_%	18.0	-1.0	23.1	-1.0	16.8	-1.0	17.0	-1.0	18.7	-1.0	13.8	-1.0	17.8	-1.0	16.3	-1.0	29.9	-1.0	26.0	-1.0
positives	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0
count	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0
mean	0.4133	-1.0	0.6045	-1.0	0.6104	-1.0	0.7557	-1.0	0.5836	-1.0	0.461	-1.0	0.6552	-1.0	0.4678	-1.0	0.4174	-1.0	0.5941	-1.0
std	0.2057	-1.0	0.2792	-1.0	0.2268	-1.0	0.1351	-1.0	0.2571	-1.0	0.2193	-1.0	0.1481	-1.0	0.1812	-1.0	0.3242	-1.0	0.3515	-1.0
min	0.0674	-1.0	0.0139	-1.0	0.0736	-1.0	0.3546	-1.0	0.0421	-1.0	0.2186	-1.0	0.2944	-1.0	0.1736	-1.0	0.0003	-1.0	0.0054	-1.0
25%	0.2379	9.36	0.3813	9.36	0.4695	9.3	0.6847	9.3	0.3828	9.3	0.2467	7.6	0.5459	9.3	0.3252	9.3	0.0864	9.36	0.2506	9.3
50%	0.3975	6.96	0.6955	13.91	0.6549	10.43	0.776	9.57	0.6407	13.91	0.4121	9.57	0.6861	9.57	0.4693	9.65	0.3855	13.91	0.727	12.17
60%	0.4581	8.7	0.7511	17.39	0.7028	13.04	0.8094	10.87	0.6971	14.13	0.5321	11.96	0.7218	11.96	0.5308	12.09	0.5187	17.39	0.8398	10.87
70%	0.5402	10.14	0.8094	18.84	0.7653	14.49	0.8417	10.14	0.7559	11.59	0.6275	13.04	0.75	15.94	0.5569	14.49	0.6694	21.74	0.8976	11.59
75%	0.5906	12.07	0.8408	21.05	0.7869	15.79	0.8586	12.07	0.7943	12.07	0.6635	14.04	0.7734	17.24	0.5702	14.04	0.7154	20.69	0.9178	12.07
80%	0.6202	13.04	0.8591	17.39	0.8203	13.04	0.8769	12.77	0.8237	13.04	0.6906	13.04	0.7954	15.22	0.5864	15.22	0.7533	26.09	0.9382	13.04
85%	0.6502	17.14	0.8752	17.14	0.8386	14.29	0.8965	17.14	0.8605	17.14	0.7543	14.29	0.8116	17.14	0.609	17.14	0.811	25.71	0.958	17.14
86%	0.6557	15.62	0.8882	18.75	0.851	15.62	0.8989	18.75	0.8658	18.18	0.7589	12.5	0.8155	15.62	0.6118	15.62	0.822	28.12	0.9596	18.75
87%	0.6583	16.67	0.8931	20.0	0.8567	16.67	0.9011	16.67	0.8703	16.67	0.7693	13.33	0.8211	16.67	0.6182	16.67	0.8346	30.0	0.9601	20.0
88%	0.6617	17.86	0.8963	17.86	0.8624	14.29	0.9081	14.29	0.8834	14.29	0.7759	10.71	0.8283	17.86	0.6244	17.86	0.8491	28.57	0.9636	21.43
89%	0.6662	19.23	0.8992	19.23	0.8664	15.38	0.9093	16.0	0.8851	15.38	0.7858	11.54	0.8331	19.23	0.6304	15.38	0.8564	26.92	0.9654	23.08
90%	0.6685	17.39	0.9059	21.74	0.8694	17.39	0.9116	17.39	0.8888	17.39	0.7902	13.04	0.8353	17.39	0.6411	17.39	0.8646	26.09	0.9695	26.09
91%	0.6885	19.05	0.9096	23.81	0.8704	19.05	0.9141	19.05	0.8993	19.05	0.794	14.29	0.8393	19.05	0.6527	19.05	0.8819	28.57	0.9746	28.57
92%	0.7022	15.79	0.9205	26.32	0.8736	15.79	0.9147	16.67	0.9033	21.05	0.7973	15.79	0.8424	21.05	0.6668	15.79	0.8857	31.58	0.9761	31.58
93%	0.7049	18.75	0.9207	29.41	0.8826	18.75	0.9177	18.75	0.9081	25.0	0.8008	17.65	0.8564	12.5	0.7299	12.5	0.9068	37.5	0.9769	25.0
94%	0.7148	21.43	0.9226	28.57	0.9127	21.43	0.9221	14.29	0.9112	28.57	0.8033	21.43	0.8619	7.14	0.7983	14.29	0.9189	35.71	0.9803	28.57
95%	0.7275	25.0	0.9247	33.33	0.9141	25.0	0.9254	16.67	0.9164	33.33	0.8185	25.0	0.8658	8.33	0.9039	16.67	0.9294	33.33	0.9819	25.0
96%	0.7648	30.0	0.9345	30.0	0.9178	30.0	0.9318	20.0	0.9242	30.0	0.8305	30.0	0.8687	10.0	0.9234	20.0	0.9393	40.0	0.9852	30.0
97%	0.7851	28.57	0.9462	42.86	0.9252	28.57	0.9409	28.57	0.939	42.86	0.8436	14.29	0.8751	14.29	0.9364	28.57	0.9524	42.86	0.9867	42.86
98%	0.8521	40.0	0.9537	40.0	0.9299	40.0	0.9537	40.0	0.9544	50.0	0.8461	20.0	0.8806	20.0	0.9434	20.0	0.9642	60.0	0.9887	60.0
max	0.9471	-1.0	0.9924	-1.0	0.9785	-1.0	0.9864	-1.0	0.9777	-1.0	0.8725	-1.0	0.929	-1.0	0.9775	-1.0	0.9998	-1.0	0.9985	-1.0
