	TFm_0020.HK_pos_low1_mult_28	TFm_0020.HK_pos_low1_mult_28_per	TFm_0020.HK_pos_low1_mult_64	TFm_0020.HK_pos_low1_mult_64_per	TFm_0020.HK_pos_low1_mult_128	TFm_0020.HK_pos_low1_mult_128_per	TFm_0020.HK_pos_low1_mult_conv2	TFm_0020.HK_pos_low1_mult_conv2_per	TFm_0020.HK_pos_low1_mult_conv	TFm_0020.HK_pos_low1_mult_conv_per	TFm_0020.HK_pos_low1__simp_cordo	TFm_0020.HK_pos_low1__simp_cordo_per	TFm_0020.HK_pos_low1_mult_linear	TFm_0020.HK_pos_low1_mult_linear_per	TFm_0020.HK_pos_low1_mult_dense2	TFm_0020.HK_pos_low1_mult_dense2_per	TFm_0020.HK_pos_low1_mult_lstm	TFm_0020.HK_pos_low1_mult_lstm_per	TFm_0020.HK_pos_low1__mult_gru	TFm_0020.HK_pos_low1__mult_gru_per
acc_per	91.14	-1.0	94.67	-1.0	97.20	-1.0	75.59	-1.0	99.19	-1.0	87.97	-1.0	86.80	-1.0	87.79	-1.0	97.56	-1.0	91.23	-1.0
loss	0.24	-1.0	0.16	-1.0	0.10	-1.0	1.09	-1.0	0.04	-1.0	0.31	-1.0	0.33	-1.0	0.32	-1.0	0.06	-1.0	0.23	-1.0
epochs	11	-1.0	10	-1.0	9	-1.0	12	-1.0	10	-1.0	21	-1.0	20	-1.0	10	-1.0	15	-1.0	13	-1.0
df_test_%	8.7	-1.0	10.9	-1.0	10.9	-1.0	9.7	-1.0	0.0	-1.0	5.4	-1.0	9.7	-1.0	10.9	-1.0	9.0	-1.0	20.6	-1.0
positives	7	-1.0	7	-1.0	7	-1.0	7	-1.0	7	-1.0	7	-1.0	7	-1.0	7	-1.0	7	-1.0	7	-1.0
count	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0
mean	0.4356	-1.0	0.5466	-1.0	0.5299	-1.0	0.9001	-1.0	0.415	-1.0	0.4397	-1.0	0.4572	-1.0	0.5371	-1.0	0.5869	-1.0	0.5613	-1.0
std	0.1941	-1.0	0.1788	-1.0	0.2381	-1.0	0.1105	-1.0	0.1949	-1.0	0.3849	-1.0	0.3208	-1.0	0.245	-1.0	0.3957	-1.0	0.3582	-1.0
min	0.0979	-1.0	0.1376	-1.0	0.0901	-1.0	0.4761	-1.0	0.0613	-1.0	0.01	-1.0	0.0009	-1.0	0.0078	-1.0	0.0003	-1.0	0.0062	-1.0
25%	0.2951	4.05	0.414	4.73	0.325	4.05	0.8565	4.05	0.2756	4.05	0.0334	4.73	0.17	4.73	0.3307	4.05	0.1389	4.05	0.1476	4.05
50%	0.418	5.05	0.5442	4.04	0.5071	4.04	0.941	2.02	0.3936	6.06	0.3997	4.04	0.413	6.06	0.5677	3.03	0.7688	6.06	0.6968	6.06
60%	0.4747	5.06	0.6115	5.06	0.5968	5.06	0.9682	2.53	0.4334	6.33	0.6955	5.06	0.5314	3.8	0.6503	2.53	0.8724	7.59	0.8245	7.59
70%	0.5092	6.67	0.6623	5.0	0.6812	3.33	0.9805	3.39	0.5044	1.67	0.8471	5.08	0.7229	3.33	0.7274	3.33	0.9411	10.0	0.8695	8.33
75%	0.5434	6.0	0.6863	4.0	0.7416	4.0	0.9846	4.0	0.5516	2.0	0.868	6.0	0.7665	4.0	0.7525	4.0	0.9726	12.0	0.8897	10.0
80%	0.6077	5.0	0.7128	5.0	0.7801	5.0	0.9879	5.0	0.5901	2.5	0.8806	5.0	0.8264	5.0	0.7827	5.0	0.9856	12.5	0.904	10.0
85%	0.6557	6.67	0.7447	6.67	0.8377	6.67	0.9918	6.67	0.6439	0.0	0.894	6.67	0.8691	6.67	0.813	6.67	0.9915	13.33	0.9193	13.33
86%	0.6607	7.14	0.7543	7.14	0.8452	7.14	0.9927	7.14	0.6563	0.0	0.8958	7.14	0.8716	7.14	0.8186	7.14	0.9924	10.71	0.92	14.29
87%	0.6728	7.69	0.764	7.69	0.8504	7.69	0.9933	7.69	0.6741	0.0	0.8972	7.69	0.8871	7.41	0.8195	7.69	0.9932	11.54	0.9223	15.38
88%	0.6895	8.33	0.7748	8.33	0.8561	8.33	0.9935	8.33	0.6795	0.0	0.9002	4.17	0.8888	8.33	0.8235	8.33	0.9938	12.0	0.9246	16.67
89%	0.7131	9.09	0.7783	9.09	0.8567	9.09	0.9938	9.09	0.6857	0.0	0.9034	4.55	0.8912	9.09	0.8257	9.09	0.9942	13.64	0.9271	18.18
90%	0.7229	10.0	0.7853	10.0	0.8646	10.0	0.9949	10.0	0.6951	0.0	0.9062	5.0	0.9012	10.0	0.8281	10.0	0.9955	10.0	0.9294	20.0
91%	0.7339	11.11	0.7887	11.11	0.8694	11.11	0.9955	11.11	0.6973	0.0	0.9097	5.56	0.9089	11.11	0.8334	11.11	0.9966	5.56	0.9322	22.22
92%	0.7517	6.25	0.7959	12.5	0.8739	12.5	0.9957	12.5	0.7079	0.0	0.912	6.25	0.9276	12.5	0.839	12.5	0.9971	5.88	0.9351	25.0
93%	0.7674	7.14	0.8028	14.29	0.8777	14.29	0.9965	7.14	0.7404	0.0	0.9168	7.14	0.9375	7.14	0.8465	14.29	0.9975	7.14	0.9385	21.43
94%	0.7787	8.33	0.8077	16.67	0.8929	8.33	0.9968	8.33	0.747	0.0	0.918	8.33	0.9469	8.33	0.852	16.67	0.998	8.33	0.9418	23.08
95%	0.8109	10.0	0.8223	20.0	0.9039	10.0	0.9972	10.0	0.7623	0.0	0.9213	10.0	0.9516	10.0	0.8628	10.0	0.9984	9.09	0.9438	18.18
96%	0.8276	12.5	0.8323	25.0	0.9058	12.5	0.9975	12.5	0.7897	0.0	0.9235	0.0	0.9571	12.5	0.8738	12.5	0.999	12.5	0.9466	25.0
97%	0.8549	0.0	0.8463	33.33	0.9175	16.67	0.9981	16.67	0.818	0.0	0.9286	0.0	0.9688	16.67	0.8763	16.67	0.9995	0.0	0.9553	33.33
98%	0.8573	0.0	0.8712	25.0	0.9224	25.0	0.9985	0.0	0.8416	0.0	0.9328	0.0	0.9758	25.0	0.8867	0.0	0.9998	0.0	0.9582	25.0
max	0.8942	-1.0	0.9172	-1.0	0.945	-1.0	0.9992	-1.0	0.9377	-1.0	0.9374	-1.0	0.9936	-1.0	0.9	-1.0	1.0	-1.0	0.9759	-1.0
