	TFm_1299.HK_neg_good9_mult_28	TFm_1299.HK_neg_good9_mult_28_per	TFm_1299.HK_neg_good9_mult_64	TFm_1299.HK_neg_good9_mult_64_per	TFm_1299.HK_neg_good9_mult_128	TFm_1299.HK_neg_good9_mult_128_per	TFm_1299.HK_neg_good9_mult_conv2	TFm_1299.HK_neg_good9_mult_conv2_per	TFm_1299.HK_neg_good9_mult_conv	TFm_1299.HK_neg_good9_mult_conv_per	TFm_1299.HK_neg_good9__simp_cordo	TFm_1299.HK_neg_good9__simp_cordo_per	TFm_1299.HK_neg_good9_mult_linear	TFm_1299.HK_neg_good9_mult_linear_per	TFm_1299.HK_neg_good9_mult_dense2	TFm_1299.HK_neg_good9_mult_dense2_per	TFm_1299.HK_neg_good9_mult_lstm	TFm_1299.HK_neg_good9_mult_lstm_per	TFm_1299.HK_neg_good9__mult_gru	TFm_1299.HK_neg_good9__mult_gru_per
70%	0.6062	14.49	0.6241	11.59	0.5593	15.94	0.7188	17.39	0.5109	15.94	0.7306	10.14	0.7441	10.14	0.7449	13.04	0.4941	17.39	0.7324	17.39
75%	0.6221	17.24	0.6586	12.28	0.6629	17.54	0.7848	18.97	0.5629	17.24	0.7758	12.07	0.7864	12.07	0.7772	12.28	0.6784	20.69	0.8179	20.69
80%	0.6525	19.57	0.685	15.22	0.7254	21.74	0.8487	21.74	0.6083	19.57	0.7994	15.22	0.8136	15.22	0.8022	15.56	0.7761	26.09	0.8611	21.74
85%	0.6943	20.0	0.722	17.14	0.8652	25.71	0.8826	25.71	0.6788	22.86	0.8255	17.14	0.8521	17.14	0.8253	20.0	0.8713	31.43	0.8987	22.86
86%	0.6968	18.75	0.7348	18.75	0.8691	28.12	0.8927	28.12	0.6867	25.0	0.8274	18.75	0.8629	18.75	0.8353	21.88	0.882	31.25	0.9061	25.0
87%	0.7123	20.0	0.7399	16.67	0.8785	30.0	0.903	26.67	0.6935	26.67	0.8311	20.0	0.8713	20.0	0.8384	23.33	0.8858	33.33	0.9097	26.67
88%	0.7193	21.43	0.7436	17.86	0.8931	32.14	0.9272	28.57	0.6996	25.0	0.8332	21.43	0.8897	21.43	0.8453	25.0	0.9038	35.71	0.9188	28.57
89%	0.7232	15.38	0.7514	19.23	0.9026	34.62	0.9293	30.77	0.7058	26.92	0.8367	23.08	0.8975	23.08	0.8504	23.08	0.911	38.46	0.9223	23.08
90%	0.7263	17.39	0.7609	17.39	0.9085	39.13	0.9319	34.78	0.7171	21.74	0.8393	26.09	0.9004	26.09	0.855	26.09	0.9197	39.13	0.9267	26.09
91%	0.7295	19.05	0.7639	19.05	0.9186	33.33	0.939	38.1	0.7327	23.81	0.8427	28.57	0.905	28.57	0.8634	30.0	0.9262	42.86	0.9314	23.81
92%	0.7369	21.05	0.7706	15.79	0.9378	36.84	0.9452	36.84	0.7518	21.05	0.8442	26.32	0.9097	27.78	0.8699	31.58	0.9321	42.11	0.9339	26.32
93%	0.7501	25.0	0.7849	18.75	0.9437	31.25	0.9533	43.75	0.7658	12.5	0.8531	23.53	0.9158	31.25	0.884	35.29	0.9402	43.75	0.9356	29.41
94%	0.7605	28.57	0.7866	14.29	0.9483	35.71	0.9548	50.0	0.7781	14.29	0.8539	28.57	0.9181	28.57	0.8887	42.86	0.9525	50.0	0.9375	35.71
95%	0.7648	25.0	0.7943	16.67	0.9554	33.33	0.9635	50.0	0.7983	16.67	0.858	33.33	0.9251	33.33	0.8994	41.67	0.965	58.33	0.9441	33.33
96%	0.768	30.0	0.7998	20.0	0.96	40.0	0.973	40.0	0.8233	20.0	0.8658	30.0	0.944	30.0	0.9142	50.0	0.9701	60.0	0.9528	40.0
97%	0.7926	28.57	0.8036	28.57	0.973	57.14	0.9784	28.57	0.8286	28.57	0.8677	42.86	0.9531	42.86	0.9398	42.86	0.9762	57.14	0.9599	57.14
98%	0.8084	20.0	0.8118	40.0	0.9785	60.0	0.9862	40.0	0.8378	40.0	0.8731	40.0	0.9585	40.0	0.9512	40.0	0.9868	60.0	0.9697	60.0
max	0.8395	-1.0	0.8875	-1.0	0.9971	-1.0	0.9919	-1.0	0.9451	-1.0	0.8831	-1.0	0.9784	-1.0	0.9756	-1.0	0.9978	-1.0	0.9818	-1.0
