	TFm_1299.HK_neg_good9_mult_28	TFm_1299.HK_neg_good9_mult_28_per	TFm_1299.HK_neg_good9_mult_64	TFm_1299.HK_neg_good9_mult_64_per	TFm_1299.HK_neg_good9_mult_128	TFm_1299.HK_neg_good9_mult_128_per	TFm_1299.HK_neg_good9_mult_conv2	TFm_1299.HK_neg_good9_mult_conv2_per	TFm_1299.HK_neg_good9_mult_conv	TFm_1299.HK_neg_good9_mult_conv_per	TFm_1299.HK_neg_good9__simp_cordo	TFm_1299.HK_neg_good9__simp_cordo_per	TFm_1299.HK_neg_good9_mult_linear	TFm_1299.HK_neg_good9_mult_linear_per	TFm_1299.HK_neg_good9_mult_dense2	TFm_1299.HK_neg_good9_mult_dense2_per	TFm_1299.HK_neg_good9_mult_lstm	TFm_1299.HK_neg_good9_mult_lstm_per	TFm_1299.HK_neg_good9__mult_gru	TFm_1299.HK_neg_good9__mult_gru_per
acc_per	82.21	-1.0	87.46	-1.0	96.24	-1.0	96.94	-1.0	93.50	-1.0	81.50	-1.0	77.82	-1.0	89.18	-1.0	93.26	-1.0	92.16	-1.0
loss	0.42	-1.0	0.31	-1.0	0.12	-1.0	0.10	-1.0	0.19	-1.0	0.44	-1.0	0.48	-1.0	0.27	-1.0	0.18	-1.0	0.21	-1.0
epochs	10	-1.0	8	-1.0	12	-1.0	11	-1.0	9	-1.0	20	-1.0	12	-1.0	9	-1.0	11	-1.0	11	-1.0
df_test_%	19.9	-1.0	18.0	-1.0	34.6	-1.0	35.5	-1.0	21.8	-1.0	24.8	-1.0	26.4	-1.0	28.5	-1.0	40.3	-1.0	26.2	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0
count	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0
mean	0.4768	-1.0	0.5247	-1.0	0.3652	-1.0	0.4568	-1.0	0.3745	-1.0	0.4371	-1.0	0.5272	-1.0	0.5204	-1.0	0.3193	-1.0	0.4348	-1.0
std	0.1899	-1.0	0.1669	-1.0	0.3318	-1.0	0.3388	-1.0	0.2352	-1.0	0.3113	-1.0	0.2913	-1.0	0.2919	-1.0	0.3626	-1.0	0.3557	-1.0
min	0.0808	-1.0	0.1762	-1.0	0.0012	-1.0	0.0031	-1.0	0.0122	-1.0	0.0869	-1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0023	-1.0
25%	0.333	8.19	0.3972	7.02	0.0757	7.6	0.1184	7.02	0.1777	8.14	0.1062	8.77	0.2975	8.14	0.2858	8.77	0.0089	7.56	0.074	7.02
50%	0.4745	10.43	0.5206	10.43	0.2498	10.53	0.4134	10.53	0.3174	11.3	0.407	10.53	0.5531	9.65	0.5828	12.17	0.092	10.53	0.3708	10.53
60%	0.5492	13.04	0.5763	9.78	0.3892	11.96	0.5826	13.04	0.4119	11.96	0.6078	11.96	0.6451	10.87	0.6854	13.04	0.3109	13.04	0.581	13.04
