	TFm_1519.HK_neg_vgood16_mult_28	TFm_1519.HK_neg_vgood16_mult_28_per	TFm_1519.HK_neg_vgood16_mult_64	TFm_1519.HK_neg_vgood16_mult_64_per	TFm_1519.HK_neg_vgood16_mult_128	TFm_1519.HK_neg_vgood16_mult_128_per	TFm_1519.HK_neg_vgood16_mult_conv2	TFm_1519.HK_neg_vgood16_mult_conv2_per	TFm_1519.HK_neg_vgood16_mult_conv	TFm_1519.HK_neg_vgood16_mult_conv_per	TFm_1519.HK_neg_vgood16__simp_cordo	TFm_1519.HK_neg_vgood16__simp_cordo_per	TFm_1519.HK_neg_vgood16_mult_linear	TFm_1519.HK_neg_vgood16_mult_linear_per	TFm_1519.HK_neg_vgood16_mult_dense2	TFm_1519.HK_neg_vgood16_mult_dense2_per	TFm_1519.HK_neg_vgood16_mult_lstm	TFm_1519.HK_neg_vgood16_mult_lstm_per	TFm_1519.HK_neg_vgood16__mult_gru	TFm_1519.HK_neg_vgood16__mult_gru_per
acc_per	75.30	-1.0	81.53	-1.0	83.36	-1.0	87.16	-1.0	82.83	-1.0	56.31	-1.0	61.63	-1.0	72.72	-1.0	86.78	-1.0	86.70	-1.0
loss	0.55	-1.0	0.40	-1.0	0.37	-1.0	0.30	-1.0	0.41	-1.0	0.67	-1.0	0.66	-1.0	0.54	-1.0	0.32	-1.0	0.33	-1.0
epochs	8	-1.0	10	-1.0	8	-1.0	13	-1.0	8	-1.0	16	-1.0	8	-1.0	10	-1.0	19	-1.0	14	-1.0
df_test_%	6.5	-1.0	19.5	-1.0	20.1	-1.0	26.7	-1.0	13.7	-1.0	13.7	-1.0	13.7	-1.0	13.7	-1.0	30.1	-1.0	28.8	-1.0
positives	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0	19	-1.0
count	234.0	-1.0	234.0	-1.0	234.0	-1.0	234.0	-1.0	234.0	-1.0	234.0	-1.0	234.0	-1.0	234.0	-1.0	234.0	-1.0	234.0	-1.0
mean	0.5445	-1.0	0.4843	-1.0	0.4873	-1.0	0.5167	-1.0	0.5312	-1.0	0.5033	-1.0	0.5334	-1.0	0.504	-1.0	0.3946	-1.0	0.4777	-1.0
std	0.0486	-1.0	0.0879	-1.0	0.0989	-1.0	0.3196	-1.0	0.0937	-1.0	0.0915	-1.0	0.0514	-1.0	0.1796	-1.0	0.4046	-1.0	0.3407	-1.0
min	0.4102	-1.0	0.2381	-1.0	0.3278	-1.0	0.0118	-1.0	0.4143	-1.0	0.4321	-1.0	0.4556	-1.0	0.0356	-1.0	0.0	-1.0	0.0159	-1.0
25%	0.5065	8.0	0.4303	8.57	0.4089	8.57	0.2385	9.71	0.4691	8.57	0.4517	8.0	0.5013	8.0	0.4115	9.71	0.0002	9.6	0.1493	10.29
50%	0.5499	6.9	0.4699	10.26	0.4707	11.11	0.4991	12.82	0.5019	9.4	0.4634	7.69	0.5161	7.69	0.5707	7.69	0.2219	12.82	0.4009	12.82
60%	0.5644	6.38	0.4928	10.64	0.4935	11.7	0.6533	13.83	0.514	9.57	0.4689	8.6	0.5266	8.51	0.5789	8.6	0.5434	14.89	0.6123	10.64
70%	0.5766	7.14	0.5136	11.43	0.5384	12.86	0.7571	14.29	0.5344	12.86	0.4873	7.14	0.5426	11.27	0.589	10.0	0.74	14.29	0.7449	14.29
75%	0.5833	6.78	0.5221	13.56	0.5592	13.56	0.8135	15.25	0.559	13.56	0.5002	8.47	0.5493	6.78	0.6024	10.17	0.8634	15.25	0.8222	15.25
80%	0.589	6.38	0.537	17.02	0.5779	12.77	0.8794	19.15	0.5831	6.38	0.5226	6.38	0.5627	8.51	0.6098	6.38	0.912	19.15	0.8881	19.15
85%	0.5944	8.57	0.5559	20.0	0.6003	17.14	0.9152	25.71	0.6329	8.57	0.5659	8.57	0.5901	8.57	0.6351	8.57	0.9317	25.71	0.9363	22.86
86%	0.5954	9.09	0.5647	18.18	0.6095	18.18	0.9185	24.24	0.6432	9.09	0.5914	9.09	0.5945	9.09	0.6399	9.09	0.9402	27.27	0.9448	24.24
87%	0.5979	9.68	0.5685	19.35	0.6149	19.35	0.9258	25.81	0.6535	10.0	0.628	9.68	0.6031	9.68	0.6417	9.68	0.9433	29.03	0.9506	25.81
88%	0.5989	7.14	0.577	21.43	0.6155	20.69	0.9358	28.57	0.6665	10.71	0.6436	10.71	0.6181	10.71	0.6526	10.71	0.9494	31.03	0.9549	28.57
89%	0.5996	7.69	0.5848	23.08	0.621	23.08	0.9385	26.92	0.672	11.54	0.6532	11.54	0.6283	11.54	0.6645	11.54	0.9523	30.77	0.9591	30.77
90%	0.601	8.33	0.6002	20.83	0.6267	25.0	0.9411	25.0	0.6808	12.5	0.6828	12.5	0.6323	12.5	0.6658	12.5	0.9566	29.17	0.9606	29.17
91%	0.6043	4.76	0.605	18.18	0.6386	18.18	0.9508	23.81	0.6859	14.29	0.6997	14.29	0.6366	14.29	0.6777	14.29	0.9575	28.57	0.9629	28.57
92%	0.6051	5.26	0.6236	15.79	0.6405	15.79	0.9705	26.32	0.7231	15.79	0.7063	15.79	0.6389	15.79	0.6809	15.79	0.9643	31.58	0.967	26.32
93%	0.6075	5.88	0.6405	17.65	0.6484	17.65	0.9789	29.41	0.7335	17.65	0.7178	17.65	0.6419	17.65	0.6934	17.65	0.9717	29.41	0.9707	29.41
94%	0.609	7.14	0.6515	21.43	0.6709	21.43	0.9824	20.0	0.752	21.43	0.7294	14.29	0.6455	21.43	0.709	21.43	0.9743	28.57	0.9771	35.71
95%	0.6096	8.33	0.6712	25.0	0.6803	25.0	0.9843	25.0	0.7603	25.0	0.7407	16.67	0.6465	25.0	0.7265	16.67	0.9752	33.33	0.9789	45.45
96%	0.6148	10.0	0.6762	30.0	0.6894	30.0	0.9872	20.0	0.7642	30.0	0.7471	10.0	0.6486	10.0	0.7349	10.0	0.9778	30.0	0.9805	50.0
97%	0.6179	0.0	0.6848	14.29	0.7075	14.29	0.9921	12.5	0.7788	28.57	0.751	0.0	0.655	0.0	0.7558	0.0	0.9802	42.86	0.9849	57.14
