	TFm_0002.HK_neg_reg4_mult_28	TFm_0002.HK_neg_reg4_mult_28_per	TFm_0002.HK_neg_reg4_mult_64	TFm_0002.HK_neg_reg4_mult_64_per	TFm_0002.HK_neg_reg4_mult_128	TFm_0002.HK_neg_reg4_mult_128_per	TFm_0002.HK_neg_reg4_mult_conv2	TFm_0002.HK_neg_reg4_mult_conv2_per	TFm_0002.HK_neg_reg4_mult_conv	TFm_0002.HK_neg_reg4_mult_conv_per	TFm_0002.HK_neg_reg4__simp_cordo	TFm_0002.HK_neg_reg4__simp_cordo_per	TFm_0002.HK_neg_reg4_mult_linear	TFm_0002.HK_neg_reg4_mult_linear_per	TFm_0002.HK_neg_reg4_mult_dense2	TFm_0002.HK_neg_reg4_mult_dense2_per	TFm_0002.HK_neg_reg4_mult_lstm	TFm_0002.HK_neg_reg4_mult_lstm_per	TFm_0002.HK_neg_reg4__mult_gru	TFm_0002.HK_neg_reg4__mult_gru_per
50%	0.604	9.32	0.6543	7.63	0.7401	10.17	0.9926	9.24	0.5885	7.63	0.5193	5.88	0.6365	6.78	0.7316	9.32	0.5855	11.02	0.8874	8.47
60%	0.6475	10.53	0.706	8.42	0.791	11.7	0.9954	11.83	0.6124	8.51	0.5193	5.88	0.6479	8.42	0.7829	11.7	0.7836	11.58	0.9038	9.57
70%	0.6952	14.08	0.7396	9.86	0.8423	11.27	0.9968	14.08	0.637	9.86	0.5194	6.67	0.667	7.04	0.8334	14.08	0.8535	14.08	0.9332	11.27
75%	0.7118	13.56	0.756	11.86	0.8592	13.56	0.9974	16.95	0.6488	11.86	0.5194	6.67	0.6814	8.47	0.8584	16.95	0.8878	15.25	0.9403	13.56
80%	0.7365	17.02	0.773	14.58	0.8804	17.02	0.9981	19.15	0.6585	14.58	0.5194	6.67	0.691	8.7	0.874	17.02	0.9139	19.15	0.9473	16.67
85%	0.7551	19.44	0.7882	13.89	0.9055	22.22	0.9986	22.86	0.6719	16.67	0.5194	6.67	0.707	8.33	0.895	16.67	0.9372	19.44	0.9517	16.67
86%	0.7602	21.21	0.7921	15.15	0.911	24.24	0.9987	25.0	0.6746	18.18	0.5194	6.67	0.7095	9.09	0.9022	18.18	0.9423	21.21	0.9528	18.18
87%	0.7617	22.58	0.7983	16.13	0.9237	22.58	0.9987	25.0	0.6784	19.35	0.5194	6.67	0.7126	9.68	0.9092	19.35	0.9503	19.35	0.9536	19.35
88%	0.7667	24.14	0.799	17.86	0.9362	24.14	0.9988	26.92	0.6832	20.0	0.5194	6.67	0.7149	10.71	0.9166	20.69	0.9516	20.69	0.9549	20.69
89%	0.7707	26.92	0.8031	19.23	0.9381	19.23	0.9988	26.92	0.6925	23.08	0.5194	6.67	0.7159	11.54	0.9297	23.08	0.9527	23.08	0.9574	23.08
90%	0.7754	29.17	0.8073	20.83	0.9411	20.83	0.9989	26.09	0.6948	25.0	0.5194	6.67	0.7171	12.5	0.9348	25.0	0.9554	25.0	0.9605	25.0
91%	0.7787	27.27	0.811	22.73	0.9438	18.18	0.9989	26.09	0.6973	27.27	0.5194	6.67	0.7182	13.64	0.942	27.27	0.9629	27.27	0.9621	22.73
92%	0.784	31.58	0.8174	26.32	0.9448	21.05	0.9991	31.58	0.6996	21.05	0.5195	0.0	0.7208	10.53	0.9451	31.58	0.9726	30.0	0.9631	21.05
93%	0.7876	35.29	0.8239	29.41	0.948	23.53	0.9992	29.41	0.7064	23.53	0.5195	0.0	0.7238	11.76	0.9487	35.29	0.974	35.29	0.9639	23.53
94%	0.7951	40.0	0.8277	33.33	0.9494	26.67	0.9993	35.71	0.7102	26.67	0.5195	0.0	0.7258	13.33	0.953	40.0	0.9755	40.0	0.9656	26.67
95%	0.8096	41.67	0.8353	33.33	0.9548	33.33	0.9993	35.71	0.7111	25.0	0.5197	0.0	0.728	15.38	0.9722	41.67	0.9785	50.0	0.9661	16.67
96%	0.8146	50.0	0.8414	40.0	0.9647	40.0	0.9994	71.43	0.7138	20.0	0.52	0.0	0.7309	20.0	0.9787	50.0	0.9832	60.0	0.9671	20.0
97%	0.8243	50.0	0.8457	42.86	0.9695	50.0	0.9994	71.43	0.7431	25.0	0.521	0.0	0.735	25.0	0.9894	62.5	0.9879	75.0	0.968	28.57
98%	0.8373	40.0	0.8637	60.0	0.9788	80.0	0.9996	100.0	0.7474	20.0	0.522	0.0	0.7422	40.0	0.9937	60.0	0.993	60.0	0.9744	40.0
max	0.9168	-1.0	0.894	-1.0	0.986	-1.0	0.9998	-1.0	0.775	-1.0	0.5253	-1.0	0.7619	-1.0	0.9987	-1.0	0.9996	-1.0	0.987	-1.0
