	TFm_0002.HK_neg_reg4_mult_28	TFm_0002.HK_neg_reg4_mult_28_per	TFm_0002.HK_neg_reg4_mult_64	TFm_0002.HK_neg_reg4_mult_64_per	TFm_0002.HK_neg_reg4_mult_128	TFm_0002.HK_neg_reg4_mult_128_per	TFm_0002.HK_neg_reg4_mult_conv2	TFm_0002.HK_neg_reg4_mult_conv2_per	TFm_0002.HK_neg_reg4_mult_conv	TFm_0002.HK_neg_reg4_mult_conv_per	TFm_0002.HK_neg_reg4__simp_cordo	TFm_0002.HK_neg_reg4__simp_cordo_per	TFm_0002.HK_neg_reg4_mult_linear	TFm_0002.HK_neg_reg4_mult_linear_per	TFm_0002.HK_neg_reg4_mult_dense2	TFm_0002.HK_neg_reg4_mult_dense2_per	TFm_0002.HK_neg_reg4_mult_lstm	TFm_0002.HK_neg_reg4_mult_lstm_per	TFm_0002.HK_neg_reg4__mult_gru	TFm_0002.HK_neg_reg4__mult_gru_per
acc_per	81.41	-1.0	79.34	-1.0	90.86	-1.0	67.82	-1.0	89.02	-1.0	54.92	-1.0	64.13	-1.0	86.18	-1.0	87.10	-1.0	88.33	-1.0
loss	0.43	-1.0	0.44	-1.0	0.25	-1.0	1.24	-1.0	0.29	-1.0	0.68	-1.0	0.64	-1.0	0.33	-1.0	0.32	-1.0	0.31	-1.0
epochs	15	-1.0	11	-1.0	13	-1.0	19	-1.0	8	-1.0	11	-1.0	9	-1.0	24	-1.0	16	-1.0	18	-1.0
df_test_%	29.1	-1.0	22.7	-1.0	21.2	-1.0	27.8	-1.0	23.3	-1.0	4.4	-1.0	11.8	-1.0	27.2	-1.0	26.9	-1.0	22.7	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0
count	236.0	-1.0	236.0	-1.0	236.0	-1.0	236.0	-1.0	236.0	-1.0	236.0	-1.0	236.0	-1.0	236.0	-1.0	236.0	-1.0	236.0	-1.0
mean	0.5665	-1.0	0.6236	-1.0	0.6556	-1.0	0.9421	-1.0	0.5676	-1.0	0.5194	-1.0	0.6244	-1.0	0.6237	-1.0	0.5033	-1.0	0.7838	-1.0
std	0.1983	-1.0	0.1793	-1.0	0.2662	-1.0	0.1787	-1.0	0.1153	-1.0	0.0007	-1.0	0.0759	-1.0	0.3027	-1.0	0.3965	-1.0	0.2541	-1.0
min	0.0158	-1.0	0.0511	-1.0	0.0024	-1.0	0.1171	-1.0	0.1782	-1.0	0.519	-1.0	0.3892	-1.0	0.0	-1.0	0.0	-1.0	0.0036	-1.0
25%	0.4766	7.34	0.5407	7.91	0.4925	7.91	0.9762	7.34	0.5166	7.34	0.5192	7.14	0.5788	6.78	0.4667	6.21	0.0102	7.34	0.7435	7.91
