	TFm_0001.HK_neg_vgood16_mult_28	TFm_0001.HK_neg_vgood16_mult_28_per	TFm_0001.HK_neg_vgood16_mult_64	TFm_0001.HK_neg_vgood16_mult_64_per	TFm_0001.HK_neg_vgood16_mult_128	TFm_0001.HK_neg_vgood16_mult_128_per	TFm_0001.HK_neg_vgood16_mult_conv2	TFm_0001.HK_neg_vgood16_mult_conv2_per	TFm_0001.HK_neg_vgood16_mult_conv	TFm_0001.HK_neg_vgood16_mult_conv_per	TFm_0001.HK_neg_vgood16__simp_cordo	TFm_0001.HK_neg_vgood16__simp_cordo_per	TFm_0001.HK_neg_vgood16_mult_linear	TFm_0001.HK_neg_vgood16_mult_linear_per	TFm_0001.HK_neg_vgood16_mult_dense2	TFm_0001.HK_neg_vgood16_mult_dense2_per	TFm_0001.HK_neg_vgood16_mult_lstm	TFm_0001.HK_neg_vgood16_mult_lstm_per	TFm_0001.HK_neg_vgood16__mult_gru	TFm_0001.HK_neg_vgood16__mult_gru_per
acc_per	78.96	-1.0	83.41	-1.0	86.79	-1.0	92.01	-1.0	81.80	-1.0	75.19	-1.0	74.12	-1.0	79.03	-1.0	83.87	-1.0	80.88	-1.0
loss	0.47	-1.0	0.39	-1.0	0.35	-1.0	0.20	-1.0	0.41	-1.0	0.50	-1.0	0.54	-1.0	0.45	-1.0	0.37	-1.0	0.43	-1.0
epochs	19	-1.0	16	-1.0	9	-1.0	22	-1.0	8	-1.0	18	-1.0	19	-1.0	13	-1.0	10	-1.0	12	-1.0
df_test_%	22.5	-1.0	28.4	-1.0	13.9	-1.0	36.0	-1.0	25.2	-1.0	9.2	-1.0	23.1	-1.0	25.2	-1.0	18.0	-1.0	18.0	-1.0
positives	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0
count	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0
mean	0.4232	-1.0	0.4387	-1.0	0.5091	-1.0	0.4745	-1.0	0.5787	-1.0	0.5304	-1.0	0.4946	-1.0	0.4667	-1.0	0.5122	-1.0	0.4308	-1.0
std	0.2062	-1.0	0.2365	-1.0	0.1479	-1.0	0.3411	-1.0	0.0415	-1.0	0.2613	-1.0	0.1974	-1.0	0.2669	-1.0	0.242	-1.0	0.2102	-1.0
min	0.0508	-1.0	0.0174	-1.0	0.1488	-1.0	0.0	-1.0	0.4433	-1.0	0.0639	-1.0	0.0272	-1.0	0.0028	-1.0	0.0768	-1.0	0.0667	-1.0
25%	0.2551	6.74	0.2389	8.99	0.3994	7.3	0.127	8.99	0.5523	6.74	0.2818	7.87	0.3648	7.87	0.2439	7.3	0.3017	7.87	0.2926	7.87
50%	0.4107	7.56	0.4492	9.24	0.5264	10.08	0.4884	12.61	0.584	8.4	0.6013	8.4	0.5013	9.24	0.4698	9.24	0.5228	7.56	0.4117	8.4
60%	0.4772	8.42	0.5101	10.53	0.5546	11.58	0.6116	14.74	0.5955	9.47	0.7132	10.53	0.5422	11.58	0.5684	11.58	0.605	7.37	0.4579	7.37
70%	0.5318	9.72	0.5841	12.5	0.5927	15.49	0.7519	15.28	0.6059	9.72	0.769	12.68	0.611	12.5	0.6697	13.89	0.6797	8.33	0.5203	9.72
75%	0.5916	10.0	0.6272	13.33	0.6176	11.67	0.7984	16.67	0.6108	11.67	0.7821	8.33	0.6402	11.67	0.7113	16.67	0.7094	10.0	0.5777	10.0
80%	0.6305	12.5	0.6525	16.67	0.633	14.58	0.8582	20.83	0.6141	14.58	0.7929	8.33	0.6616	14.58	0.7415	16.67	0.7401	12.5	0.6042	12.5
85%	0.6624	16.67	0.6829	22.22	0.657	19.44	0.8911	22.22	0.6195	16.67	0.7978	11.11	0.6883	19.44	0.7665	16.67	0.7783	11.11	0.6499	16.22
86%	0.6722	14.71	0.6913	23.53	0.6593	20.59	0.8968	23.53	0.6199	18.18	0.798	8.57	0.7005	20.59	0.7714	17.65	0.7863	11.76	0.6526	17.65
87%	0.6805	16.13	0.7023	22.58	0.6703	22.58	0.9018	25.81	0.621	19.35	0.7996	9.68	0.7074	22.58	0.7827	19.35	0.7956	12.9	0.6615	12.9
88%	0.6898	17.24	0.7085	24.14	0.6813	17.24	0.9072	27.59	0.6234	20.69	0.7998	10.71	0.7286	20.69	0.7923	20.69	0.8091	13.79	0.6775	13.79
89%	0.698	18.52	0.7143	26.92	0.6878	14.81	0.914	29.63	0.6251	22.22	0.8002	11.11	0.7431	18.52	0.8006	22.22	0.8159	14.81	0.6817	14.81
90%	0.7137	20.83	0.7407	25.0	0.6922	16.67	0.9185	33.33	0.6259	25.0	0.8014	8.33	0.7484	20.83	0.8087	25.0	0.827	16.67	0.6888	16.67
91%	0.7174	22.73	0.7467	27.27	0.6967	18.18	0.9283	36.36	0.6269	27.27	0.8017	9.09	0.7541	22.73	0.8165	27.27	0.8397	18.18	0.7058	18.18
92%	0.731	26.32	0.765	31.58	0.704	10.53	0.9388	42.11	0.6282	26.32	0.8022	10.0	0.7765	26.32	0.8371	26.32	0.8582	21.05	0.7776	21.05
93%	0.7376	29.41	0.8081	35.29	0.7306	5.88	0.9496	47.06	0.6311	29.41	0.803	5.88	0.7832	29.41	0.8446	29.41	0.8772	23.53	0.7923	23.53
94%	0.7414	33.33	0.8275	33.33	0.7436	6.67	0.9593	53.33	0.633	33.33	0.8037	6.67	0.7881	33.33	0.8578	33.33	0.8894	20.0	0.8081	26.67
95%	0.7519	41.67	0.8452	41.67	0.7534	8.33	0.9672	50.0	0.6347	33.33	0.8039	8.33	0.8002	41.67	0.862	33.33	0.9013	25.0	0.8465	25.0
96%	0.7743	50.0	0.8553	40.0	0.7592	10.0	0.9799	50.0	0.6376	40.0	0.8042	0.0	0.8087	50.0	0.8664	30.0	0.9146	30.0	0.8778	30.0
97%	0.7966	50.0	0.8911	37.5	0.7688	12.5	0.9839	57.14	0.6433	50.0	0.8045	0.0	0.8166	50.0	0.8832	37.5	0.9328	37.5	0.9049	37.5
98%	0.8076	20.0	0.9303	40.0	0.8093	20.0	0.9869	80.0	0.6488	80.0	0.8046	0.0	0.8743	60.0	0.9071	40.0	0.9421	60.0	0.9172	60.0
max	0.9056	-1.0	0.9676	-1.0	0.8819	-1.0	0.9965	-1.0	0.6919	-1.0	0.8052	-1.0	0.9338	-1.0	0.959	-1.0	0.9845	-1.0	0.9659	-1.0
