	TFm_0020.HK_neg_good9_mult_28	TFm_0020.HK_neg_good9_mult_28_per	TFm_0020.HK_neg_good9_mult_64	TFm_0020.HK_neg_good9_mult_64_per	TFm_0020.HK_neg_good9_mult_128	TFm_0020.HK_neg_good9_mult_128_per	TFm_0020.HK_neg_good9_mult_conv2	TFm_0020.HK_neg_good9_mult_conv2_per	TFm_0020.HK_neg_good9_mult_conv	TFm_0020.HK_neg_good9_mult_conv_per	TFm_0020.HK_neg_good9__simp_cordo	TFm_0020.HK_neg_good9__simp_cordo_per	TFm_0020.HK_neg_good9_mult_linear	TFm_0020.HK_neg_good9_mult_linear_per	TFm_0020.HK_neg_good9_mult_dense2	TFm_0020.HK_neg_good9_mult_dense2_per	TFm_0020.HK_neg_good9_mult_lstm	TFm_0020.HK_neg_good9_mult_lstm_per	TFm_0020.HK_neg_good9__mult_gru	TFm_0020.HK_neg_good9__mult_gru_per
acc_per	83.97	-1.0	88.71	-1.0	91.99	-1.0	93.44	-1.0	94.17	-1.0	76.87	-1.0	75.68	-1.0	87.89	-1.0	92.81	-1.0	85.97	-1.0
loss	0.41	-1.0	0.31	-1.0	0.21	-1.0	0.19	-1.0	0.18	-1.0	0.52	-1.0	0.52	-1.0	0.31	-1.0	0.18	-1.0	0.34	-1.0
epochs	9	-1.0	10	-1.0	8	-1.0	9	-1.0	10	-1.0	11	-1.0	15	-1.0	10	-1.0	10	-1.0	8	-1.0
df_test_%	16.1	-1.0	15.1	-1.0	17.8	-1.0	17.0	-1.0	15.8	-1.0	17.3	-1.0	18.4	-1.0	14.1	-1.0	34.2	-1.0	20.6	-1.0
positives	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0
count	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0
mean	0.5131	-1.0	0.5713	-1.0	0.4993	-1.0	0.8314	-1.0	0.4332	-1.0	0.5006	-1.0	0.5834	-1.0	0.6289	-1.0	0.4566	-1.0	0.5888	-1.0
std	0.1116	-1.0	0.1681	-1.0	0.1731	-1.0	0.0628	-1.0	0.2282	-1.0	0.1365	-1.0	0.2136	-1.0	0.2677	-1.0	0.3179	-1.0	0.1269	-1.0
min	0.293	-1.0	0.2771	-1.0	0.1701	-1.0	0.655	-1.0	0.1068	-1.0	0.319	-1.0	0.0411	-1.0	0.0053	-1.0	0.0003	-1.0	0.2967	-1.0
25%	0.4354	12.16	0.4392	12.84	0.3802	12.84	0.7797	12.84	0.2448	13.51	0.3919	12.16	0.4273	12.84	0.4805	12.84	0.139	12.16	0.4885	12.16
50%	0.4939	11.11	0.5318	17.17	0.4517	16.16	0.8259	14.14	0.3779	15.15	0.4582	15.15	0.5844	13.13	0.6776	14.14	0.5026	17.17	0.5483	16.16
60%	0.5142	12.66	0.5986	17.72	0.4892	13.75	0.8435	17.72	0.4637	13.92	0.5038	15.19	0.648	12.66	0.7475	15.19	0.5966	18.99	0.6045	17.72
70%	0.553	16.67	0.675	16.67	0.5596	13.33	0.858	18.33	0.5582	15.0	0.5356	15.0	0.7014	15.0	0.8143	18.33	0.6988	23.33	0.6588	21.67
75%	0.5717	16.0	0.6969	14.0	0.6173	14.0	0.8725	18.0	0.605	16.0	0.5674	14.0	0.7495	14.0	0.8492	18.0	0.7246	24.0	0.6772	22.0
80%	0.6073	15.0	0.7318	12.5	0.6579	15.0	0.8928	20.0	0.6795	17.5	0.6008	15.0	0.7842	15.0	0.8806	17.5	0.7828	30.0	0.6959	20.0
85%	0.6421	16.67	0.7768	16.67	0.6944	13.33	0.9036	20.0	0.7318	16.67	0.6524	16.67	0.8186	20.0	0.9167	13.33	0.8362	33.33	0.7319	23.33
86%	0.6564	17.86	0.7825	14.29	0.7005	14.29	0.9167	21.43	0.7394	14.29	0.6612	17.86	0.8356	17.86	0.9215	14.29	0.8408	32.14	0.7511	21.43
87%	0.6613	11.54	0.806	11.54	0.7103	15.38	0.92	15.38	0.7443	15.38	0.6682	19.23	0.844	16.0	0.9248	15.38	0.8493	30.77	0.7664	15.38
88%	0.6701	12.5	0.8171	12.5	0.7393	16.67	0.9255	16.67	0.7492	16.67	0.7076	16.67	0.8552	16.67	0.928	12.5	0.8645	33.33	0.7787	16.67
89%	0.6753	13.64	0.8213	13.64	0.7746	18.18	0.9267	13.64	0.7539	13.64	0.7268	18.18	0.867	18.18	0.9343	13.64	0.8713	36.36	0.7873	18.18
90%	0.6822	15.0	0.829	15.0	0.7912	15.0	0.9294	15.0	0.7618	15.0	0.748	20.0	0.8894	20.0	0.937	15.0	0.8809	35.0	0.795	20.0
91%	0.6926	16.67	0.8359	16.67	0.8071	16.67	0.933	16.67	0.7776	16.67	0.7564	22.22	0.9027	22.22	0.9431	16.67	0.8846	33.33	0.804	22.22
92%	0.7003	18.75	0.8496	18.75	0.8213	18.75	0.9353	18.75	0.8115	18.75	0.7674	12.5	0.9058	18.75	0.9487	12.5	0.8867	31.25	0.8087	25.0
93%	0.7071	20.0	0.8612	14.29	0.841	21.43	0.9386	21.43	0.8214	14.29	0.7854	14.29	0.9096	14.29	0.958	14.29	0.8929	35.71	0.8236	21.43
94%	0.7092	25.0	0.8639	16.67	0.8501	25.0	0.9429	25.0	0.8231	16.67	0.7932	16.67	0.9215	16.67	0.9609	16.67	0.8976	41.67	0.8292	23.08
95%	0.7143	30.0	0.8658	20.0	0.8583	20.0	0.9447	20.0	0.8262	20.0	0.7997	20.0	0.9402	20.0	0.9625	20.0	0.9084	30.0	0.8297	30.0
96%	0.7383	37.5	0.8753	25.0	0.8649	25.0	0.9467	25.0	0.8443	25.0	0.8025	12.5	0.943	25.0	0.967	22.22	0.9315	37.5	0.8365	25.0
97%	0.7484	50.0	0.8835	33.33	0.8729	33.33	0.9483	33.33	0.8581	33.33	0.8066	16.67	0.9498	16.67	0.9729	16.67	0.944	33.33	0.8493	33.33
98%	0.765	50.0	0.9036	25.0	0.8896	50.0	0.9546	25.0	0.9089	25.0	0.8123	25.0	0.9531	25.0	0.9775	25.0	0.9539	20.0	0.8561	40.0
max	0.8438	-1.0	0.9288	-1.0	0.9072	-1.0	0.962	-1.0	0.9487	-1.0	0.8623	-1.0	0.9817	-1.0	0.9926	-1.0	0.9613	-1.0	0.8654	-1.0
