	TFm_0002.HK_pos_vgood16_mult_28	TFm_0002.HK_pos_vgood16_mult_28_per	TFm_0002.HK_pos_vgood16_mult_64	TFm_0002.HK_pos_vgood16_mult_64_per	TFm_0002.HK_pos_vgood16_mult_128	TFm_0002.HK_pos_vgood16_mult_128_per	TFm_0002.HK_pos_vgood16_mult_conv2	TFm_0002.HK_pos_vgood16_mult_conv2_per	TFm_0002.HK_pos_vgood16_mult_conv	TFm_0002.HK_pos_vgood16_mult_conv_per	TFm_0002.HK_pos_vgood16__simp_cordo	TFm_0002.HK_pos_vgood16__simp_cordo_per	TFm_0002.HK_pos_vgood16_mult_linear	TFm_0002.HK_pos_vgood16_mult_linear_per	TFm_0002.HK_pos_vgood16_mult_dense2	TFm_0002.HK_pos_vgood16_mult_dense2_per	TFm_0002.HK_pos_vgood16_mult_lstm	TFm_0002.HK_pos_vgood16_mult_lstm_per	TFm_0002.HK_pos_vgood16__mult_gru	TFm_0002.HK_pos_vgood16__mult_gru_per
acc_per	76.45	-1.0	75.65	-1.0	77.62	-1.0	73.47	-1.0	77.03	-1.0	75.29	-1.0	73.18	-1.0	75.22	-1.0	80.67	-1.0	78.78	-1.0
loss	0.55	-1.0	0.54	-1.0	0.49	-1.0	0.53	-1.0	0.51	-1.0	0.54	-1.0	0.58	-1.0	0.50	-1.0	0.43	-1.0	0.46	-1.0
epochs	17	-1.0	11	-1.0	10	-1.0	8	-1.0	13	-1.0	26	-1.0	25	-1.0	17	-1.0	25	-1.0	21	-1.0
df_test_%	30.9	-1.0	33.8	-1.0	34.3	-1.0	4.3	-1.0	23.9	-1.0	29.2	-1.0	33.8	-1.0	5.5	-1.0	8.6	-1.0	26.3	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0
mean	0.4859	-1.0	0.4902	-1.0	0.4452	-1.0	0.6469	-1.0	0.5599	-1.0	0.3992	-1.0	0.5484	-1.0	0.5584	-1.0	0.5603	-1.0	0.4136	-1.0
std	0.1538	-1.0	0.1585	-1.0	0.162	-1.0	0.0865	-1.0	0.1303	-1.0	0.2842	-1.0	0.1672	-1.0	0.2397	-1.0	0.2733	-1.0	0.2791	-1.0
min	0.2506	-1.0	0.2141	-1.0	0.1846	-1.0	0.4864	-1.0	0.3192	-1.0	0.167	-1.0	0.2249	-1.0	0.1903	-1.0	0.1031	-1.0	0.0523	-1.0
25%	0.3861	6.45	0.3615	6.45	0.3138	6.45	0.5704	6.45	0.4726	6.45	0.1678	6.42	0.4399	6.45	0.3585	6.45	0.285	5.91	0.1129	5.91
