	TFm_0020.HK_pos_vgood16_mult_28	TFm_0020.HK_pos_vgood16_mult_28_per	TFm_0020.HK_pos_vgood16_mult_64	TFm_0020.HK_pos_vgood16_mult_64_per	TFm_0020.HK_pos_vgood16_mult_128	TFm_0020.HK_pos_vgood16_mult_128_per	TFm_0020.HK_pos_vgood16_mult_conv2	TFm_0020.HK_pos_vgood16_mult_conv2_per	TFm_0020.HK_pos_vgood16_mult_conv	TFm_0020.HK_pos_vgood16_mult_conv_per	TFm_0020.HK_pos_vgood16__simp_cordo	TFm_0020.HK_pos_vgood16__simp_cordo_per	TFm_0020.HK_pos_vgood16_mult_linear	TFm_0020.HK_pos_vgood16_mult_linear_per	TFm_0020.HK_pos_vgood16_mult_dense2	TFm_0020.HK_pos_vgood16_mult_dense2_per	TFm_0020.HK_pos_vgood16_mult_lstm	TFm_0020.HK_pos_vgood16_mult_lstm_per	TFm_0020.HK_pos_vgood16__mult_gru	TFm_0020.HK_pos_vgood16__mult_gru_per
acc_per	63.55	-1.0	67.82	-1.0	67.16	-1.0	72.46	-1.0	63.40	-1.0	52.36	-1.0	57.36	-1.0	60.75	-1.0	73.78	-1.0	61.19	-1.0
loss	0.64	-1.0	0.58	-1.0	0.57	-1.0	0.53	-1.0	0.61	-1.0	0.69	-1.0	0.69	-1.0	0.65	-1.0	0.51	-1.0	0.60	-1.0
epochs	17	-1.0	11	-1.0	9	-1.0	8	-1.0	9	-1.0	8	-1.0	14	-1.0	12	-1.0	13	-1.0	13	-1.0
df_test_%	11.4	-1.0	10.9	-1.0	13.3	-1.0	1.2	-1.0	3.4	-1.0	13.4	-1.0	4.5	-1.0	13.9	-1.0	17.9	-1.0	13.3	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	241.0	-1.0	241.0	-1.0	241.0	-1.0	241.0	-1.0	241.0	-1.0	241.0	-1.0	241.0	-1.0	241.0	-1.0	241.0	-1.0	241.0	-1.0
mean	0.5238	-1.0	0.5246	-1.0	0.497	-1.0	0.6481	-1.0	0.5139	-1.0	0.5616	-1.0	0.5529	-1.0	0.5443	-1.0	0.5413	-1.0	0.623	-1.0
std	0.1164	-1.0	0.1288	-1.0	0.1166	-1.0	0.1154	-1.0	0.1131	-1.0	0.0309	-1.0	0.0595	-1.0	0.1302	-1.0	0.1824	-1.0	0.1271	-1.0
min	0.149	-1.0	0.0955	-1.0	0.1158	-1.0	0.21	-1.0	0.1576	-1.0	0.4545	-1.0	0.3848	-1.0	0.0489	-1.0	0.0029	-1.0	0.1465	-1.0
25%	0.5222	4.44	0.5212	2.76	0.4813	2.78	0.6112	4.42	0.4755	3.31	0.5452	3.89	0.5218	3.33	0.5534	5.43	0.5611	4.42	0.5643	4.42
50%	0.5337	5.79	0.5401	4.13	0.5076	4.17	0.6555	6.61	0.5367	4.17	0.5683	4.96	0.5504	2.46	0.5584	6.67	0.5779	6.61	0.6224	5.79
60%	0.5622	6.19	0.5747	5.15	0.5324	5.21	0.6886	6.19	0.5553	4.12	0.5767	5.21	0.5768	3.12	0.561	8.25	0.6069	8.25	0.6441	7.14
70%	0.5824	8.22	0.5925	6.94	0.5509	6.85	0.7214	7.04	0.5822	1.37	0.5824	6.85	0.5923	2.74	0.5658	9.72	0.6266	10.96	0.668	6.85
75%	0.5937	10.0	0.6037	8.2	0.5587	8.47	0.7292	6.67	0.593	1.64	0.5848	8.2	0.6	1.67	0.5687	6.45	0.6371	13.33	0.6734	8.2
80%	0.605	12.5	0.6182	10.2	0.5671	10.42	0.7371	8.16	0.6043	2.04	0.5868	6.25	0.6076	2.04	0.5776	8.16	0.6485	16.33	0.7073	10.42
85%	0.6163	16.67	0.6314	11.11	0.5923	13.51	0.7495	5.41	0.6106	2.78	0.589	7.69	0.6137	2.78	0.5939	11.11	0.6675	18.92	0.7521	10.81
86%	0.6195	14.71	0.6323	11.76	0.5992	14.71	0.7506	5.88	0.6125	2.94	0.5892	8.82	0.6139	2.94	0.6039	11.76	0.6785	17.65	0.7554	11.76
87%	0.6224	15.62	0.6331	12.5	0.6003	15.62	0.7538	6.25	0.6146	3.12	0.5896	9.68	0.6175	3.12	0.6263	12.5	0.6831	18.75	0.764	12.5
88%	0.6262	13.79	0.6425	13.79	0.6106	13.79	0.7576	3.45	0.6167	3.45	0.5903	10.0	0.6197	3.45	0.6425	13.79	0.6882	17.24	0.7694	10.34
89%	0.6339	11.11	0.6501	14.81	0.6183	14.81	0.7619	3.7	0.6208	3.7	0.5924	11.11	0.6221	3.7	0.6572	11.11	0.6992	18.52	0.7811	11.11
90%	0.6366	12.5	0.6569	12.0	0.6259	16.0	0.7677	0.0	0.6247	4.0	0.5942	12.5	0.6269	4.17	0.6644	12.5	0.7014	16.0	0.7943	12.0
91%	0.6489	9.09	0.6624	9.09	0.6356	13.64	0.7726	0.0	0.6289	4.55	0.5951	14.29	0.6287	4.55	0.6681	13.64	0.7023	18.18	0.8002	13.64
92%	0.6562	10.0	0.6646	10.0	0.6419	10.0	0.7755	0.0	0.6301	5.0	0.5968	15.0	0.631	5.0	0.6798	15.0	0.7042	20.0	0.8152	15.0
93%	0.6616	11.76	0.6702	5.88	0.6519	11.76	0.7853	0.0	0.6366	0.0	0.597	17.65	0.6312	5.88	0.7015	17.65	0.7087	17.65	0.8258	17.65
94%	0.6719	6.67	0.6755	6.67	0.6638	13.33	0.7889	0.0	0.6417	0.0	0.5975	18.75	0.6314	6.67	0.7073	13.33	0.7108	13.33	0.8323	20.0
95%	0.6874	7.69	0.6769	7.69	0.6698	7.69	0.7958	0.0	0.6455	0.0	0.5986	21.43	0.6331	0.0	0.7121	8.33	0.7202	15.38	0.856	25.0
96%	0.6949	0.0	0.6842	0.0	0.679	0.0	0.8028	0.0	0.6466	0.0	0.5987	0.0	0.6363	0.0	0.7206	10.0	0.7274	20.0	0.8678	30.0
97%	0.7045	0.0	0.6959	0.0	0.6832	0.0	0.8081	0.0	0.6556	0.0	0.5987	0.0	0.6422	0.0	0.7259	12.5	0.734	25.0	0.877	37.5
98%	0.7101	0.0	0.7016	0.0	0.6899	0.0	0.819	0.0	0.6658	0.0	0.6017	0.0	0.6459	0.0	0.7489	0.0	0.7437	40.0	0.8887	60.0
max	0.7528	-1.0	0.749	-1.0	0.7416	-1.0	0.8537	-1.0	0.6896	-1.0	0.6258	-1.0	0.6821	-1.0	0.8376	-1.0	0.7865	-1.0	0.932	-1.0
