	TFm_0001.HK_neg_good9_mult_28	TFm_0001.HK_neg_good9_mult_28_per	TFm_0001.HK_neg_good9_mult_64	TFm_0001.HK_neg_good9_mult_64_per	TFm_0001.HK_neg_good9_mult_128	TFm_0001.HK_neg_good9_mult_128_per	TFm_0001.HK_neg_good9_mult_conv2	TFm_0001.HK_neg_good9_mult_conv2_per	TFm_0001.HK_neg_good9_mult_conv	TFm_0001.HK_neg_good9_mult_conv_per	TFm_0001.HK_neg_good9__simp_cordo	TFm_0001.HK_neg_good9__simp_cordo_per	TFm_0001.HK_neg_good9_mult_linear	TFm_0001.HK_neg_good9_mult_linear_per	TFm_0001.HK_neg_good9_mult_dense2	TFm_0001.HK_neg_good9_mult_dense2_per	TFm_0001.HK_neg_good9_mult_lstm	TFm_0001.HK_neg_good9_mult_lstm_per	TFm_0001.HK_neg_good9__mult_gru	TFm_0001.HK_neg_good9__mult_gru_per
acc_per	80.28	-1.0	91.22	-1.0	91.29	-1.0	93.61	-1.0	93.07	-1.0	76.66	-1.0	72.96	-1.0	89.60	-1.0	95.92	-1.0	91.99	-1.0
loss	0.42	-1.0	0.23	-1.0	0.22	-1.0	0.17	-1.0	0.20	-1.0	0.48	-1.0	0.55	-1.0	0.25	-1.0	0.11	-1.0	0.20	-1.0
epochs	10	-1.0	12	-1.0	8	-1.0	11	-1.0	12	-1.0	22	-1.0	8	-1.0	11	-1.0	16	-1.0	13	-1.0
df_test_%	29.4	-1.0	21.9	-1.0	24.7	-1.0	22.9	-1.0	30.6	-1.0	24.8	-1.0	14.3	-1.0	9.8	-1.0	27.6	-1.0	44.9	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0
count	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0	233.0	-1.0
mean	0.4836	-1.0	0.5524	-1.0	0.6042	-1.0	0.6101	-1.0	0.4995	-1.0	0.563	-1.0	0.6557	-1.0	0.6102	-1.0	0.5511	-1.0	0.6009	-1.0
std	0.173	-1.0	0.2654	-1.0	0.1679	-1.0	0.2791	-1.0	0.2859	-1.0	0.2574	-1.0	0.0863	-1.0	0.311	-1.0	0.42	-1.0	0.3088	-1.0
min	0.1715	-1.0	0.0227	-1.0	0.2219	-1.0	0.0285	-1.0	0.0249	-1.0	0.0292	-1.0	0.3319	-1.0	0.0001	-1.0	0.0	-1.0	0.0339	-1.0
25%	0.3385	8.05	0.3196	8.62	0.4884	8.0	0.3804	8.05	0.228	8.62	0.3947	8.05	0.6007	8.0	0.403	8.57	0.0622	8.57	0.3332	8.62
50%	0.4727	11.97	0.5958	12.07	0.6395	12.07	0.6702	11.97	0.4854	12.07	0.676	9.4	0.6511	8.55	0.6827	10.34	0.7279	12.82	0.6753	12.93
60%	0.5215	12.9	0.6704	13.98	0.6719	12.9	0.7465	15.05	0.6306	13.98	0.7411	9.68	0.6776	10.75	0.7769	10.75	0.9094	16.13	0.7991	15.96
70%	0.5708	14.29	0.7556	18.57	0.7078	17.14	0.8421	17.14	0.7225	17.14	0.7685	11.43	0.7061	12.86	0.861	11.43	0.9538	20.0	0.8594	20.0
75%	0.6204	15.52	0.7768	18.97	0.7287	17.24	0.8641	18.64	0.77	20.34	0.7754	12.07	0.7247	12.07	0.8958	6.9	0.9697	24.14	0.8815	24.14
80%	0.6421	19.15	0.8182	17.02	0.7454	17.02	0.8876	19.15	0.8106	23.4	0.7917	12.77	0.7443	12.77	0.9136	8.51	0.9749	25.53	0.9046	29.79
85%	0.694	22.86	0.8484	17.14	0.7663	20.0	0.9173	17.14	0.8372	25.71	0.7958	17.14	0.7548	14.29	0.9362	11.43	0.9819	28.57	0.9261	34.29
86%	0.7115	24.24	0.8511	18.18	0.7748	21.21	0.9195	18.18	0.8442	27.27	0.7965	18.18	0.7567	15.62	0.9413	12.12	0.9829	27.27	0.9342	33.33
87%	0.725	25.81	0.8548	16.13	0.7779	19.35	0.9247	19.35	0.8542	29.03	0.7972	19.35	0.7601	16.13	0.9492	12.9	0.984	29.03	0.9441	35.48
88%	0.7357	25.0	0.8591	17.86	0.7836	21.43	0.928	17.86	0.8604	32.14	0.7977	21.43	0.7673	14.29	0.9523	10.71	0.985	28.57	0.9542	39.29
89%	0.7397	26.92	0.8734	19.23	0.794	23.08	0.9351	19.23	0.864	26.92	0.7987	24.0	0.7693	11.54	0.9599	7.69	0.9866	26.92	0.9563	42.31
90%	0.7426	29.17	0.8858	20.83	0.7973	25.0	0.9364	20.83	0.8684	29.17	0.799	24.0	0.7703	12.5	0.9648	8.33	0.9874	25.0	0.9583	45.83
91%	0.746	28.57	0.8961	23.81	0.8003	28.57	0.9396	23.81	0.8829	28.57	0.8007	23.81	0.7736	14.29	0.9688	9.52	0.9893	28.57	0.9625	47.62
92%	0.7554	31.58	0.8999	26.32	0.8071	26.32	0.9446	26.32	0.8893	31.58	0.8018	26.32	0.7769	15.79	0.9714	10.53	0.9917	31.58	0.9662	47.37
