	TFm_1519.HK_pos_reg4_mult_28	TFm_1519.HK_pos_reg4_mult_28_per	TFm_1519.HK_pos_reg4_mult_64	TFm_1519.HK_pos_reg4_mult_64_per	TFm_1519.HK_pos_reg4_mult_128	TFm_1519.HK_pos_reg4_mult_128_per	TFm_1519.HK_pos_reg4_mult_conv2	TFm_1519.HK_pos_reg4_mult_conv2_per	TFm_1519.HK_pos_reg4_mult_conv	TFm_1519.HK_pos_reg4_mult_conv_per	TFm_1519.HK_pos_reg4__simp_cordo	TFm_1519.HK_pos_reg4__simp_cordo_per	TFm_1519.HK_pos_reg4_mult_linear	TFm_1519.HK_pos_reg4_mult_linear_per	TFm_1519.HK_pos_reg4_mult_dense2	TFm_1519.HK_pos_reg4_mult_dense2_per	TFm_1519.HK_pos_reg4_mult_lstm	TFm_1519.HK_pos_reg4_mult_lstm_per	TFm_1519.HK_pos_reg4__mult_gru	TFm_1519.HK_pos_reg4__mult_gru_per
acc_per	75.43	-1.0	83.44	-1.0	91.21	-1.0	73.55	-1.0	83.67	-1.0	77.39	-1.0	75.35	-1.0	85.95	-1.0	87.76	-1.0	85.95	-1.0
loss	0.51	-1.0	0.39	-1.0	0.25	-1.0	0.63	-1.0	0.40	-1.0	0.49	-1.0	0.52	-1.0	0.33	-1.0	0.31	-1.0	0.33	-1.0
epochs	8	-1.0	11	-1.0	12	-1.0	8	-1.0	10	-1.0	9	-1.0	12	-1.0	17	-1.0	11	-1.0	12	-1.0
df_test_%	9.4	-1.0	29.4	-1.0	25.7	-1.0	23.7	-1.0	26.5	-1.0	23.2	-1.0	20.9	-1.0	25.9	-1.0	29.1	-1.0	26.4	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0
count	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0
mean	0.6565	-1.0	0.5364	-1.0	0.3665	-1.0	0.7115	-1.0	0.5253	-1.0	0.5127	-1.0	0.5372	-1.0	0.47	-1.0	0.52	-1.0	0.5769	-1.0
std	0.0376	-1.0	0.2282	-1.0	0.2502	-1.0	0.1303	-1.0	0.2255	-1.0	0.0283	-1.0	0.2336	-1.0	0.2783	-1.0	0.3334	-1.0	0.2691	-1.0
min	0.4812	-1.0	0.2065	-1.0	0.0338	-1.0	0.3939	-1.0	0.2106	-1.0	0.4777	-1.0	0.2066	-1.0	0.0168	-1.0	0.0	-1.0	0.0297	-1.0
25%	0.6366	3.49	0.3432	7.56	0.1777	8.72	0.602	7.56	0.3469	8.72	0.4888	8.72	0.3497	7.56	0.2348	8.72	0.2019	8.72	0.3926	8.14
50%	0.6647	4.39	0.4626	11.3	0.2764	13.04	0.7149	9.57	0.4718	11.3	0.5083	11.3	0.4622	10.43	0.4589	13.04	0.5372	13.04	0.6194	12.17
60%	0.6691	5.43	0.57	14.13	0.3558	13.04	0.7273	9.78	0.5377	14.13	0.5132	11.96	0.5527	13.04	0.5539	14.13	0.6535	14.13	0.7053	13.04
70%	0.6786	7.25	0.6828	17.39	0.4938	15.94	0.7473	13.04	0.6281	15.94	0.521	15.94	0.6457	14.49	0.6456	15.94	0.8039	15.94	0.8109	15.94
75%	0.6824	6.9	0.7068	18.97	0.5478	15.52	0.762	15.52	0.6559	17.24	0.5237	18.97	0.6803	15.52	0.6945	15.52	0.8288	17.24	0.841	18.97
80%	0.6864	8.7	0.7666	19.57	0.5836	17.39	0.7779	19.57	0.7266	19.57	0.5284	23.91	0.7473	19.57	0.7596	19.57	0.9012	19.57	0.8617	19.57
85%	0.6923	8.57	0.8578	25.71	0.6632	20.0	0.848	25.71	0.8605	25.71	0.5428	28.57	0.9013	25.71	0.8085	25.71	0.9226	20.0	0.8871	25.71
86%	0.6932	9.38	0.8884	24.24	0.6951	18.18	0.8922	27.27	0.8926	24.24	0.5466	27.27	0.923	24.24	0.8237	24.24	0.9254	20.59	0.8899	24.24
87%	0.6936	10.0	0.8925	23.33	0.7066	20.0	0.9046	23.33	0.9022	26.67	0.5523	20.0	0.941	23.33	0.8292	26.67	0.93	23.33	0.8909	24.14
88%	0.6944	10.71	0.8957	25.0	0.7413	21.43	0.917	21.43	0.913	25.0	0.5579	21.43	0.9441	25.0	0.8358	28.57	0.9352	25.0	0.8914	25.0
89%	0.6948	11.54	0.8979	26.92	0.7772	23.08	0.9219	19.23	0.9282	26.92	0.5608	23.08	0.9508	19.23	0.8487	26.92	0.9368	28.0	0.8935	23.08
90%	0.6978	13.04	0.9069	30.43	0.7976	26.09	0.926	21.74	0.9323	26.09	0.5621	26.09	0.9563	17.39	0.8804	26.09	0.9377	31.82	0.8982	26.09
91%	0.6994	9.52	0.9205	33.33	0.8143	28.57	0.9313	23.81	0.9377	25.0	0.5654	23.81	0.9587	19.05	0.8871	23.81	0.9397	28.57	0.8989	28.57
92%	0.7004	5.26	0.9252	31.58	0.8289	31.58	0.9495	26.32	0.9476	26.32	0.5675	21.05	0.9625	21.05	0.8915	26.32	0.9417	31.58	0.8998	26.32
93%	0.7008	6.25	0.9277	29.41	0.8402	23.53	0.9541	29.41	0.9509	29.41	0.5689	23.53	0.9662	23.53	0.8937	23.53	0.9431	29.41	0.9003	29.41
94%	0.7016	7.14	0.9296	21.43	0.8576	28.57	0.9618	28.57	0.9546	26.67	0.5736	28.57	0.9689	21.43	0.9065	21.43	0.9454	28.57	0.9009	35.71
95%	0.7025	8.33	0.9351	16.67	0.8594	33.33	0.975	16.67	0.9555	33.33	0.5773	25.0	0.9794	16.67	0.9182	25.0	0.9533	33.33	0.9034	41.67
96%	0.7034	10.0	0.9373	20.0	0.8625	40.0	0.9793	20.0	0.9581	30.0	0.5779	30.0	0.982	10.0	0.9372	30.0	0.9555	20.0	0.9054	40.0
97%	0.7052	0.0	0.9431	28.57	0.8793	57.14	0.9811	14.29	0.963	14.29	0.5783	28.57	0.9842	14.29	0.9427	14.29	0.9575	14.29	0.9071	42.86
