	TFm_1008.HK_pos_good9_mult_28	TFm_1008.HK_pos_good9_mult_28_per	TFm_1008.HK_pos_good9_mult_64	TFm_1008.HK_pos_good9_mult_64_per	TFm_1008.HK_pos_good9_mult_128	TFm_1008.HK_pos_good9_mult_128_per	TFm_1008.HK_pos_good9_mult_conv2	TFm_1008.HK_pos_good9_mult_conv2_per	TFm_1008.HK_pos_good9_mult_conv	TFm_1008.HK_pos_good9_mult_conv_per	TFm_1008.HK_pos_good9__simp_cordo	TFm_1008.HK_pos_good9__simp_cordo_per	TFm_1008.HK_pos_good9_mult_linear	TFm_1008.HK_pos_good9_mult_linear_per	TFm_1008.HK_pos_good9_mult_dense2	TFm_1008.HK_pos_good9_mult_dense2_per	TFm_1008.HK_pos_good9_mult_lstm	TFm_1008.HK_pos_good9_mult_lstm_per	TFm_1008.HK_pos_good9__mult_gru	TFm_1008.HK_pos_good9__mult_gru_per
acc_per	73.56	-1.0	83.17	-1.0	87.50	-1.0	80.77	-1.0	90.87	-1.0	74.04	-1.0	71.63	-1.0	89.90	-1.0	87.02	-1.0	86.54	-1.0
loss	0.56	-1.0	0.37	-1.0	0.30	-1.0	0.44	-1.0	0.31	-1.0	0.55	-1.0	0.50	-1.0	0.29	-1.0	0.26	-1.0	0.34	-1.0
epochs	8	-1.0	11	-1.0	11	-1.0	10	-1.0	9	-1.0	8	-1.0	17	-1.0	10	-1.0	11	-1.0	8	-1.0
df_test_%	0.0	-1.0	26.1	-1.0	26.1	-1.0	26.1	-1.0	26.1	-1.0	26.9	-1.0	26.1	-1.0	26.1	-1.0	26.1	-1.0	26.1	-1.0
positives	2	-1.0	2	-1.0	2	-1.0	2	-1.0	2	-1.0	2	-1.0	2	-1.0	2	-1.0	2	-1.0	2	-1.0
count	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0
mean	0.7843	-1.0	0.4009	-1.0	0.3674	-1.0	0.4637	-1.0	0.3673	-1.0	0.7826	-1.0	0.5005	-1.0	0.4157	-1.0	0.4674	-1.0	0.6082	-1.0
std	0.0166	-1.0	0.1848	-1.0	0.2047	-1.0	0.1266	-1.0	0.167	-1.0	0.0017	-1.0	0.2556	-1.0	0.2525	-1.0	0.2141	-1.0	0.0787	-1.0
min	0.7229	-1.0	0.1407	-1.0	0.1459	-1.0	0.3242	-1.0	0.2006	-1.0	0.7806	-1.0	0.0715	-1.0	0.1866	-1.0	0.1922	-1.0	0.5254	-1.0
25%	0.7764	3.57	0.2551	7.14	0.2467	7.14	0.3899	7.14	0.2578	3.57	0.7814	7.14	0.2842	7.14	0.2694	6.9	0.3287	7.14	0.548	7.14
