	TFm_0002.HK_neg_vgood16_mult_28	TFm_0002.HK_neg_vgood16_mult_28_per	TFm_0002.HK_neg_vgood16_mult_64	TFm_0002.HK_neg_vgood16_mult_64_per	TFm_0002.HK_neg_vgood16_mult_128	TFm_0002.HK_neg_vgood16_mult_128_per	TFm_0002.HK_neg_vgood16_mult_conv2	TFm_0002.HK_neg_vgood16_mult_conv2_per	TFm_0002.HK_neg_vgood16_mult_conv	TFm_0002.HK_neg_vgood16_mult_conv_per	TFm_0002.HK_neg_vgood16__simp_cordo	TFm_0002.HK_neg_vgood16__simp_cordo_per	TFm_0002.HK_neg_vgood16_mult_linear	TFm_0002.HK_neg_vgood16_mult_linear_per	TFm_0002.HK_neg_vgood16_mult_dense2	TFm_0002.HK_neg_vgood16_mult_dense2_per	TFm_0002.HK_neg_vgood16_mult_lstm	TFm_0002.HK_neg_vgood16_mult_lstm_per	TFm_0002.HK_neg_vgood16__mult_gru	TFm_0002.HK_neg_vgood16__mult_gru_per
acc_per	58.27	-1.0	65.30	-1.0	62.60	-1.0	54.10	-1.0	59.74	-1.0	61.90	-1.0	58.58	-1.0	62.52	-1.0	65.92	-1.0	71.25	-1.0
loss	0.67	-1.0	0.64	-1.0	0.64	-1.0	0.71	-1.0	0.67	-1.0	0.64	-1.0	0.67	-1.0	0.65	-1.0	0.62	-1.0	0.56	-1.0
epochs	8	-1.0	10	-1.0	11	-1.0	12	-1.0	9	-1.0	20	-1.0	8	-1.0	9	-1.0	15	-1.0	24	-1.0
df_test_%	0.0	-1.0	17.2	-1.0	16.6	-1.0	15.3	-1.0	19.0	-1.0	24.3	-1.0	15.7	-1.0	17.2	-1.0	17.8	-1.0	16.7	-1.0
positives	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0
count	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0
mean	0.593	-1.0	0.5646	-1.0	0.6565	-1.0	0.731	-1.0	0.626	-1.0	0.5554	-1.0	0.6872	-1.0	0.7307	-1.0	0.6619	-1.0	0.6082	-1.0
std	0.0211	-1.0	0.0576	-1.0	0.1045	-1.0	0.0471	-1.0	0.0508	-1.0	0.1701	-1.0	0.0186	-1.0	0.1411	-1.0	0.1997	-1.0	0.1817	-1.0
min	0.5579	-1.0	0.3716	-1.0	0.2843	-1.0	0.5214	-1.0	0.4161	-1.0	0.0489	-1.0	0.6234	-1.0	0.1146	-1.0	0.0196	-1.0	0.0477	-1.0
25%	0.5827	5.08	0.5364	6.74	0.6274	6.74	0.7121	6.74	0.6193	6.7	0.5676	6.74	0.6797	6.74	0.6972	6.74	0.6578	6.74	0.6585	6.74
50%	0.5881	1.67	0.562	9.24	0.6635	10.08	0.7326	9.24	0.6335	10.08	0.6254	10.08	0.6871	10.08	0.7519	10.08	0.7026	10.0	0.6739	10.08
60%	0.5912	1.04	0.5813	11.58	0.6872	11.58	0.7462	11.46	0.639	12.5	0.6424	12.63	0.6926	11.46	0.7792	11.58	0.7348	11.58	0.6788	11.7
70%	0.5936	1.39	0.5958	15.28	0.7143	15.28	0.757	15.28	0.6505	13.89	0.6509	13.89	0.6957	15.28	0.799	15.28	0.7681	15.28	0.6822	14.08
75%	0.5962	1.67	0.6057	15.0	0.7238	16.67	0.7641	16.67	0.6582	16.67	0.6549	11.67	0.6993	16.67	0.8187	15.0	0.7756	15.0	0.6853	11.86
80%	0.6017	0.0	0.6156	14.58	0.736	16.67	0.7686	14.58	0.6617	18.75	0.6598	12.5	0.7017	16.67	0.8308	16.67	0.7965	18.75	0.6872	14.29
85%	0.6047	0.0	0.6206	16.67	0.7439	16.67	0.7712	16.67	0.6658	19.44	0.6616	16.67	0.7035	17.14	0.8383	16.67	0.8052	19.44	0.6878	16.67
86%	0.6073	0.0	0.6216	17.65	0.746	17.65	0.773	14.71	0.6666	20.59	0.6619	18.18	0.7038	17.65	0.8397	17.65	0.8071	20.59	0.688	17.65
87%	0.6098	0.0	0.622	16.13	0.7475	16.13	0.7736	15.62	0.6671	22.58	0.6621	19.35	0.704	19.35	0.8405	19.35	0.8082	19.35	0.6881	16.13
88%	0.6128	0.0	0.6238	17.24	0.7522	17.24	0.7744	17.24	0.6683	24.14	0.6622	20.69	0.7053	20.69	0.8462	20.69	0.8098	20.69	0.6883	17.24
89%	0.6138	0.0	0.6259	18.52	0.7549	18.52	0.7769	14.81	0.6686	22.22	0.6623	22.22	0.7063	14.81	0.851	18.52	0.8136	22.22	0.6889	18.52
