	TFm_0002.HK_neg_vgood16_mult_28	TFm_0002.HK_neg_vgood16_mult_28_per	TFm_0002.HK_neg_vgood16_mult_64	TFm_0002.HK_neg_vgood16_mult_64_per	TFm_0002.HK_neg_vgood16_mult_128	TFm_0002.HK_neg_vgood16_mult_128_per	TFm_0002.HK_neg_vgood16_mult_conv2	TFm_0002.HK_neg_vgood16_mult_conv2_per	TFm_0002.HK_neg_vgood16_mult_conv	TFm_0002.HK_neg_vgood16_mult_conv_per	TFm_0002.HK_neg_vgood16__simp_cordo	TFm_0002.HK_neg_vgood16__simp_cordo_per	TFm_0002.HK_neg_vgood16_mult_linear	TFm_0002.HK_neg_vgood16_mult_linear_per	TFm_0002.HK_neg_vgood16_mult_dense2	TFm_0002.HK_neg_vgood16_mult_dense2_per	TFm_0002.HK_neg_vgood16_mult_lstm	TFm_0002.HK_neg_vgood16_mult_lstm_per	TFm_0002.HK_neg_vgood16__mult_gru	TFm_0002.HK_neg_vgood16__mult_gru_per
90%	0.6203	0.0	0.6333	16.0	0.7597	16.67	0.7815	12.5	0.6716	20.83	0.6625	24.0	0.7074	12.5	0.8543	16.67	0.8147	16.67	0.6892	16.67
91%	0.6286	0.0	0.6347	18.18	0.7652	13.64	0.7828	13.64	0.6764	13.64	0.6626	26.09	0.7095	13.64	0.8654	13.64	0.8276	13.64	0.6902	14.29
92%	0.6309	0.0	0.6374	15.79	0.7715	15.79	0.7836	15.79	0.6788	15.79	0.6627	26.32	0.7103	15.0	0.8681	15.79	0.8367	15.79	0.6911	15.0
93%	0.6332	0.0	0.6456	17.65	0.7755	17.65	0.7875	17.65	0.6809	17.65	0.6627	26.32	0.7107	17.65	0.8699	17.65	0.8388	17.65	0.6916	18.75
94%	0.6343	0.0	0.6518	20.0	0.7949	20.0	0.7964	20.0	0.6839	20.0	0.6629	14.29	0.7123	20.0	0.8745	20.0	0.8515	20.0	0.6918	18.75
95%	0.638	0.0	0.6552	25.0	0.8047	25.0	0.7996	25.0	0.6872	25.0	0.6631	16.67	0.7156	16.67	0.8867	25.0	0.8619	16.67	0.6919	27.27
96%	0.6443	0.0	0.6595	30.0	0.8061	30.0	0.8009	33.33	0.6894	30.0	0.6632	16.67	0.7176	20.0	0.8925	20.0	0.8665	20.0	0.6921	30.0
97%	0.6494	0.0	0.6652	37.5	0.8089	37.5	0.8018	37.5	0.6911	37.5	0.6633	12.5	0.7188	25.0	0.8973	25.0	0.8671	25.0	0.693	37.5
98%	0.6619	0.0	0.6698	40.0	0.8156	40.0	0.8057	20.0	0.6923	40.0	0.6634	20.0	0.7198	20.0	0.8996	20.0	0.8697	33.33	0.6933	20.0
max	0.6831	-1.0	0.682	-1.0	0.8306	-1.0	0.8131	-1.0	0.7019	-1.0	0.6635	-1.0	0.7251	-1.0	0.9157	-1.0	0.8837	-1.0	0.6936	-1.0
