	TFm_1299.HK_neg_low1_mult_28	TFm_1299.HK_neg_low1_mult_28_per	TFm_1299.HK_neg_low1_mult_64	TFm_1299.HK_neg_low1_mult_64_per	TFm_1299.HK_neg_low1_mult_128	TFm_1299.HK_neg_low1_mult_128_per	TFm_1299.HK_neg_low1_mult_conv2	TFm_1299.HK_neg_low1_mult_conv2_per	TFm_1299.HK_neg_low1_mult_conv	TFm_1299.HK_neg_low1_mult_conv_per	TFm_1299.HK_neg_low1__simp_cordo	TFm_1299.HK_neg_low1__simp_cordo_per	TFm_1299.HK_neg_low1_mult_linear	TFm_1299.HK_neg_low1_mult_linear_per	TFm_1299.HK_neg_low1_mult_dense2	TFm_1299.HK_neg_low1_mult_dense2_per	TFm_1299.HK_neg_low1_mult_lstm	TFm_1299.HK_neg_low1_mult_lstm_per	TFm_1299.HK_neg_low1__mult_gru	TFm_1299.HK_neg_low1__mult_gru_per
acc_per	80.57	-1.0	88.47	-1.0	94.50	-1.0	73.53	-1.0	97.68	-1.0	82.74	-1.0	76.78	-1.0	90.48	-1.0	92.80	-1.0	88.93	-1.0
loss	0.43	-1.0	0.29	-1.0	0.15	-1.0	0.75	-1.0	0.07	-1.0	0.42	-1.0	0.46	-1.0	0.23	-1.0	0.18	-1.0	0.27	-1.0
epochs	8	-1.0	8	-1.0	10	-1.0	9	-1.0	17	-1.0	13	-1.0	20	-1.0	12	-1.0	13	-1.0	8	-1.0
df_test_%	4.7	-1.0	15.5	-1.0	43.0	-1.0	14.4	-1.0	22.7	-1.0	24.1	-1.0	23.7	-1.0	19.9	-1.0	38.6	-1.0	24.5	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0
count	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0
mean	0.5133	-1.0	0.4655	-1.0	0.3809	-1.0	0.9527	-1.0	0.223	-1.0	0.6195	-1.0	0.5294	-1.0	0.6279	-1.0	0.4013	-1.0	0.6102	-1.0
std	0.0585	-1.0	0.0897	-1.0	0.2756	-1.0	0.0209	-1.0	0.2996	-1.0	0.2354	-1.0	0.2993	-1.0	0.3184	-1.0	0.3722	-1.0	0.1441	-1.0
min	0.307	-1.0	0.2519	-1.0	0.0106	-1.0	0.8581	-1.0	0.0	-1.0	0.203	-1.0	0.0	-1.0	0.0001	-1.0	0.0	-1.0	0.2876	-1.0
25%	0.4764	6.98	0.3977	8.14	0.1361	7.6	0.9398	7.6	0.0085	7.6	0.4146	8.77	0.2892	8.72	0.378	8.14	0.0358	8.14	0.5087	7.6
50%	0.5112	8.77	0.4537	9.57	0.3117	9.65	0.9573	9.65	0.0522	10.53	0.6747	11.4	0.5421	10.43	0.7494	10.53	0.2823	12.28	0.6393	9.57
60%	0.5208	8.6	0.4836	10.87	0.427	11.96	0.9615	8.79	0.0975	11.96	0.7458	14.13	0.6604	13.04	0.8157	11.96	0.4906	14.13	0.6812	11.96
70%	0.5341	10.14	0.5166	13.04	0.5464	15.94	0.9657	10.14	0.2872	13.04	0.8195	15.94	0.7415	14.49	0.888	13.04	0.6987	15.94	0.7089	13.04
75%	0.5483	10.34	0.5343	15.52	0.5964	19.3	0.9673	10.53	0.3679	15.52	0.8396	17.24	0.7997	15.79	0.9002	15.79	0.7947	17.24	0.7247	15.79
80%	0.5582	10.87	0.5477	15.22	0.6757	23.91	0.9691	13.04	0.4965	15.22	0.8546	17.39	0.8377	17.39	0.9107	19.57	0.8371	21.74	0.7344	19.57
85%	0.5736	5.71	0.5695	14.29	0.7322	28.57	0.9715	11.43	0.6195	20.0	0.8695	20.0	0.8675	22.86	0.9275	20.0	0.9242	25.71	0.769	25.71
86%	0.5767	3.12	0.5719	15.62	0.7389	31.25	0.9718	12.12	0.6506	18.75	0.8726	21.88	0.8729	21.88	0.9348	18.75	0.9452	27.27	0.7714	25.0
87%	0.5824	3.33	0.5766	16.67	0.7664	33.33	0.9726	13.33	0.6756	20.0	0.8747	23.33	0.8887	23.33	0.9376	20.0	0.9465	30.0	0.775	23.33
88%	0.584	3.57	0.5791	17.86	0.7761	35.71	0.9759	14.29	0.6843	21.43	0.8769	21.43	0.8931	21.43	0.9422	17.86	0.9554	32.14	0.7786	25.0
89%	0.5891	3.85	0.5813	15.38	0.7925	38.46	0.9768	11.54	0.7191	23.08	0.878	20.0	0.9054	23.08	0.9524	19.23	0.9593	34.62	0.7813	26.92
90%	0.5919	4.35	0.5845	17.39	0.8095	43.48	0.9771	13.04	0.7445	21.74	0.8795	21.74	0.9078	22.73	0.958	17.39	0.9739	34.78	0.7869	26.09
91%	0.5965	4.76	0.5913	19.05	0.8154	42.86	0.9772	14.29	0.7871	23.81	0.8841	23.81	0.923	23.81	0.96	19.05	0.9774	38.1	0.789	23.81
92%	0.6003	5.26	0.601	10.53	0.8264	47.37	0.9775	15.79	0.8151	21.05	0.8871	26.32	0.9334	26.32	0.9661	21.05	0.9803	42.11	0.7919	26.32
93%	0.6047	6.25	0.6071	12.5	0.8404	50.0	0.9778	17.65	0.8371	25.0	0.8879	31.25	0.9417	25.0	0.9669	25.0	0.9833	50.0	0.7988	18.75
94%	0.6121	7.14	0.6104	7.14	0.8465	57.14	0.9784	14.29	0.8479	14.29	0.8884	35.71	0.9437	28.57	0.9716	21.43	0.9844	57.14	0.8001	21.43
95%	0.6141	8.33	0.6168	8.33	0.8664	66.67	0.9796	16.67	0.8578	16.67	0.8896	33.33	0.9488	25.0	0.9745	25.0	0.9856	58.33	0.8016	25.0
96%	0.6245	10.0	0.6209	0.0	0.8743	70.0	0.9807	20.0	0.9322	20.0	0.893	30.0	0.9527	20.0	0.9824	30.0	0.9865	60.0	0.8076	30.0
97%	0.6276	14.29	0.6274	0.0	0.8986	71.43	0.981	28.57	0.9593	14.29	0.8989	28.57	0.9583	28.57	0.9851	14.29	0.9937	71.43	0.8123	42.86
98%	0.6456	20.0	0.6381	0.0	0.9166	60.0	0.9817	20.0	0.9858	20.0	0.8998	20.0	0.9623	40.0	0.9887	25.0	0.9951	80.0	0.8143	60.0
max	0.6758	-1.0	0.7165	-1.0	0.9542	-1.0	0.9874	-1.0	0.9982	-1.0	0.9046	-1.0	0.977	-1.0	0.9918	-1.0	0.9972	-1.0	0.8339	-1.0
