	TFm_1088.HK_neg_good9_mult_28	TFm_1088.HK_neg_good9_mult_28_per	TFm_1088.HK_neg_good9_mult_64	TFm_1088.HK_neg_good9_mult_64_per	TFm_1088.HK_neg_good9_mult_128	TFm_1088.HK_neg_good9_mult_128_per	TFm_1088.HK_neg_good9_mult_conv2	TFm_1088.HK_neg_good9_mult_conv2_per	TFm_1088.HK_neg_good9_mult_conv	TFm_1088.HK_neg_good9_mult_conv_per	TFm_1088.HK_neg_good9__simp_cordo	TFm_1088.HK_neg_good9__simp_cordo_per	TFm_1088.HK_neg_good9_mult_linear	TFm_1088.HK_neg_good9_mult_linear_per	TFm_1088.HK_neg_good9_mult_dense2	TFm_1088.HK_neg_good9_mult_dense2_per	TFm_1088.HK_neg_good9_mult_lstm	TFm_1088.HK_neg_good9_mult_lstm_per	TFm_1088.HK_neg_good9__mult_gru	TFm_1088.HK_neg_good9__mult_gru_per
acc_per	75.47	-1.0	77.51	-1.0	82.45	-1.0	67.71	-1.0	74.22	-1.0	79.23	-1.0	70.61	-1.0	75.16	-1.0	86.60	-1.0	79.62	-1.0
loss	0.49	-1.0	0.46	-1.0	0.38	-1.0	0.72	-1.0	0.50	-1.0	0.47	-1.0	0.56	-1.0	0.48	-1.0	0.32	-1.0	0.41	-1.0
epochs	16	-1.0	8	-1.0	13	-1.0	16	-1.0	8	-1.0	19	-1.0	9	-1.0	11	-1.0	17	-1.0	12	-1.0
df_test_%	0.0	-1.0	4.6	-1.0	4.6	-1.0	4.6	-1.0	11.6	-1.0	1.2	-1.0	4.6	-1.0	4.6	-1.0	9.2	-1.0	4.5	-1.0
positives	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0
count	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0
mean	0.5352	-1.0	0.5807	-1.0	0.5329	-1.0	0.643	-1.0	0.6054	-1.0	0.5356	-1.0	0.6096	-1.0	0.4468	-1.0	0.52	-1.0	0.5173	-1.0
std	0.3116	-1.0	0.1379	-1.0	0.3289	-1.0	0.3393	-1.0	0.0814	-1.0	0.2922	-1.0	0.236	-1.0	0.3483	-1.0	0.38	-1.0	0.3778	-1.0
min	0.0126	-1.0	0.314	-1.0	0.0024	-1.0	0.0063	-1.0	0.4103	-1.0	0.0938	-1.0	0.1035	-1.0	0.0	-1.0	0.0	-1.0	0.0047	-1.0
25%	0.1595	2.87	0.4322	2.87	0.1779	2.87	0.2597	2.87	0.5719	2.87	0.1526	2.87	0.3495	2.87	0.0309	2.87	0.0087	2.87	0.0268	2.87
50%	0.668	3.45	0.6089	3.45	0.6708	3.45	0.8149	3.45	0.646	4.31	0.731	4.31	0.6898	3.45	0.5701	3.45	0.7286	4.31	0.7177	4.31
60%	0.7299	3.23	0.6534	4.3	0.7418	4.3	0.8832	3.23	0.6518	5.38	0.7544	4.3	0.7456	4.3	0.6494	3.23	0.8035	5.38	0.7896	4.3
70%	0.7826	4.29	0.6839	4.29	0.7811	2.86	0.9078	1.43	0.6601	5.71	0.7667	2.86	0.7821	1.43	0.7132	1.43	0.8324	5.71	0.8285	2.86
75%	0.7946	0.0	0.6964	1.72	0.7969	1.72	0.9223	1.72	0.6645	6.9	0.7781	1.72	0.817	1.72	0.7505	1.72	0.8414	3.45	0.8492	3.45
80%	0.8184	0.0	0.7091	2.13	0.838	2.13	0.9332	2.13	0.6686	8.51	0.7879	2.13	0.8365	2.13	0.803	2.13	0.8516	4.26	0.8808	2.13
85%	0.8342	0.0	0.7314	2.86	0.8826	2.86	0.9501	2.86	0.6706	11.43	0.7923	2.86	0.8548	2.86	0.8406	2.86	0.8687	5.71	0.8954	2.86
86%	0.8398	0.0	0.7333	3.03	0.8887	3.03	0.9528	3.03	0.6712	12.5	0.7935	3.03	0.8618	3.03	0.851	3.03	0.8748	6.06	0.896	3.03
87%	0.8425	0.0	0.7367	3.23	0.8915	3.23	0.9532	3.23	0.6716	13.33	0.7944	3.23	0.8686	3.23	0.8564	3.23	0.8808	6.45	0.8963	3.23
88%	0.8484	0.0	0.7381	3.57	0.898	3.57	0.9542	3.57	0.672	14.29	0.7948	3.57	0.8733	3.57	0.8607	3.57	0.8823	7.14	0.8978	3.57
89%	0.8506	0.0	0.741	3.85	0.9014	3.85	0.9573	3.85	0.6733	11.54	0.7952	3.85	0.8755	3.85	0.862	3.85	0.8851	7.69	0.8997	3.85
90%	0.8523	0.0	0.7479	4.17	0.9025	4.35	0.9609	4.17	0.674	13.04	0.7961	0.0	0.8776	4.17	0.8645	4.35	0.889	8.33	0.9006	4.17
91%	0.8534	0.0	0.7537	4.76	0.9058	4.76	0.9663	4.76	0.6747	14.29	0.7968	0.0	0.8847	4.76	0.868	4.76	0.8897	9.52	0.9035	4.55
92%	0.8587	0.0	0.7568	5.26	0.9077	5.26	0.9696	5.26	0.6758	10.53	0.7976	0.0	0.8964	5.26	0.8691	5.26	0.8906	10.53	0.9044	5.26
