	TFm_0001.HK_pos_reg4_mult_28	TFm_0001.HK_pos_reg4_mult_28_per	TFm_0001.HK_pos_reg4_mult_64	TFm_0001.HK_pos_reg4_mult_64_per	TFm_0001.HK_pos_reg4_mult_128	TFm_0001.HK_pos_reg4_mult_128_per	TFm_0001.HK_pos_reg4_mult_conv2	TFm_0001.HK_pos_reg4_mult_conv2_per	TFm_0001.HK_pos_reg4_mult_conv	TFm_0001.HK_pos_reg4_mult_conv_per	TFm_0001.HK_pos_reg4__simp_cordo	TFm_0001.HK_pos_reg4__simp_cordo_per	TFm_0001.HK_pos_reg4_mult_linear	TFm_0001.HK_pos_reg4_mult_linear_per	TFm_0001.HK_pos_reg4_mult_dense2	TFm_0001.HK_pos_reg4_mult_dense2_per	TFm_0001.HK_pos_reg4_mult_lstm	TFm_0001.HK_pos_reg4_mult_lstm_per	TFm_0001.HK_pos_reg4__mult_gru	TFm_0001.HK_pos_reg4__mult_gru_per
acc_per	76.25	-1.0	87.89	-1.0	95.55	-1.0	87.81	-1.0	90.70	-1.0	83.59	-1.0	75.70	-1.0	85.39	-1.0	91.33	-1.0	90.70	-1.0
loss	0.50	-1.0	0.29	-1.0	0.13	-1.0	0.38	-1.0	0.28	-1.0	0.41	-1.0	0.53	-1.0	0.33	-1.0	0.22	-1.0	0.21	-1.0
epochs	8	-1.0	9	-1.0	18	-1.0	12	-1.0	8	-1.0	12	-1.0	11	-1.0	15	-1.0	10	-1.0	12	-1.0
df_test_%	16.6	-1.0	19.0	-1.0	44.0	-1.0	30.4	-1.0	27.8	-1.0	17.7	-1.0	15.8	-1.0	24.1	-1.0	25.5	-1.0	37.9	-1.0
positives	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0
count	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0	231.0	-1.0
mean	0.4721	-1.0	0.4808	-1.0	0.2577	-1.0	0.6339	-1.0	0.6573	-1.0	0.5076	-1.0	0.4569	-1.0	0.4449	-1.0	0.5198	-1.0	0.3271	-1.0
std	0.1394	-1.0	0.1382	-1.0	0.3233	-1.0	0.1856	-1.0	0.0557	-1.0	0.1832	-1.0	0.1292	-1.0	0.3137	-1.0	0.2852	-1.0	0.2752	-1.0
min	0.2103	-1.0	0.2086	-1.0	0.0001	-1.0	0.1823	-1.0	0.5219	-1.0	0.2331	-1.0	0.1891	-1.0	0.0009	-1.0	0.0326	-1.0	0.0154	-1.0
25%	0.3368	9.25	0.3729	9.25	0.0156	8.72	0.5053	9.83	0.6159	9.83	0.3473	9.25	0.3531	9.25	0.1579	9.83	0.2493	9.83	0.1172	7.51
50%	0.4947	11.3	0.4927	12.17	0.073	10.43	0.6235	13.79	0.658	12.07	0.495	12.93	0.4614	11.21	0.4409	12.07	0.5725	12.93	0.2145	10.34
60%	0.5233	12.9	0.5245	12.9	0.1563	12.9	0.6644	17.39	0.6786	13.04	0.5491	16.13	0.4933	12.9	0.52	10.87	0.6492	16.3	0.2767	13.04
70%	0.5587	10.14	0.5679	14.29	0.3365	17.14	0.7435	20.29	0.6895	17.14	0.6067	18.84	0.5382	14.49	0.6801	12.86	0.7509	21.74	0.3989	15.94
75%	0.5803	12.07	0.5845	13.79	0.4459	20.69	0.769	20.69	0.6994	16.07	0.6617	17.24	0.5565	13.79	0.7165	13.79	0.7879	22.41	0.4859	17.24
80%	0.6094	8.51	0.605	17.39	0.5748	26.09	0.813	23.4	0.7064	19.57	0.6978	19.57	0.579	17.02	0.7715	17.02	0.8173	21.28	0.6147	21.74
85%	0.6296	11.43	0.6304	20.0	0.6688	28.57	0.8599	28.57	0.7189	25.71	0.7352	17.14	0.5964	17.14	0.8261	22.86	0.833	22.86	0.7141	25.71
86%	0.6334	12.12	0.637	18.18	0.689	30.3	0.8645	27.27	0.7211	27.27	0.7493	18.18	0.6015	15.15	0.8374	21.21	0.838	24.24	0.7329	27.27
87%	0.6366	13.33	0.6391	16.13	0.7582	33.33	0.8728	30.0	0.7247	26.67	0.7588	16.67	0.6109	13.33	0.8615	23.33	0.848	23.33	0.7572	30.0
88%	0.6393	14.29	0.6427	17.86	0.7907	35.71	0.885	32.14	0.7274	28.57	0.7645	17.86	0.6148	14.29	0.8833	21.43	0.8527	25.0	0.7663	32.14
89%	0.6457	15.38	0.6504	15.38	0.8253	38.46	0.8891	26.92	0.7287	30.77	0.7695	19.23	0.6232	15.38	0.8933	23.08	0.8556	26.92	0.7817	34.62
90%	0.651	17.39	0.6565	17.39	0.8418	41.67	0.897	29.17	0.7298	29.17	0.7767	17.39	0.6298	17.39	0.9026	20.83	0.8641	21.74	0.7866	33.33
91%	0.6536	19.05	0.6652	19.05	0.8585	47.62	0.9067	33.33	0.7317	28.57	0.7863	19.05	0.6306	14.29	0.9055	23.81	0.8661	23.81	0.8051	38.1
92%	0.6548	15.79	0.6725	21.05	0.9101	47.37	0.9097	31.58	0.7343	26.32	0.789	21.05	0.6319	15.79	0.9126	26.32	0.8731	26.32	0.8306	42.11
93%	0.6582	17.65	0.6767	23.53	0.9327	52.94	0.9123	29.41	0.7367	23.53	0.8035	11.76	0.637	17.65	0.9365	29.41	0.8745	29.41	0.8429	47.06
94%	0.6684	21.43	0.6902	28.57	0.9578	57.14	0.919	28.57	0.7392	21.43	0.8169	14.29	0.6391	21.43	0.9398	28.57	0.8966	28.57	0.8695	50.0
95%	0.674	25.0	0.6939	33.33	0.9769	66.67	0.9329	16.67	0.7412	23.08	0.8253	8.33	0.6488	16.67	0.9455	33.33	0.8991	33.33	0.8905	50.0
96%	0.6798	30.0	0.7269	40.0	0.984	70.0	0.9394	10.0	0.7425	30.0	0.8292	10.0	0.6757	20.0	0.9544	30.0	0.9027	40.0	0.8971	50.0
97%	0.6827	14.29	0.7419	57.14	0.9874	85.71	0.9435	14.29	0.7439	28.57	0.8379	14.29	0.6973	14.29	0.9615	28.57	0.9106	57.14	0.9271	71.43
98%	0.6907	0.0	0.7616	60.0	0.9935	100.0	0.9505	20.0	0.7557	40.0	0.844	20.0	0.708	0.0	0.9802	40.0	0.9216	80.0	0.9393	60.0
max	0.7733	-1.0	0.7883	-1.0	0.999	-1.0	0.9777	-1.0	0.7703	-1.0	0.8745	-1.0	0.773	-1.0	0.9962	-1.0	0.99	-1.0	0.9764	-1.0
