	TFm_1088.HK_pos_good9_mult_28	TFm_1088.HK_pos_good9_mult_28_per	TFm_1088.HK_pos_good9_mult_64	TFm_1088.HK_pos_good9_mult_64_per	TFm_1088.HK_pos_good9_mult_128	TFm_1088.HK_pos_good9_mult_128_per	TFm_1088.HK_pos_good9_mult_conv2	TFm_1088.HK_pos_good9_mult_conv2_per	TFm_1088.HK_pos_good9_mult_conv	TFm_1088.HK_pos_good9_mult_conv_per	TFm_1088.HK_pos_good9__simp_cordo	TFm_1088.HK_pos_good9__simp_cordo_per	TFm_1088.HK_pos_good9_mult_linear	TFm_1088.HK_pos_good9_mult_linear_per	TFm_1088.HK_pos_good9_mult_dense2	TFm_1088.HK_pos_good9_mult_dense2_per	TFm_1088.HK_pos_good9_mult_lstm	TFm_1088.HK_pos_good9_mult_lstm_per	TFm_1088.HK_pos_good9__mult_gru	TFm_1088.HK_pos_good9__mult_gru_per
acc_per	86.21	-1.0	94.07	-1.0	96.69	-1.0	93.68	-1.0	95.53	-1.0	79.04	-1.0	75.35	-1.0	91.91	-1.0	95.53	-1.0	94.92	-1.0
loss	0.33	-1.0	0.16	-1.0	0.11	-1.0	0.17	-1.0	0.14	-1.0	0.46	-1.0	0.52	-1.0	0.24	-1.0	0.12	-1.0	0.16	-1.0
epochs	10	-1.0	13	-1.0	9	-1.0	8	-1.0	11	-1.0	8	-1.0	9	-1.0	8	-1.0	9	-1.0	10	-1.0
df_test_%	32.3	-1.0	33.0	-1.0	44.0	-1.0	26.2	-1.0	32.7	-1.0	10.4	-1.0	13.4	-1.0	18.9	-1.0	16.5	-1.0	40.0	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0
count	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0
mean	0.4867	-1.0	0.3746	-1.0	0.4268	-1.0	0.5777	-1.0	0.6168	-1.0	0.5407	-1.0	0.7539	-1.0	0.6016	-1.0	0.523	-1.0	0.5318	-1.0
std	0.1989	-1.0	0.3068	-1.0	0.2974	-1.0	0.0393	-1.0	0.2536	-1.0	0.0173	-1.0	0.1179	-1.0	0.1422	-1.0	0.3254	-1.0	0.3584	-1.0
min	0.0177	-1.0	0.0001	-1.0	0.0007	-1.0	0.455	-1.0	0.0006	-1.0	0.5046	-1.0	0.3495	-1.0	0.2791	-1.0	0.0009	-1.0	0.0067	-1.0
25%	0.3389	8.05	0.0972	8.62	0.147	8.05	0.5513	8.62	0.4338	8.62	0.527	8.05	0.6714	6.9	0.4903	6.9	0.21	8.62	0.1172	8.62
50%	0.5025	11.21	0.2925	12.07	0.4194	12.07	0.5795	11.21	0.6517	11.21	0.5396	7.76	0.7692	8.62	0.6071	10.34	0.584	12.07	0.6244	12.93
60%	0.5728	12.9	0.3896	13.98	0.5092	13.98	0.5883	12.9	0.7338	12.9	0.5447	7.53	0.8022	9.68	0.6434	11.83	0.6614	13.98	0.772	15.05
70%	0.6255	14.29	0.5617	17.14	0.6194	15.71	0.5979	15.49	0.8082	15.71	0.5489	7.14	0.8298	11.27	0.6725	12.68	0.7658	17.14	0.8405	17.14
75%	0.6531	17.24	0.6172	20.69	0.6683	18.97	0.6042	18.97	0.8305	18.97	0.5512	8.47	0.8464	12.07	0.6987	13.79	0.8059	17.24	0.8833	20.69
80%	0.6784	19.15	0.716	21.28	0.7564	21.28	0.6107	23.4	0.8638	19.15	0.5559	6.38	0.8621	14.89	0.7233	17.02	0.8311	19.15	0.9104	25.53
85%	0.7006	25.71	0.7958	22.86	0.815	28.57	0.6167	31.43	0.8836	25.71	0.5608	8.57	0.8743	20.0	0.7656	20.0	0.8912	17.14	0.9263	28.57
86%	0.7095	27.27	0.8047	24.24	0.8237	30.3	0.6195	33.33	0.8875	27.27	0.5618	9.09	0.8772	18.18	0.7681	18.18	0.8992	18.18	0.9275	30.3
87%	0.7162	29.03	0.819	25.81	0.8335	32.26	0.6212	32.26	0.8966	29.03	0.563	9.68	0.8808	16.13	0.77	16.13	0.9123	16.13	0.9329	32.26
88%	0.7186	28.57	0.8334	28.57	0.836	35.71	0.6221	28.57	0.9045	28.57	0.5638	10.71	0.8857	14.29	0.7719	17.86	0.9146	14.29	0.9357	32.14
89%	0.7228	30.77	0.8511	30.77	0.8436	38.46	0.6228	30.77	0.9169	26.92	0.5653	11.11	0.8919	11.54	0.7847	15.38	0.931	15.38	0.9395	34.62
90%	0.7283	29.17	0.8591	33.33	0.8576	41.67	0.6244	29.17	0.9217	29.17	0.5657	8.7	0.8925	12.5	0.7888	16.67	0.9371	16.67	0.9412	36.0
91%	0.7311	33.33	0.8823	33.33	0.8631	47.62	0.6267	23.81	0.9249	33.33	0.5661	9.52	0.8959	14.29	0.7974	19.05	0.9401	19.05	0.9496	42.86
92%	0.7394	36.84	0.8968	36.84	0.8666	47.37	0.6281	21.05	0.9299	36.84	0.5669	10.53	0.8989	15.79	0.8123	21.05	0.9432	15.79	0.9548	47.37
93%	0.7468	35.29	0.9085	35.29	0.876	52.94	0.6349	23.53	0.9337	41.18	0.5676	11.76	0.9095	11.76	0.8218	23.53	0.9479	17.65	0.958	47.06
94%	0.7518	35.71	0.9195	42.86	0.8965	50.0	0.6361	21.43	0.9386	42.86	0.568	14.29	0.9165	14.29	0.8324	28.57	0.95	21.43	0.9594	42.86
95%	0.7633	41.67	0.9302	50.0	0.9112	58.33	0.6438	16.67	0.9425	50.0	0.5683	16.67	0.9234	16.67	0.8405	33.33	0.9571	25.0	0.9651	41.67
96%	0.782	50.0	0.9383	50.0	0.9187	60.0	0.6464	20.0	0.9459	40.0	0.5687	22.22	0.9256	10.0	0.8517	40.0	0.9692	30.0	0.9684	30.0
97%	0.8015	42.86	0.9427	57.14	0.9271	71.43	0.6517	28.57	0.9513	42.86	0.5735	28.57	0.9264	14.29	0.8617	42.86	0.9757	42.86	0.9699	28.57
98%	0.8114	60.0	0.9538	80.0	0.9351	80.0	0.6599	20.0	0.9632	40.0	0.5771	20.0	0.9285	20.0	0.8721	40.0	0.981	40.0	0.9728	20.0
max	0.8918	-1.0	0.9915	-1.0	0.9752	-1.0	0.6974	-1.0	0.9805	-1.0	0.5913	-1.0	0.9491	-1.0	0.9127	-1.0	0.992	-1.0	0.9812	-1.0
