	TFm_0002.HK_pos_good9_mult_28	TFm_0002.HK_pos_good9_mult_28_per	TFm_0002.HK_pos_good9_mult_64	TFm_0002.HK_pos_good9_mult_64_per	TFm_0002.HK_pos_good9_mult_128	TFm_0002.HK_pos_good9_mult_128_per	TFm_0002.HK_pos_good9_mult_conv2	TFm_0002.HK_pos_good9_mult_conv2_per	TFm_0002.HK_pos_good9_mult_conv	TFm_0002.HK_pos_good9_mult_conv_per	TFm_0002.HK_pos_good9__simp_cordo	TFm_0002.HK_pos_good9__simp_cordo_per	TFm_0002.HK_pos_good9_mult_linear	TFm_0002.HK_pos_good9_mult_linear_per	TFm_0002.HK_pos_good9_mult_dense2	TFm_0002.HK_pos_good9_mult_dense2_per	TFm_0002.HK_pos_good9_mult_lstm	TFm_0002.HK_pos_good9_mult_lstm_per	TFm_0002.HK_pos_good9__mult_gru	TFm_0002.HK_pos_good9__mult_gru_per
acc_per	83.15	-1.0	87.29	-1.0	93.29	-1.0	83.93	-1.0	93.84	-1.0	80.50	-1.0	73.17	-1.0	86.74	-1.0	94.85	-1.0	93.53	-1.0
loss	0.41	-1.0	0.31	-1.0	0.17	-1.0	0.37	-1.0	0.18	-1.0	0.43	-1.0	0.55	-1.0	0.31	-1.0	0.14	-1.0	0.18	-1.0
epochs	9	-1.0	9	-1.0	9	-1.0	8	-1.0	12	-1.0	17	-1.0	8	-1.0	11	-1.0	9	-1.0	10	-1.0
df_test_%	8.1	-1.0	21.0	-1.0	14.1	-1.0	4.8	-1.0	24.1	-1.0	11.5	-1.0	5.9	-1.0	8.1	-1.0	20.5	-1.0	16.7	-1.0
positives	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0
count	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0
mean	0.4632	-1.0	0.5096	-1.0	0.6585	-1.0	0.5636	-1.0	0.3846	-1.0	0.485	-1.0	0.5268	-1.0	0.4287	-1.0	0.4655	-1.0	0.5726	-1.0
std	0.1557	-1.0	0.1956	-1.0	0.2153	-1.0	0.0829	-1.0	0.2787	-1.0	0.2852	-1.0	0.1835	-1.0	0.3518	-1.0	0.2941	-1.0	0.298	-1.0
min	0.1852	-1.0	0.1278	-1.0	0.1129	-1.0	0.4314	-1.0	0.0094	-1.0	0.0371	-1.0	0.2167	-1.0	0.0001	-1.0	0.02	-1.0	0.0143	-1.0
25%	0.3342	8.24	0.3649	8.24	0.5009	6.47	0.5143	7.65	0.1263	7.06	0.2231	8.24	0.3914	8.24	0.0607	8.24	0.1742	7.65	0.3134	7.06
50%	0.4567	10.53	0.5094	8.85	0.7104	7.96	0.5535	10.62	0.3269	8.85	0.5153	11.4	0.544	10.53	0.4582	7.02	0.4667	9.65	0.6253	9.65
60%	0.51	13.19	0.5734	9.89	0.7621	7.69	0.5834	13.19	0.4437	8.79	0.6729	9.89	0.6068	5.49	0.6391	7.69	0.5893	10.99	0.7264	9.89
70%	0.5567	14.71	0.6364	10.29	0.8268	5.88	0.5944	14.71	0.5673	10.29	0.7668	11.76	0.635	7.35	0.7234	8.82	0.6813	11.76	0.8199	11.76
75%	0.5685	14.04	0.6727	10.53	0.8528	5.26	0.6015	15.79	0.6457	12.28	0.7923	10.53	0.6432	8.77	0.8083	10.53	0.742	14.04	0.8509	14.04
80%	0.5959	13.04	0.6976	13.04	0.8703	6.52	0.6164	8.7	0.6896	13.04	0.7996	8.7	0.6555	8.7	0.8316	10.87	0.7991	13.04	0.8781	17.39
85%	0.6414	8.82	0.7309	17.65	0.88	8.82	0.6359	8.57	0.7408	17.65	0.806	8.82	0.7199	8.82	0.8474	11.76	0.8368	14.71	0.8884	23.53
86%	0.6443	9.38	0.7363	18.75	0.8807	9.38	0.6441	9.38	0.7463	18.75	0.8066	9.38	0.7408	9.38	0.8523	9.38	0.8404	15.62	0.8948	25.0
87%	0.6505	10.0	0.7392	20.0	0.8812	10.0	0.6641	10.0	0.7756	20.0	0.8066	9.38	0.7693	10.0	0.8559	10.0	0.8439	16.67	0.9021	23.33
88%	0.6931	10.71	0.748	21.43	0.8828	10.71	0.6713	10.71	0.7876	21.43	0.8077	10.71	0.7768	10.71	0.8569	10.71	0.8465	17.86	0.9051	17.86
89%	0.7045	8.0	0.7502	24.0	0.8863	12.0	0.6763	4.0	0.7941	20.0	0.8079	12.0	0.7889	4.0	0.8607	8.0	0.8484	20.0	0.9119	16.0
90%	0.7168	8.7	0.7698	21.74	0.8891	13.04	0.6898	4.35	0.808	21.74	0.808	12.5	0.7985	4.35	0.8695	8.7	0.8549	21.74	0.9168	17.39
91%	0.7224	9.52	0.7873	19.05	0.897	14.29	0.7025	4.76	0.8111	23.81	0.8082	9.52	0.8144	4.76	0.885	9.52	0.8589	23.81	0.9238	14.29
92%	0.7356	5.26	0.7942	21.05	0.9026	15.79	0.7064	5.26	0.8248	26.32	0.8085	11.76	0.8267	5.26	0.8939	5.26	0.8632	21.05	0.926	15.79
