	TFm_0001.HK_pos_good9_mult_28	TFm_0001.HK_pos_good9_mult_28_per	TFm_0001.HK_pos_good9_mult_64	TFm_0001.HK_pos_good9_mult_64_per	TFm_0001.HK_pos_good9_mult_128	TFm_0001.HK_pos_good9_mult_128_per	TFm_0001.HK_pos_good9_mult_conv2	TFm_0001.HK_pos_good9_mult_conv2_per	TFm_0001.HK_pos_good9_mult_conv	TFm_0001.HK_pos_good9_mult_conv_per	TFm_0001.HK_pos_good9__simp_cordo	TFm_0001.HK_pos_good9__simp_cordo_per	TFm_0001.HK_pos_good9_mult_linear	TFm_0001.HK_pos_good9_mult_linear_per	TFm_0001.HK_pos_good9_mult_dense2	TFm_0001.HK_pos_good9_mult_dense2_per	TFm_0001.HK_pos_good9_mult_lstm	TFm_0001.HK_pos_good9_mult_lstm_per	TFm_0001.HK_pos_good9__mult_gru	TFm_0001.HK_pos_good9__mult_gru_per
50%	0.5078	8.55	0.4983	10.26	0.6383	7.69	0.3632	9.4	0.6593	7.69	0.4513	8.47	0.5701	8.62	0.1002	7.76	0.0746	9.4	0.6034	9.48
60%	0.5402	10.75	0.5303	12.9	0.7188	9.68	0.4093	9.68	0.6901	9.68	0.4749	9.68	0.6461	9.68	0.2395	9.68	0.2215	10.75	0.7491	11.83
70%	0.5885	12.86	0.5849	15.71	0.7713	10.0	0.4961	12.86	0.7235	12.86	0.4984	12.86	0.701	8.57	0.5319	8.57	0.5285	14.29	0.8048	14.29
75%	0.6052	13.79	0.6104	16.95	0.8028	10.34	0.5538	15.25	0.7486	11.86	0.5276	13.79	0.7381	10.34	0.6472	10.34	0.7863	17.24	0.8537	15.25
80%	0.6327	14.89	0.626	17.02	0.8213	12.77	0.6081	17.02	0.7606	14.89	0.554	17.02	0.7669	10.64	0.7708	10.64	0.8543	21.28	0.8904	14.89
85%	0.6695	17.14	0.6623	20.0	0.8367	17.14	0.6988	22.86	0.7888	20.0	0.5778	20.0	0.7873	8.57	0.893	14.29	0.8893	25.71	0.9104	17.65
86%	0.6795	18.18	0.6644	21.21	0.8455	18.18	0.7218	24.24	0.7911	21.21	0.5897	18.18	0.792	9.09	0.9065	15.15	0.8989	27.27	0.9151	18.18
87%	0.7049	19.35	0.677	22.58	0.8505	19.35	0.7264	25.81	0.8016	22.58	0.5928	19.35	0.7977	9.68	0.9153	16.13	0.9102	29.03	0.9209	19.35
88%	0.7162	21.43	0.6835	21.43	0.8573	17.86	0.7504	28.57	0.8097	25.0	0.5985	21.43	0.8169	7.14	0.9213	14.29	0.9186	32.14	0.9245	21.43
89%	0.7265	23.08	0.7144	23.08	0.8657	19.23	0.8188	26.92	0.8152	26.92	0.6016	23.08	0.8221	8.0	0.9288	15.38	0.9272	30.77	0.9325	19.23
90%	0.7325	25.0	0.7194	20.83	0.8759	16.67	0.8416	29.17	0.8244	29.17	0.6027	25.0	0.8297	4.17	0.9374	16.67	0.9334	29.17	0.9395	20.83
91%	0.752	28.57	0.7388	23.81	0.8889	14.29	0.8547	33.33	0.8291	28.57	0.6065	23.81	0.8351	4.76	0.941	9.52	0.9382	33.33	0.9434	23.81
92%	0.7624	31.58	0.7516	21.05	0.8962	15.79	0.8633	36.84	0.8375	31.58	0.6157	26.32	0.8357	5.26	0.9472	5.26	0.9399	36.84	0.9558	26.32
93%	0.776	35.29	0.7713	23.53	0.8987	16.67	0.8805	35.29	0.8424	29.41	0.623	29.41	0.871	5.88	0.9599	0.0	0.952	35.29	0.9623	29.41
94%	0.7874	35.71	0.7759	21.43	0.9103	14.29	0.9072	35.71	0.8597	35.71	0.6263	21.43	0.8941	7.14	0.9667	0.0	0.9661	42.86	0.9696	21.43
95%	0.7978	33.33	0.7999	25.0	0.914	16.67	0.9246	41.67	0.8674	33.33	0.6311	8.33	0.9053	8.33	0.9722	0.0	0.9711	41.67	0.9768	16.67
96%	0.8064	40.0	0.8062	30.0	0.9289	10.0	0.9312	40.0	0.9011	30.0	0.6359	10.0	0.9219	10.0	0.9791	0.0	0.9737	40.0	0.9804	20.0
97%	0.8111	28.57	0.8271	42.86	0.9429	16.67	0.9406	42.86	0.9081	28.57	0.6408	12.5	0.9436	14.29	0.9906	0.0	0.9765	37.5	0.9817	12.5
98%	0.8223	20.0	0.8406	60.0	0.9464	20.0	0.9575	40.0	0.9151	40.0	0.6613	20.0	0.9523	20.0	0.9927	0.0	0.9885	60.0	0.9853	20.0
max	0.8612	-1.0	0.897	-1.0	0.9851	-1.0	0.9841	-1.0	0.9617	-1.0	0.7168	-1.0	0.9816	-1.0	0.9953	-1.0	0.9966	-1.0	0.9911	-1.0
