	TFm_1299.HK_pos_reg4_mult_28	TFm_1299.HK_pos_reg4_mult_28_per	TFm_1299.HK_pos_reg4_mult_64	TFm_1299.HK_pos_reg4_mult_64_per	TFm_1299.HK_pos_reg4_mult_128	TFm_1299.HK_pos_reg4_mult_128_per	TFm_1299.HK_pos_reg4_mult_conv2	TFm_1299.HK_pos_reg4_mult_conv2_per	TFm_1299.HK_pos_reg4_mult_conv	TFm_1299.HK_pos_reg4_mult_conv_per	TFm_1299.HK_pos_reg4__simp_cordo	TFm_1299.HK_pos_reg4__simp_cordo_per	TFm_1299.HK_pos_reg4_mult_linear	TFm_1299.HK_pos_reg4_mult_linear_per	TFm_1299.HK_pos_reg4_mult_dense2	TFm_1299.HK_pos_reg4_mult_dense2_per	TFm_1299.HK_pos_reg4_mult_lstm	TFm_1299.HK_pos_reg4_mult_lstm_per	TFm_1299.HK_pos_reg4__mult_gru	TFm_1299.HK_pos_reg4__mult_gru_per
acc_per	85.12	-1.0	89.60	-1.0	92.96	-1.0	82.00	-1.0	88.00	-1.0	85.12	-1.0	84.08	-1.0	82.24	-1.0	90.64	-1.0	92.48	-1.0
loss	0.34	-1.0	0.26	-1.0	0.19	-1.0	0.61	-1.0	0.28	-1.0	0.37	-1.0	0.39	-1.0	0.40	-1.0	0.21	-1.0	0.19	-1.0
epochs	10	-1.0	11	-1.0	10	-1.0	8	-1.0	10	-1.0	13	-1.0	22	-1.0	8	-1.0	8	-1.0	12	-1.0
df_test_%	24.0	-1.0	31.2	-1.0	31.2	-1.0	0.0	-1.0	31.3	-1.0	34.9	-1.0	31.7	-1.0	21.3	-1.0	28.0	-1.0	45.7	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0
mean	0.4675	-1.0	0.5005	-1.0	0.5899	-1.0	0.4636	-1.0	0.573	-1.0	0.4125	-1.0	0.5871	-1.0	0.7176	-1.0	0.6524	-1.0	0.4781	-1.0
std	0.1412	-1.0	0.1988	-1.0	0.262	-1.0	0.0478	-1.0	0.1632	-1.0	0.2859	-1.0	0.3035	-1.0	0.1347	-1.0	0.0733	-1.0	0.3065	-1.0
min	0.233	-1.0	0.1155	-1.0	0.0254	-1.0	0.3076	-1.0	0.1879	-1.0	0.0321	-1.0	0.0042	-1.0	0.4825	-1.0	0.4082	-1.0	0.0122	-1.0
25%	0.364	6.43	0.333	7.02	0.3785	7.02	0.4411	4.68	0.4429	6.98	0.1116	6.98	0.3024	7.02	0.6153	6.98	0.6307	7.02	0.2097	6.4
50%	0.4436	9.65	0.4961	9.57	0.637	10.53	0.4719	2.63	0.5806	10.53	0.4096	8.7	0.6636	8.7	0.6798	9.57	0.6469	10.43	0.4566	9.57
60%	0.4792	11.96	0.5393	10.87	0.7109	13.04	0.4785	1.09	0.6239	11.96	0.5623	10.87	0.753	10.87	0.7048	11.96	0.6538	13.04	0.5495	11.96
70%	0.5189	13.04	0.6186	14.49	0.8005	14.49	0.4895	1.45	0.6559	13.04	0.6762	14.49	0.824	14.49	0.7525	11.59	0.6586	16.42	0.7027	14.49
75%	0.5325	15.79	0.6585	14.04	0.822	14.04	0.4997	1.75	0.6817	15.52	0.7159	17.54	0.8484	17.24	0.791	12.07	0.6625	17.54	0.766	17.24
80%	0.5507	19.57	0.6918	17.39	0.8505	17.39	0.5097	0.0	0.7174	17.39	0.7463	21.74	0.8853	21.74	0.8561	10.87	0.6778	17.39	0.8118	21.74
85%	0.5855	22.86	0.7448	22.86	0.8761	22.86	0.5149	0.0	0.7485	22.86	0.7617	25.71	0.9125	25.71	0.9172	14.29	0.6862	22.86	0.8706	28.57
86%	0.5889	21.88	0.7513	25.0	0.883	25.0	0.5154	0.0	0.759	25.0	0.7654	28.12	0.9293	25.0	0.9267	15.62	0.6871	21.88	0.8799	31.25
87%	0.6025	23.33	0.7544	26.67	0.8837	26.67	0.516	0.0	0.7695	26.67	0.7728	30.0	0.9369	26.67	0.9292	16.67	0.688	20.0	0.8907	33.33
88%	0.6216	21.43	0.7637	28.57	0.8897	28.57	0.5166	0.0	0.7738	25.0	0.7834	28.57	0.9442	28.57	0.9315	17.86	0.692	21.43	0.9037	35.71
89%	0.6417	19.23	0.7754	30.77	0.8979	26.92	0.5178	0.0	0.779	26.92	0.7856	32.0	0.95	30.77	0.9346	19.23	0.6941	23.08	0.9204	38.46
90%	0.6523	21.74	0.783	30.43	0.9032	30.43	0.5185	0.0	0.7852	30.43	0.7882	34.78	0.9538	34.78	0.9488	21.74	0.7077	26.09	0.9228	43.48
91%	0.6682	23.81	0.7835	28.57	0.9131	33.33	0.5216	0.0	0.7902	33.33	0.7888	33.33	0.9553	33.33	0.9624	23.81	0.7218	28.57	0.9402	47.62
92%	0.6994	26.32	0.786	31.58	0.921	36.84	0.5224	0.0	0.7977	36.84	0.7899	36.84	0.9578	31.58	0.9759	26.32	0.7345	31.58	0.9497	52.63
93%	0.7181	31.25	0.7923	37.5	0.9238	31.25	0.523	0.0	0.8034	35.29	0.7963	43.75	0.9685	31.25	0.9856	18.75	0.7531	37.5	0.9553	56.25
94%	0.7244	35.71	0.8036	42.86	0.9343	28.57	0.5239	0.0	0.8088	35.71	0.7976	42.86	0.9725	35.71	0.9892	14.29	0.7603	42.86	0.9599	57.14
95%	0.7565	41.67	0.8164	41.67	0.9564	33.33	0.5251	0.0	0.8302	41.67	0.7989	50.0	0.9775	41.67	0.9912	16.67	0.8023	41.67	0.9686	58.33
96%	0.8131	50.0	0.8202	50.0	0.9581	40.0	0.5268	0.0	0.856	50.0	0.7994	50.0	0.9802	55.56	0.9945	20.0	0.8138	50.0	0.9712	60.0
97%	0.8362	71.43	0.8361	71.43	0.9592	57.14	0.5296	0.0	0.8777	71.43	0.8007	42.86	0.9814	57.14	0.9951	28.57	0.8323	71.43	0.9778	85.71
98%	0.847	100.0	0.8929	100.0	0.965	80.0	0.5352	0.0	0.9215	100.0	0.8016	40.0	0.9823	80.0	0.9956	40.0	0.8779	100.0	0.9858	100.0
