	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_neg_low1_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.67	12.31	9.62	11.54	12.12	11.54	15.38	13.89	14.71	15.62	13.79	14.81	16.67	14.29	10.53	12.5	14.29	18.18	25.0	33.33	-1.0
TFm_UBER_neg_low1_mult_dense2	87.6	0.29	8.0	11.7	20.0	261.0	0.5756	0.1	0.2132	0.515	0.6008	0.6217	0.6403	0.65	0.6625	0.6739	0.6762	0.6782	0.6793	0.6818	0.684	0.6849	0.6858	0.6867	0.689	0.6925	0.699	0.7005	0.704	0.742
TFm_UBER_neg_low1_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.67	12.31	12.62	11.39	10.61	11.32	10.26	10.81	11.76	12.5	13.79	15.38	8.33	9.52	10.53	6.25	7.69	9.09	12.5	16.67	-1.0
TFm_UBER_neg_low1_mult_lstm	97.15	0.08	9.0	24.5	20.0	261.0	0.4336	0.2561	0.0637	0.2111	0.3496	0.4605	0.5501	0.6708	0.7496	0.7792	0.7929	0.8003	0.8108	0.8219	0.837	0.8459	0.8531	0.8698	0.8776	0.8832	0.8971	0.9124	0.9148	0.9318
TFm_UBER_neg_low1_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	10.26	12.98	12.5	16.46	18.46	20.75	22.5	21.62	23.53	21.88	24.14	26.92	29.17	23.81	21.05	25.0	30.77	36.36	37.5	33.33	-1.0
TFm_UBER_neg_low1__mult_gru	96.14	0.1	12.0	8.1	20.0	261.0	0.5708	0.3647	0.0097	0.2031	0.6265	0.8039	0.9147	0.9365	0.9592	0.9727	0.9775	0.9788	0.9811	0.9835	0.9849	0.9875	0.9878	0.9899	0.991	0.9922	0.9926	0.9934	0.994	0.9962
TFm_UBER_neg_low1__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	10.26	12.21	12.5	7.59	7.58	5.66	5.0	5.41	5.88	6.25	6.9	7.14	8.33	9.52	10.53	12.5	16.67	20.0	25.0	33.33	-1.0
TFm_UBER_pos_vgood16_mult_28	72.28	0.56	8.0	15.6	12.0	275.0	0.5079	0.0708	0.3862	0.467	0.4888	0.5028	0.5166	0.5269	0.5349	0.5466	0.5495	0.5535	0.5624	0.5678	0.5819	0.6001	0.6385	0.643	0.6549	0.6736	0.6841	0.691	0.7314	0.8213
TFm_UBER_pos_vgood16_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.83	7.25	7.27	7.23	7.25	9.09	11.9	12.82	13.89	15.15	16.13	17.86	16.0	13.64	15.0	11.76	14.29	9.09	11.11	0.0	-1.0
TFm_UBER_pos_vgood16_mult_64	81.61	0.44	15.0	14.5	12.0	275.0	0.4742	0.192	0.1699	0.3177	0.4409	0.5016	0.5487	0.594	0.6495	0.7093	0.7151	0.7235	0.7353	0.748	0.7581	0.7666	0.778	0.8016	0.8288	0.8396	0.8613	0.873	0.8887	0.9908
