	TFm_1088.HK_neg_reg4_mult_64	TFm_1088.HK_neg_low1_mult_128	TFm_1088.HK_neg_reg4_mult_64_per	TFm_1088.HK_neg_low1_mult_128_per	TFm_1088.HK_pos_good9__mult_gru	TFm_1088.HK_pos_low1__mult_gru	TFm_1088.HK_pos_good9__mult_gru_per	TFm_1088.HK_pos_low1__mult_gru_per	TFm_1299.HK_neg_low1_mult_lstm	TFm_1299.HK_neg_good9_mult_lstm	TFm_1299.HK_neg_low1_mult_lstm_per	TFm_1299.HK_neg_good9_mult_lstm_per	TFm_1299.HK_pos_vgood16_mult_128	TFm_1299.HK_pos_low1_mult_lstm	TFm_1299.HK_pos_vgood16_mult_128_per	TFm_1299.HK_pos_low1_mult_lstm_per	TFm_2318.HK_neg_reg4_mult_lstm	TFm_2318.HK_neg_good9__mult_gru	TFm_2318.HK_neg_reg4_mult_lstm_per	TFm_2318.HK_neg_good9__mult_gru_per	TFm_2318.HK_pos_good9_mult_lstm	TFm_2318.HK_pos_good9__mult_gru	TFm_2318.HK_pos_good9_mult_lstm_per	TFm_2318.HK_pos_good9__mult_gru_per	TFm_1519.HK_neg_low1__mult_gru	TFm_1519.HK_neg_vgood16_mult_lstm	TFm_1519.HK_neg_low1__mult_gru_per	TFm_1519.HK_neg_vgood16_mult_lstm_per	TFm_1519.HK_pos_vgood16_mult_dense2	TFm_1519.HK_pos_vgood16_mult_64	TFm_1519.HK_pos_vgood16_mult_dense2_per	TFm_1519.HK_pos_vgood16_mult_64_per	TFm_0020.HK_neg_good9_mult_lstm	TFm_0020.HK_neg_low1__mult_gru	TFm_0020.HK_neg_good9_mult_lstm_per	TFm_0020.HK_neg_low1__mult_gru_per	TFm_0020.HK_pos_reg4__mult_gru	TFm_0020.HK_pos_reg4_mult_conv	TFm_0020.HK_pos_reg4__mult_gru_per	TFm_0020.HK_pos_reg4_mult_conv_per
70%	0.7228	0.6906	15.71	10.14	0.8405	0.7176	17.14	20.59	0.6987	0.4941	15.94	17.39	0.8059	0.5673	17.14	20.29	0.7939	0.8584	16.92	13.85	0.6842	0.5803	15.38	16.92	0.5792	0.74	13.04	14.29	0.689	0.6611	23.19	21.43	0.6988	0.809	23.33	21.67	0.7993	0.4166	11.67	10.0
75%	0.7344	0.7226	15.52	10.34	0.8833	0.7791	20.69	23.21	0.7947	0.6784	17.24	20.69	0.8172	0.7055	18.64	24.56	0.8154	0.9157	18.52	16.67	0.7209	0.7805	18.52	20.37	0.722	0.8634	15.52	15.25	0.7282	0.7687	25.86	24.14	0.7246	0.8719	24.0	24.0	0.8263	0.4729	14.0	10.0
80%	0.7685	0.783	12.77	13.04	0.9104	0.8539	25.53	26.67	0.8371	0.7761	21.74	26.09	0.845	0.834	23.4	28.26	0.8608	0.9484	23.26	20.93	0.7556	0.8863	23.26	25.58	0.8371	0.912	15.22	19.15	0.8059	0.7993	23.91	23.91	0.7828	0.9176	30.0	27.5	0.8617	0.5551	17.5	12.5
85%	0.7863	0.7985	17.14	14.71	0.9263	0.8892	28.57	35.29	0.9242	0.8713	25.71	31.43	0.8767	0.9298	28.57	37.14	0.9258	0.961	27.27	25.0	0.7901	0.9558	24.24	30.3	0.8881	0.9317	20.0	25.71	0.936	0.8842	28.57	28.57	0.8362	0.9409	33.33	30.0	0.9091	0.6001	23.33	16.67
86%	0.7908	0.8004	18.18	15.15	0.9275	0.8925	30.3	34.38	0.9452	0.882	27.27	31.25	0.8793	0.9345	30.3	37.5	0.9318	0.9621	29.03	25.81	0.8156	0.9718	25.81	32.26	0.9005	0.9402	21.21	27.27	0.9431	0.8878	27.27	30.3	0.8408	0.9454	32.14	32.14	0.9135	0.6105	25.0	17.86
87%	0.8087	0.8046	19.35	16.67	0.9329	0.9076	32.26	33.33	0.9465	0.8858	30.0	33.33	0.8833	0.9443	32.26	40.0	0.9404	0.9641	32.14	28.57	0.8405	0.9773	28.57	35.71	0.9135	0.9433	23.33	29.03	0.9444	0.8938	30.0	30.0	0.8493	0.9495	30.77	30.77	0.9147	0.6187	26.92	19.23
88%	0.822	0.8101	21.43	17.86	0.9357	0.9168	32.14	33.33	0.9554	0.9038	32.14	35.71	0.8904	0.9536	27.59	42.86	0.9436	0.9669	34.62	26.92	0.8569	0.9838	26.92	38.46	0.9197	0.9494	25.0	31.03	0.9477	0.9096	32.14	32.14	0.8645	0.9583	33.33	29.17	0.9205	0.6412	25.0	20.83
89%	0.8267	0.8127	23.08	19.23	0.9395	0.9294	34.62	32.0	0.9593	0.911	34.62	38.46	0.8913	0.9589	26.92	46.15	0.9468	0.9683	37.5	28.0	0.8703	0.985	29.17	37.5	0.936	0.9523	26.92	30.77	0.9499	0.9207	30.77	34.62	0.8713	0.9609	36.36	27.27	0.9284	0.6547	27.27	22.73
90%	0.8393	0.8198	25.0	21.74	0.9412	0.9352	36.0	34.78	0.9739	0.9197	34.78	39.13	0.8934	0.9636	29.17	52.17	0.9521	0.9694	40.91	31.82	0.8916	0.9856	31.82	36.36	0.9509	0.9566	30.43	29.17	0.9522	0.9233	30.43	37.5	0.8809	0.9615	35.0	30.0	0.934	0.6604	30.0	20.0
91%	0.8429	0.824	28.57	23.81	0.9496	0.9378	42.86	33.33	0.9774	0.9262	38.1	42.86	0.8963	0.9749	28.57	57.14	0.9536	0.9705	45.0	35.0	0.9122	0.99	30.0	35.0	0.9551	0.9575	33.33	28.57	0.9538	0.9347	33.33	42.86	0.8846	0.9661	33.33	33.33	0.9386	0.6721	27.78	22.22
92%	0.8471	0.831	26.32	26.32	0.9548	0.9441	47.37	38.89	0.9803	0.9321	42.11	42.11	0.9024	0.9806	31.58	57.89	0.9591	0.973	50.0	38.89	0.9313	0.9929	33.33	35.29	0.9611	0.9643	36.84	31.58	0.956	0.9379	31.58	47.37	0.8867	0.968	31.25	37.5	0.9463	0.6936	25.0	25.0
93%	0.8542	0.84	29.41	29.41	0.958	0.9588	47.06	43.75	0.9833	0.9402	50.0	43.75	0.918	0.9839	35.29	56.25	0.965	0.9735	56.25	46.67	0.9574	0.9951	37.5	37.5	0.974	0.9717	38.89	29.41	0.9574	0.9393	35.29	52.94	0.8929	0.9701	35.71	42.86	0.9475	0.731	28.57	28.57
94%	0.8708	0.8427	28.57	35.71	0.9594	0.9685	42.86	50.0	0.9844	0.9525	57.14	50.0	0.9271	0.989	42.86	57.14	0.9699	0.9745	61.54	50.0	0.9663	0.9959	46.15	46.15	0.9772	0.9743	42.86	28.57	0.9586	0.9475	35.71	64.29	0.8976	0.9737	41.67	50.0	0.949	0.736	33.33	33.33
95%	0.8745	0.86	33.33	41.67	0.9651	0.9864	41.67	54.55	0.9856	0.965	58.33	58.33	0.929	0.9926	50.0	58.33	0.9789	0.9765	63.64	54.55	0.9831	0.9963	54.55	54.55	0.9813	0.9752	41.67	33.33	0.9598	0.9607	25.0	58.33	0.9084	0.978	30.0	60.0	0.9516	0.7487	30.0	30.0
96%	0.881	0.8708	40.0	50.0	0.9684	0.9883	30.0	55.56	0.9865	0.9701	60.0	60.0	0.9384	0.9947	50.0	70.0	0.9822	0.9786	66.67	55.56	0.9894	0.9966	44.44	55.56	0.9846	0.9778	40.0	30.0	0.9604	0.9638	20.0	50.0	0.9315	0.9834	37.5	62.5	0.9544	0.7836	37.5	25.0
97%	0.8829	0.8769	57.14	57.14	0.9699	0.9902	28.57	57.14	0.9937	0.9762	71.43	57.14	0.9572	0.9955	57.14	85.71	0.9859	0.9812	71.43	71.43	0.9923	0.9985	57.14	71.43	0.9864	0.9802	42.86	42.86	0.9625	0.9648	0.0	42.86	0.944	0.9857	33.33	66.67	0.9557	0.8198	16.67	16.67
98%	0.8949	0.9036	60.0	60.0	0.9728	0.9913	20.0	75.0	0.9951	0.9868	80.0	60.0	0.983	0.9977	60.0	80.0	0.9885	0.9834	80.0	80.0	0.9945	0.9994	80.0	80.0	0.9892	0.9867	60.0	40.0	0.9635	0.9681	0.0	40.0	0.9539	0.9872	20.0	100.0	0.9562	0.8313	25.0	0.0
max	0.9549	0.9855	-1.0	-1.0	0.9812	0.9991	-1.0	-1.0	0.9972	0.9978	-1.0	-1.0	0.9994	1.0	-1.0	-1.0	0.996	0.9945	-1.0	-1.0	0.9983	0.9998	-1.0	-1.0	0.9947	0.9948	-1.0	-1.0	0.9678	0.9728	-1.0	-1.0	0.9613	0.9973	-1.0	-1.0	0.9656	0.8975	-1.0	-1.0
