	TFm_0002.HK_neg_good9_mult_28	TFm_0002.HK_neg_good9_mult_28_per	TFm_0002.HK_neg_good9_mult_64	TFm_0002.HK_neg_good9_mult_64_per	TFm_0002.HK_neg_good9_mult_128	TFm_0002.HK_neg_good9_mult_128_per	TFm_0002.HK_neg_good9_mult_conv2	TFm_0002.HK_neg_good9_mult_conv2_per	TFm_0002.HK_neg_good9_mult_conv	TFm_0002.HK_neg_good9_mult_conv_per	TFm_0002.HK_neg_good9__simp_cordo	TFm_0002.HK_neg_good9__simp_cordo_per	TFm_0002.HK_neg_good9_mult_linear	TFm_0002.HK_neg_good9_mult_linear_per	TFm_0002.HK_neg_good9_mult_dense2	TFm_0002.HK_neg_good9_mult_dense2_per	TFm_0002.HK_neg_good9_mult_lstm	TFm_0002.HK_neg_good9_mult_lstm_per	TFm_0002.HK_neg_good9__mult_gru	TFm_0002.HK_neg_good9__mult_gru_per
acc_per	70.09	-1.0	80.29	-1.0	86.89	-1.0	70.40	-1.0	77.61	-1.0	67.10	-1.0	67.79	-1.0	75.23	-1.0	80.14	-1.0	79.14	-1.0
loss	0.56	-1.0	0.44	-1.0	0.32	-1.0	0.66	-1.0	0.46	-1.0	0.58	-1.0	0.56	-1.0	0.49	-1.0	0.42	-1.0	0.45	-1.0
epochs	13	-1.0	12	-1.0	14	-1.0	17	-1.0	10	-1.0	12	-1.0	13	-1.0	11	-1.0	9	-1.0	10	-1.0
df_test_%	20.6	-1.0	27.6	-1.0	21.0	-1.0	26.0	-1.0	20.0	-1.0	17.5	-1.0	18.2	-1.0	6.3	-1.0	22.5	-1.0	23.7	-1.0
positives	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0
count	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0
mean	0.5908	-1.0	0.5181	-1.0	0.5325	-1.0	0.6929	-1.0	0.703	-1.0	0.5651	-1.0	0.7418	-1.0	0.6847	-1.0	0.5653	-1.0	0.6196	-1.0
std	0.1347	-1.0	0.1691	-1.0	0.2651	-1.0	0.1554	-1.0	0.1343	-1.0	0.1625	-1.0	0.2606	-1.0	0.2695	-1.0	0.181	-1.0	0.1812	-1.0
min	0.2258	-1.0	0.0344	-1.0	0.0164	-1.0	0.0791	-1.0	0.273	-1.0	0.2989	-1.0	0.0023	-1.0	0.0001	-1.0	0.1015	-1.0	0.2269	-1.0
25%	0.4972	8.43	0.388	8.43	0.3014	8.99	0.5932	7.87	0.6245	7.87	0.4417	7.87	0.7183	8.43	0.6178	8.43	0.4386	7.87	0.4672	9.55
