	TFm_1519.HK_pos_low1_mult_28	TFm_1519.HK_pos_low1_mult_28_per	TFm_1519.HK_pos_low1_mult_64	TFm_1519.HK_pos_low1_mult_64_per	TFm_1519.HK_pos_low1_mult_128	TFm_1519.HK_pos_low1_mult_128_per	TFm_1519.HK_pos_low1_mult_conv2	TFm_1519.HK_pos_low1_mult_conv2_per	TFm_1519.HK_pos_low1_mult_conv	TFm_1519.HK_pos_low1_mult_conv_per	TFm_1519.HK_pos_low1__simp_cordo	TFm_1519.HK_pos_low1__simp_cordo_per	TFm_1519.HK_pos_low1_mult_linear	TFm_1519.HK_pos_low1_mult_linear_per	TFm_1519.HK_pos_low1_mult_dense2	TFm_1519.HK_pos_low1_mult_dense2_per	TFm_1519.HK_pos_low1_mult_lstm	TFm_1519.HK_pos_low1_mult_lstm_per	TFm_1519.HK_pos_low1__mult_gru	TFm_1519.HK_pos_low1__mult_gru_per
acc_per	73.87	-1.0	73.79	-1.0	85.18	-1.0	64.66	-1.0	85.10	-1.0	72.31	-1.0	70.98	-1.0	75.51	-1.0	87.99	-1.0	86.51	-1.0
loss	0.52	-1.0	0.51	-1.0	0.35	-1.0	1.29	-1.0	0.37	-1.0	0.54	-1.0	0.56	-1.0	0.48	-1.0	0.28	-1.0	0.30	-1.0
epochs	12	-1.0	8	-1.0	8	-1.0	8	-1.0	9	-1.0	11	-1.0	9	-1.0	9	-1.0	8	-1.0	12	-1.0
df_test_%	27.0	-1.0	30.7	-1.0	26.8	-1.0	28.5	-1.0	29.5	-1.0	14.9	-1.0	35.3	-1.0	37.9	-1.0	30.6	-1.0	33.7	-1.0
positives	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0
count	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0
mean	0.5195	-1.0	0.5669	-1.0	0.5423	-1.0	0.6339	-1.0	0.61	-1.0	0.5508	-1.0	0.5576	-1.0	0.7828	-1.0	0.6489	-1.0	0.4496	-1.0
std	0.2099	-1.0	0.127	-1.0	0.1754	-1.0	0.1178	-1.0	0.1669	-1.0	0.2228	-1.0	0.1363	-1.0	0.2008	-1.0	0.0862	-1.0	0.2748	-1.0
min	0.2613	-1.0	0.3422	-1.0	0.278	-1.0	0.4156	-1.0	0.3141	-1.0	0.2176	-1.0	0.3304	-1.0	0.0664	-1.0	0.5129	-1.0	0.0447	-1.0
25%	0.37	9.36	0.482	8.14	0.4138	9.3	0.5487	9.36	0.4927	9.3	0.3671	9.3	0.4585	10.47	0.7185	9.3	0.5878	10.47	0.2079	10.47
50%	0.4202	13.91	0.539	11.3	0.4913	12.17	0.6265	10.43	0.5803	12.17	0.4948	13.04	0.5108	13.91	0.8243	12.17	0.624	12.17	0.4442	14.78
60%	0.4648	16.3	0.5668	14.13	0.5176	14.13	0.6407	13.04	0.6059	15.22	0.5712	16.3	0.5356	14.13	0.8513	14.13	0.6409	15.22	0.5178	16.3
70%	0.5645	17.39	0.5882	18.84	0.5606	17.39	0.6518	17.14	0.657	17.39	0.7059	20.29	0.5713	18.84	0.8998	17.39	0.6717	20.29	0.6003	20.29
75%	0.6402	20.69	0.6111	22.41	0.61	20.69	0.6564	20.69	0.6901	20.69	0.7611	20.69	0.5936	22.41	0.932	20.34	0.6923	20.69	0.644	24.14
80%	0.7359	26.09	0.6434	26.09	0.6821	26.09	0.6722	26.09	0.7353	26.09	0.8175	26.09	0.6382	23.91	0.958	26.09	0.7476	26.09	0.7133	26.09
85%	0.8602	28.57	0.7391	28.57	0.845	22.86	0.7892	20.0	0.8718	25.71	0.8851	31.43	0.763	25.71	0.9938	31.43	0.7951	28.57	0.7862	31.43
86%	0.8824	30.3	0.7523	30.3	0.8475	24.24	0.7922	21.21	0.8769	27.27	0.8921	28.12	0.7732	27.27	0.9949	31.25	0.7953	28.12	0.8118	30.3
87%	0.8958	30.0	0.7765	30.0	0.8501	23.33	0.7994	23.33	0.8863	26.67	0.8952	26.67	0.7863	30.0	0.9961	33.33	0.7955	29.03	0.8649	33.33
88%	0.904	25.0	0.7841	28.57	0.8528	22.22	0.8065	25.0	0.8922	28.57	0.8966	25.0	0.7995	32.14	0.9964	35.71	0.7962	32.14	0.8795	35.71
89%	0.9137	23.08	0.7854	30.77	0.858	23.08	0.8266	26.92	0.901	26.92	0.898	19.23	0.8117	34.62	0.997	34.62	0.7966	34.62	0.8916	30.77
90%	0.9155	26.09	0.7951	30.43	0.8596	26.09	0.8321	30.43	0.9072	26.09	0.8989	12.5	0.8189	34.78	0.9973	37.5	0.7967	34.78	0.9053	30.43
91%	0.9191	28.57	0.8084	33.33	0.8635	28.57	0.834	33.33	0.909	28.57	0.8999	9.52	0.8213	38.1	0.9976	36.36	0.7972	33.33	0.9095	33.33
92%	0.928	31.58	0.8187	31.58	0.8715	31.58	0.8516	31.58	0.912	31.58	0.9003	10.53	0.8306	36.84	0.998	42.11	0.7978	23.53	0.9157	36.84
93%	0.9291	27.78	0.8249	29.41	0.8797	29.41	0.8571	23.53	0.9149	35.29	0.9007	12.5	0.8362	35.29	0.9983	41.18	0.7979	25.0	0.9192	35.29
94%	0.9305	28.57	0.8258	28.57	0.8825	26.67	0.8801	21.43	0.9188	42.86	0.901	14.29	0.8456	35.71	0.9988	42.86	0.7982	28.57	0.9199	42.86
95%	0.9326	25.0	0.8314	25.0	0.8869	16.67	0.8958	16.67	0.9212	33.33	0.9016	8.33	0.8497	33.33	0.9989	54.55	0.7984	33.33	0.9229	50.0
96%	0.9349	10.0	0.8346	10.0	0.8886	20.0	0.9025	20.0	0.9254	30.0	0.9024	10.0	0.8533	40.0	0.9989	54.55	0.7994	40.0	0.9271	50.0
97%	0.9386	0.0	0.8373	16.67	0.8905	14.29	0.906	28.57	0.9281	42.86	0.9043	14.29	0.8558	28.57	0.999	66.67	0.7999	57.14	0.928	66.67
98%	0.9416	0.0	0.8378	20.0	0.8926	0.0	0.9138	20.0	0.9295	40.0	0.9062	20.0	0.8606	20.0	0.9991	50.0	0.8004	60.0	0.9299	80.0
max	0.9502	-1.0	0.8628	-1.0	0.9087	-1.0	0.9244	-1.0	0.944	-1.0	0.9083	-1.0	0.8798	-1.0	0.9997	-1.0	0.8009	-1.0	0.9334	-1.0
