	TFm_2318.HK_neg_low1_mult_28	TFm_2318.HK_neg_low1_mult_28_per	TFm_2318.HK_neg_low1_mult_64	TFm_2318.HK_neg_low1_mult_64_per	TFm_2318.HK_neg_low1_mult_128	TFm_2318.HK_neg_low1_mult_128_per	r_TFm_2318.HK_neg_low1_mult_conv2	TFm_2318.HK_neg_low1_mult_conv	TFm_2318.HK_neg_low1_mult_conv_per	TFm_2318.HK_neg_low1__simp_cordo	TFm_2318.HK_neg_low1__simp_cordo_per	TFm_2318.HK_neg_low1_mult_linear	TFm_2318.HK_neg_low1_mult_linear_per	TFm_2318.HK_neg_low1_mult_dense2	TFm_2318.HK_neg_low1_mult_dense2_per	TFm_2318.HK_neg_low1_mult_lstm	TFm_2318.HK_neg_low1_mult_lstm_per	TFm_2318.HK_neg_low1__mult_gru	TFm_2318.HK_neg_low1__mult_gru_per
70%	0.6791	15.38	0.7799	16.92	0.7126	10.77	-1	0.7986	15.38	0.8173	15.38	0.8853	15.38	0.895	15.38	0.8747	15.38	0.8517	13.85
75%	0.7101	12.96	0.8103	20.37	0.7245	12.96	-1	0.8117	14.81	0.8289	16.67	0.9166	12.96	0.9104	16.67	0.9057	16.67	0.869	16.67
80%	0.7263	13.95	0.8339	18.6	0.745	11.36	-1	0.8271	18.6	0.8347	18.18	0.939	15.91	0.9241	15.91	0.9255	20.45	0.8779	16.28
85%	0.7643	15.15	0.8807	21.21	0.7652	12.5	-1	0.8472	18.18	0.8402	18.18	0.9552	12.12	0.9486	9.09	0.9529	27.27	0.8876	15.15
86%	0.7698	12.9	0.8825	22.58	0.7682	12.9	-1	0.8521	19.35	0.8415	12.9	0.9605	9.68	0.9525	9.68	0.9548	25.81	0.8918	16.13
87%	0.7754	14.29	0.8888	21.43	0.7769	14.29	-1	0.8555	21.43	0.8425	14.29	0.9651	10.71	0.9532	10.71	0.9569	28.57	0.8947	17.86
88%	0.7823	15.38	0.8924	23.08	0.7839	11.54	-1	0.8602	23.08	0.8446	15.38	0.9706	11.54	0.9538	11.54	0.9652	30.77	0.9054	19.23
89%	0.7869	16.67	0.8962	25.0	0.7947	12.5	-1	0.8662	25.0	0.8462	16.67	0.973	8.33	0.9554	12.5	0.9669	33.33	0.9086	16.67
90%	0.8012	18.18	0.8995	27.27	0.8016	13.64	-1	0.8714	27.27	0.8478	17.39	0.9762	9.09	0.9602	13.64	0.9692	31.82	0.9103	18.18
91%	0.8045	20.0	0.9014	30.0	0.8056	15.0	-1	0.8748	30.0	0.8486	20.0	0.9789	10.0	0.9655	10.0	0.9698	35.0	0.9125	21.05
92%	0.8167	16.67	0.9073	27.78	0.8112	16.67	-1	0.8823	33.33	0.851	22.22	0.9842	11.11	0.9675	11.11	0.9723	27.78	0.9137	22.22
93%	0.8316	18.75	0.9234	31.25	0.8214	18.75	-1	0.8884	37.5	0.852	25.0	0.9851	13.33	0.9691	12.5	0.9758	31.25	0.9148	26.67
94%	0.8426	23.08	0.9339	38.46	0.8261	23.08	-1	0.8899	46.15	0.8528	23.08	0.987	15.38	0.9705	15.38	0.9772	30.77	0.9161	23.08
95%	0.8503	27.27	0.9357	45.45	0.841	27.27	-1	0.8973	45.45	0.8555	27.27	0.9888	18.18	0.9779	9.09	0.9823	27.27	0.9215	18.18
96%	0.8668	33.33	0.9445	55.56	0.8537	33.33	-1	0.902	55.56	0.8599	25.0	0.9917	22.22	0.9832	11.11	0.9841	33.33	0.9232	11.11
97%	0.8756	42.86	0.9514	71.43	0.8664	42.86	-1	0.9043	57.14	0.861	28.57	0.993	14.29	0.9856	14.29	0.9864	42.86	0.9269	14.29
98%	0.8955	40.0	0.9601	80.0	0.8729	20.0	-1	0.9154	40.0	0.8618	20.0	0.994	20.0	0.9923	20.0	0.9881	60.0	0.932	20.0
max	0.9353	-1.0	0.9811	-1.0	0.8987	-1.0	-1	0.939	-1.0	0.8673	-1.0	0.996	-1.0	0.9985	-1.0	1.0	-1.0	0.9462	-1.0
