	TFm_2318.HK_neg_low1_mult_28	TFm_2318.HK_neg_low1_mult_28_per	TFm_2318.HK_neg_low1_mult_64	TFm_2318.HK_neg_low1_mult_64_per	TFm_2318.HK_neg_low1_mult_128	TFm_2318.HK_neg_low1_mult_128_per	r_TFm_2318.HK_neg_low1_mult_conv2	TFm_2318.HK_neg_low1_mult_conv	TFm_2318.HK_neg_low1_mult_conv_per	TFm_2318.HK_neg_low1__simp_cordo	TFm_2318.HK_neg_low1__simp_cordo_per	TFm_2318.HK_neg_low1_mult_linear	TFm_2318.HK_neg_low1_mult_linear_per	TFm_2318.HK_neg_low1_mult_dense2	TFm_2318.HK_neg_low1_mult_dense2_per	TFm_2318.HK_neg_low1_mult_lstm	TFm_2318.HK_neg_low1_mult_lstm_per	TFm_2318.HK_neg_low1__mult_gru	TFm_2318.HK_neg_low1__mult_gru_per
acc_per	85.93	-1.0	91.06	-1.0	93.38	-1.0	-1	94.70	-1.0	85.26	-1.0	77.90	-1.0	86.26	-1.0	93.13	-1.0	88.99	-1.0
loss	0.33	-1.0	0.21	-1.0	0.18	-1.0	-1	0.18	-1.0	0.36	-1.0	0.51	-1.0	0.34	-1.0	0.19	-1.0	0.25	-1.0
epochs	9	-1.0	14	-1.0	8	-1.0	-1	11	-1.0	20	-1.0	18	-1.0	15	-1.0	12	-1.0	9	-1.0
df_test_%	17.6	-1.0	27.4	-1.0	14.7	-1.0	-1	29.4	-1.0	19.4	-1.0	10.6	-1.0	11.9	-1.0	31.7	-1.0	20.7	-1.0
positives	13	-1.0	13	-1.0	13	-1.0	-1	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0
count	216.0	-1.0	216.0	-1.0	216.0	-1.0	-1	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0
mean	0.5502	-1.0	0.4755	-1.0	0.5781	-1.0	-1	0.5851	-1.0	0.5134	-1.0	0.6452	-1.0	0.6773	-1.0	0.5238	-1.0	0.6207	-1.0
std	0.1935	-1.0	0.3435	-1.0	0.1703	-1.0	-1	0.2624	-1.0	0.351	-1.0	0.29	-1.0	0.3277	-1.0	0.3847	-1.0	0.3197	-1.0
min	0.1093	-1.0	0.0064	-1.0	0.2973	-1.0	-1	0.0419	-1.0	0.061	-1.0	0.0202	-1.0	0.0	-1.0	0.0	-1.0	0.052	-1.0
25%	0.389	8.02	0.1032	8.02	0.423	8.02	-1	0.3232	8.02	0.064	8.02	0.4086	8.02	0.5623	8.02	0.04	8.02	0.2633	8.02
50%	0.5727	12.04	0.5247	12.04	0.5865	11.11	-1	0.6774	11.11	0.7305	11.11	0.7155	12.04	0.8187	11.11	0.6196	11.11	0.7828	11.11
60%	0.6297	12.79	0.6608	14.94	0.6591	9.3	-1	0.7621	11.63	0.7829	12.79	0.8084	13.79	0.8588	13.95	0.731	13.95	0.8196	12.64
