	TFm_1088.HK_pos_low1_mult_28	TFm_1088.HK_pos_low1_mult_28_per	TFm_1088.HK_pos_low1_mult_64	TFm_1088.HK_pos_low1_mult_64_per	TFm_1088.HK_pos_low1_mult_128	TFm_1088.HK_pos_low1_mult_128_per	TFm_1088.HK_pos_low1_mult_conv2	TFm_1088.HK_pos_low1_mult_conv2_per	TFm_1088.HK_pos_low1_mult_conv	TFm_1088.HK_pos_low1_mult_conv_per	TFm_1088.HK_pos_low1__simp_cordo	TFm_1088.HK_pos_low1__simp_cordo_per	TFm_1088.HK_pos_low1_mult_linear	TFm_1088.HK_pos_low1_mult_linear_per	TFm_1088.HK_pos_low1_mult_dense2	TFm_1088.HK_pos_low1_mult_dense2_per	TFm_1088.HK_pos_low1_mult_lstm	TFm_1088.HK_pos_low1_mult_lstm_per	TFm_1088.HK_pos_low1__mult_gru	TFm_1088.HK_pos_low1__mult_gru_per
acc_per	91.89	-1.0	96.77	-1.0	97.17	-1.0	76.69	-1.0	100.00	-1.0	88.27	-1.0	86.14	-1.0	90.47	-1.0	96.46	-1.0	95.35	-1.0
loss	0.22	-1.0	0.12	-1.0	0.08	-1.0	1.13	-1.0	0.01	-1.0	0.30	-1.0	0.34	-1.0	0.27	-1.0	0.09	-1.0	0.13	-1.0
epochs	12	-1.0	8	-1.0	9	-1.0	9	-1.0	13	-1.0	10	-1.0	26	-1.0	11	-1.0	8	-1.0	14	-1.0
df_test_%	28.2	-1.0	27.6	-1.0	36.4	-1.0	2.7	-1.0	4.8	-1.0	18.0	-1.0	12.2	-1.0	21.9	-1.0	22.8	-1.0	36.0	-1.0
positives	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0
count	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0
mean	0.4393	-1.0	0.5372	-1.0	0.3175	-1.0	0.9987	-1.0	0.3965	-1.0	0.486	-1.0	0.6143	-1.0	0.4478	-1.0	0.4729	-1.0	0.3976	-1.0
std	0.2079	-1.0	0.1208	-1.0	0.2629	-1.0	0.0019	-1.0	0.3236	-1.0	0.2308	-1.0	0.333	-1.0	0.2551	-1.0	0.1813	-1.0	0.3669	-1.0
min	0.0216	-1.0	0.2583	-1.0	0.0026	-1.0	0.9906	-1.0	0.0006	-1.0	0.2211	-1.0	0.0004	-1.0	0.0135	-1.0	0.1022	-1.0	0.005	-1.0
25%	0.2917	9.47	0.452	8.88	0.1107	9.52	0.9984	6.55	0.0876	8.28	0.2683	7.19	0.3092	8.28	0.2524	8.93	0.3303	5.92	0.0584	9.52
50%	0.4116	11.5	0.5382	8.85	0.2191	13.27	0.9995	6.14	0.3298	10.71	0.4145	8.93	0.6995	11.61	0.4596	10.62	0.4444	7.08	0.2188	14.29
60%	0.4755	13.33	0.5714	11.11	0.3062	15.56	0.9997	4.65	0.4718	10.0	0.5101	10.0	0.8295	10.0	0.5246	7.78	0.4834	8.89	0.4721	17.78
