	TFm_1008.HK_pos_vgood16_mult_28	TFm_1008.HK_pos_vgood16_mult_28_per	TFm_1008.HK_pos_vgood16_mult_64	TFm_1008.HK_pos_vgood16_mult_64_per	TFm_1008.HK_pos_vgood16_mult_128	TFm_1008.HK_pos_vgood16_mult_128_per	TFm_1008.HK_pos_vgood16_mult_conv2	TFm_1008.HK_pos_vgood16_mult_conv2_per	TFm_1008.HK_pos_vgood16_mult_conv	TFm_1008.HK_pos_vgood16_mult_conv_per	TFm_1008.HK_pos_vgood16__simp_cordo	TFm_1008.HK_pos_vgood16__simp_cordo_per	TFm_1008.HK_pos_vgood16_mult_linear	TFm_1008.HK_pos_vgood16_mult_linear_per	TFm_1008.HK_pos_vgood16_mult_dense2	TFm_1008.HK_pos_vgood16_mult_dense2_per	TFm_1008.HK_pos_vgood16_mult_lstm	TFm_1008.HK_pos_vgood16_mult_lstm_per	TFm_1008.HK_pos_vgood16__mult_gru	TFm_1008.HK_pos_vgood16__mult_gru_per
acc_per	56.30	-1.0	68.50	-1.0	75.98	-1.0	71.26	-1.0	72.05	-1.0	51.18	-1.0	65.35	-1.0	76.38	-1.0	75.59	-1.0	70.47	-1.0
loss	0.68	-1.0	0.61	-1.0	0.50	-1.0	0.60	-1.0	0.63	-1.0	0.71	-1.0	0.67	-1.0	0.49	-1.0	0.52	-1.0	0.58	-1.0
epochs	8	-1.0	10	-1.0	15	-1.0	8	-1.0	8	-1.0	8	-1.0	11	-1.0	10	-1.0	17	-1.0	14	-1.0
df_test_%	0.0	-1.0	20.6	-1.0	20.6	-1.0	0.0	-1.0	5.6	-1.0	16.7	-1.0	21.7	-1.0	19.4	-1.0	5.6	-1.0	20.6	-1.0
positives	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0
count	47.0	-1.0	47.0	-1.0	47.0	-1.0	47.0	-1.0	47.0	-1.0	47.0	-1.0	47.0	-1.0	47.0	-1.0	47.0	-1.0	47.0	-1.0
mean	0.5913	-1.0	0.497	-1.0	0.5222	-1.0	0.6962	-1.0	0.6237	-1.0	0.7832	-1.0	0.5213	-1.0	0.6088	-1.0	0.5495	-1.0	0.6159	-1.0
std	0.0305	-1.0	0.0356	-1.0	0.1732	-1.0	0.0232	-1.0	0.0144	-1.0	0.0003	-1.0	0.025	-1.0	0.1005	-1.0	0.1755	-1.0	0.185	-1.0
min	0.5225	-1.0	0.4047	-1.0	0.2487	-1.0	0.6264	-1.0	0.5843	-1.0	0.7829	-1.0	0.4855	-1.0	0.2293	-1.0	0.1382	-1.0	0.2707	-1.0
25%	0.5847	11.76	0.474	8.57	0.3519	8.57	0.6962	8.82	0.616	8.57	0.783	6.25	0.4983	8.82	0.5392	8.57	0.4262	8.57	0.4449	8.57
50%	0.586	13.04	0.4891	13.04	0.5209	12.5	0.6989	13.04	0.6202	12.5	0.7832	11.76	0.5203	12.5	0.6489	13.04	0.6303	12.5	0.7129	12.5
60%	0.5864	10.53	0.4983	15.79	0.6024	15.79	0.7032	15.79	0.6283	16.67	0.7832	11.76	0.5325	17.65	0.6837	10.53	0.6767	15.79	0.7394	15.79
70%	0.5877	7.14	0.5198	21.43	0.68	21.43	0.7073	21.43	0.6308	14.29	0.7832	11.76	0.5343	14.29	0.6848	13.33	0.695	14.29	0.7688	21.43
75%	0.597	8.33	0.524	25.0	0.6872	25.0	0.709	25.0	0.6349	16.67	0.7833	10.0	0.5369	16.67	0.6864	8.33	0.7009	16.67	0.777	25.0
80%	0.6028	10.0	0.5333	20.0	0.7053	20.0	0.7096	20.0	0.6361	20.0	0.7833	10.0	0.5384	20.0	0.6877	10.0	0.7056	20.0	0.7929	20.0
85%	0.6163	0.0	0.537	14.29	0.7344	14.29	0.7107	14.29	0.639	12.5	0.7834	16.67	0.546	14.29	0.6888	14.29	0.7089	12.5	0.8002	14.29
86%	0.6185	0.0	0.5392	14.29	0.7351	14.29	0.7112	14.29	0.6391	14.29	0.7834	16.67	0.5478	14.29	0.6892	14.29	0.7091	14.29	0.8011	14.29
87%	0.6206	0.0	0.5413	16.67	0.7358	16.67	0.7116	14.29	0.6391	14.29	0.7834	16.67	0.5495	20.0	0.6896	14.29	0.7092	16.67	0.8019	14.29
88%	0.6211	0.0	0.5419	16.67	0.7377	16.67	0.712	0.0	0.6396	16.67	0.7834	16.67	0.5495	20.0	0.6897	16.67	0.7096	16.67	0.8025	16.67
89%	0.6216	0.0	0.5424	16.67	0.7396	16.67	0.7123	0.0	0.6401	16.67	0.7834	16.67	0.5495	20.0	0.6898	16.67	0.7101	16.67	0.803	16.67
90%	0.6222	0.0	0.5442	20.0	0.7421	20.0	0.7124	0.0	0.6413	0.0	0.7834	16.67	0.5524	20.0	0.6898	16.67	0.7103	0.0	0.8094	20.0
91%	0.6228	0.0	0.5461	20.0	0.7446	20.0	0.7124	0.0	0.6425	0.0	0.7834	16.67	0.5557	20.0	0.6898	16.67	0.7106	0.0	0.8167	20.0
92%	0.627	0.0	0.5484	25.0	0.7461	25.0	0.7126	0.0	0.6433	0.0	0.7834	16.67	0.5598	25.0	0.6907	25.0	0.7107	0.0	0.8208	25.0
93%	0.6329	0.0	0.551	25.0	0.7472	25.0	0.7129	0.0	0.6438	0.0	0.7834	16.67	0.5642	25.0	0.692	25.0	0.7107	0.0	0.8235	25.0
94%	0.637	0.0	0.5528	33.33	0.7487	33.33	0.7136	0.0	0.6442	0.0	0.7834	16.67	0.5665	33.33	0.6943	0.0	0.7108	0.0	0.8266	33.33
95%	0.6395	0.0	0.5541	33.33	0.7508	33.33	0.7147	0.0	0.6444	0.0	0.7834	16.67	0.567	33.33	0.6975	0.0	0.711	0.0	0.83	33.33
96%	0.6433	0.0	0.5566	50.0	0.7528	50.0	0.7181	0.0	0.6453	0.0	0.7835	0.0	0.5673	50.0	0.6996	0.0	0.7118	0.0	0.833	50.0
97%	0.6493	0.0	0.5616	50.0	0.755	50.0	0.7257	0.0	0.6476	0.0	0.7836	0.0	0.5673	50.0	0.6998	0.0	0.7135	0.0	0.8351	50.0
98%	0.6593	0.0	0.5658	0.0	0.7572	100.0	0.7331	0.0	0.6499	0.0	0.7838	0.0	0.5686	100.0	0.7014	0.0	0.715	0.0	0.8379	100.0
max	0.7165	-1.0	0.5659	-1.0	0.7626	-1.0	0.7448	-1.0	0.656	-1.0	0.7851	-1.0	0.5829	-1.0	0.7183	-1.0	0.7164	-1.0	0.8503	-1.0
