	TFm_1088.HK_neg_low1_mult_28	TFm_1088.HK_neg_low1_mult_28_per	TFm_1088.HK_neg_low1_mult_64	TFm_1088.HK_neg_low1_mult_64_per	TFm_1088.HK_neg_low1_mult_128	TFm_1088.HK_neg_low1_mult_128_per	r_TFm_1088.HK_neg_low1_mult_conv2	TFm_1088.HK_neg_low1_mult_conv	TFm_1088.HK_neg_low1_mult_conv_per	TFm_1088.HK_neg_low1__simp_cordo	TFm_1088.HK_neg_low1__simp_cordo_per	TFm_1088.HK_neg_low1_mult_linear	TFm_1088.HK_neg_low1_mult_linear_per	TFm_1088.HK_neg_low1_mult_dense2	TFm_1088.HK_neg_low1_mult_dense2_per	TFm_1088.HK_neg_low1_mult_lstm	TFm_1088.HK_neg_low1_mult_lstm_per	TFm_1088.HK_neg_low1__mult_gru	TFm_1088.HK_neg_low1__mult_gru_per
acc_per	81.35	-1.0	85.76	-1.0	91.49	-1.0	-1	86.69	-1.0	76.63	-1.0	72.83	-1.0	79.95	-1.0	86.53	-1.0	93.03	-1.0
loss	0.41	-1.0	0.30	-1.0	0.22	-1.0	-1	0.32	-1.0	0.46	-1.0	0.53	-1.0	0.41	-1.0	0.31	-1.0	0.18	-1.0
epochs	14	-1.0	12	-1.0	12	-1.0	-1	8	-1.0	9	-1.0	10	-1.0	11	-1.0	9	-1.0	19	-1.0
df_test_%	29.6	-1.0	15.8	-1.0	23.1	-1.0	-1	32.3	-1.0	37.9	-1.0	29.5	-1.0	9.2	-1.0	12.9	-1.0	20.4	-1.0
positives	18	-1.0	18	-1.0	18	-1.0	-1	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0
count	230.0	-1.0	230.0	-1.0	230.0	-1.0	-1	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0
mean	0.4954	-1.0	0.4273	-1.0	0.4426	-1.0	-1	0.6285	-1.0	0.5205	-1.0	0.582	-1.0	0.4016	-1.0	0.3937	-1.0	0.3999	-1.0
std	0.3272	-1.0	0.3304	-1.0	0.335	-1.0	-1	0.2485	-1.0	0.2074	-1.0	0.2749	-1.0	0.2811	-1.0	0.3315	-1.0	0.4008	-1.0
min	0.0057	-1.0	0.0014	-1.0	0.0003	-1.0	-1	0.1491	-1.0	0.2063	-1.0	0.0944	-1.0	0.002	-1.0	0.0	-1.0	0.0008	-1.0
25%	0.0996	9.88	0.0345	9.88	0.0263	9.88	-1	0.4002	8.72	0.267	9.88	0.2995	9.88	0.037	9.88	0.0002	10.06	0.0015	9.71
50%	0.6681	11.3	0.5241	13.04	0.5646	13.04	-1	0.6945	10.43	0.6718	10.43	0.6358	10.43	0.5089	9.57	0.534	9.57	0.3518	13.04
60%	0.7225	13.04	0.6132	10.87	0.6568	14.13	-1	0.7823	11.96	0.6899	11.96	0.7442	10.87	0.5719	6.52	0.6258	11.96	0.5467	16.3
70%	0.7733	15.94	0.6975	11.59	0.6906	10.14	-1	0.8311	14.49	0.6947	13.04	0.8298	13.04	0.6121	7.25	0.6863	13.04	0.7913	17.39
75%	0.793	18.97	0.7326	12.07	0.7226	10.34	-1	0.8587	15.52	0.6964	15.52	0.8483	15.52	0.627	6.9	0.7037	15.52	0.8448	18.97
80%	0.8029	21.74	0.763	10.87	0.783	13.04	-1	0.8869	19.57	0.698	20.93	0.8626	19.57	0.6559	4.35	0.7265	19.57	0.8971	23.91
85%	0.8206	25.71	0.7983	11.43	0.7985	14.71	-1	0.9029	25.71	0.6984	27.27	0.8818	22.86	0.6842	5.71	0.736	14.29	0.9414	31.43
86%	0.8232	27.27	0.8018	12.12	0.8004	15.15	-1	0.9043	24.24	0.6985	27.27	0.8867	24.24	0.6878	6.06	0.7465	12.12	0.9439	27.27
87%	0.8265	30.0	0.8049	13.33	0.8046	16.67	-1	0.9063	23.33	0.6986	27.59	0.8911	26.67	0.6918	6.67	0.7519	13.33	0.9504	20.69
88%	0.8299	32.14	0.8173	14.29	0.8101	17.86	-1	0.9088	25.0	0.6987	30.77	0.8922	28.57	0.6979	7.14	0.7551	10.71	0.9513	21.43
89%	0.8329	30.77	0.8293	15.38	0.8127	19.23	-1	0.9104	26.92	0.6988	33.33	0.8933	26.92	0.7006	7.69	0.7577	11.54	0.955	19.23
90%	0.8351	30.43	0.8327	17.39	0.8198	21.74	-1	0.9113	30.43	0.6988	33.33	0.9006	26.09	0.7065	8.7	0.7636	13.04	0.9568	18.18
91%	0.8367	28.57	0.8377	14.29	0.824	23.81	-1	0.9122	33.33	0.6989	38.1	0.9021	28.57	0.7183	9.52	0.7698	14.29	0.9574	19.05
92%	0.8402	26.32	0.8466	15.79	0.831	26.32	-1	0.9133	36.84	0.6991	42.11	0.904	31.58	0.7268	10.53	0.7747	15.79	0.9593	21.05
